PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Dak Prescott,DAL,2.75,11.6,11.6,-0.1,22.9,54.9,2.8,35,404,4,1,138.3,74.3,58.7,15.6
Geno Smith,SEA,3.03,3.7,6.2,-2.6,10.6,36.1,-2.9,47,369,2,0,103.9,66,67.3,-1.3
C.J. Stroud,HOU,3.17,11.7,11.9,-0.3,23.1,45,4,39,356,1,1,87.1,59,61.6,-2.6
Joe Burrow,CIN,2.67,6.6,8.2,-1.6,10,44.6,-0.7,40,347,2,2,90.3,67.5,67.1,0.4
Jared Goff,DET,2.72,6.6,6.9,-0.3,12.1,36.4,-1.9,33,333,2,0,122.4,69.7,69.1,0.6
Justin Herbert,LAC,2.75,5.7,6.4,-0.7,17.5,36.9,-0.8,40,323,4,1,114.9,67.5,70.6,-3.1
Sam Howell,WAS,2.91,2.5,4.4,-1.9,20.5,35.4,-3.8,44,312,3,0,109.3,65.9,65.4,0.5
Brock Purdy,SF,3.07,9.2,8.1,1.1,11.5,40.6,-1.6,26,296,3,0,148.9,73.1,65.8,7.3
Jordan Love,GB,2.87,9.7,10.5,-0.8,10,48.4,2.5,40,289,2,2,71.8,52.5,58.6,-6.1
Baker Mayfield,TB,2.64,8.4,12.1,-3.7,20.7,47.6,3.8,29,278,2,1,102.4,62.1,62.9,-0.8
Joshua Dobbs,MIN,3.38,6.6,7.5,-0.9,8.8,33,-1.3,34,268,1,0,101.1,67.6,68,-0.3
Zach Wilson,NYJ,2.73,4.4,7.9,-3.6,17.9,31.8,-1.6,39,263,0,1,68.6,59,63.4,-4.4
Kyler Murray,ARI,2.89,6.6,9.9,-3.3,25,44.5,-1.9,32,249,0,1,71,59.4,61.1,-1.7
Lamar Jackson,BAL,2.91,8.2,11,-2.7,21.7,31.4,2.7,23,223,1,2,67.8,56.5,61.4,-4.9
Deshaun Watson,CLE,3.06,4.9,10.1,-5.2,20.6,36.2,0.2,34,213,1,1,74.8,58.8,61.1,-2.3
Will Levis,TEN,2.78,3.7,11.6,-7.9,15.4,38.1,2.3,39,199,0,1,53.3,48.7,63.2,-14.5
Gardner Minshew,IND,3.55,7.3,8.7,-1.4,10.7,36.3,0,28,194,0,1,69.6,64.3,63.4,0.8
Russell Wilson,DEN,3.08,2.9,3.2,-0.3,6.9,37.8,-5.1,29,193,2,0,117.4,82.8,76.5,6.3
Bryce Young,CAR,2.94,5,6.7,-1.7,15.8,48.2,-2.8,38,185,0,0,68.4,55.3,62.4,-7.1
Trevor Lawrence,JAX,2.73,4.3,7.2,-2.9,20.7,48.1,-2,29,185,0,2,48.8,58.6,61.3,-2.7
Josh Allen,BUF,2.9,6.2,7.8,-1.6,7.7,39.2,-2,26,177,1,2,59.3,57.7,64.9,-7.2
Mac Jones,NE,2.54,2.9,3.8,-0.9,15,30.6,-5.1,20,170,0,1,79.2,75,70.4,4.6
Tyson Bagent,CHI,3.06,2.7,6.6,-3.9,18.2,29.7,-1.5,33,162,0,0,73,60.6,66.1,-5.5
Aidan O'Connell,LV,2.74,4.4,7.3,-3,22.2,27.4,-1.3,27,153,1,1,72,59.3,54.9,4.3
Kenny Pickett,PIT,2.82,2.8,4.7,-1.9,26.1,34.7,-4.4,23,126,0,0,75.6,60.9,65,-4.2
Jameis Winston,NO,2.66,7.6,15.4,-7.9,8,45.8,6.2,25,122,2,2,59.1,52,58,-6
Derek Carr,NO,2.46,4,4.9,-0.9,--,23.4,-5.4,18,110,0,0,87.7,72.2,72.6,-0.4
Tommy DeVito,NYG,2.78,2.2,6.3,-4.1,11.1,26.3,-2.7,27,86,2,1,67.8,51.9,63,-11.2
Taylor Heinicke,ATL,2.88,2,5.4,-3.4,13.3,22.9,-3.7,15,55,1,0,84,53.3,61.3,-7.9
