PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Kirk Cousins,ATL,2.86,5,8,-2.9,6.8,34.3,-2.4,44,373,3,0,117,68.2,63.1,5.1
Matthew Stafford,LAR,2.79,10.1,12.5,-2.4,28.9,45.8,4.8,38,368,2,1,101.6,63.2,59.9,3.3
Jared Goff,DET,2.92,9.9,9.6,0.3,12.2,43.8,0.9,41,338,3,0,111.6,61,55.6,5.4
Trevor Lawrence,JAX,2.91,11.1,11.5,-0.5,12.5,50.8,2.6,32,330,5,0,136.7,62.5,57.4,5.1
Bo Nix,DEN,3.32,8.3,9.8,-1.5,23.5,39.6,1.8,34,302,4,0,134.7,67.6,52.5,15.1
Brock Purdy,SF,3.28,7.9,9,-1.1,16.7,35.4,0.6,30,295,3,0,140.3,76.7,62.1,14.5
Dak Prescott,DAL,2.77,6.1,8.6,-2.4,13.2,43,-0.9,38,294,0,0,84.8,60.5,62.1,-1.6
Baker Mayfield,TB,2.86,11.3,11.5,-0.2,20.6,55.5,2.4,34,277,2,1,90,55.9,53.6,2.3
Jordan Love,GB,2.97,7.3,10.6,-3.3,22.5,39.5,0.2,40,276,1,2,68.3,60,56,4
Tyler Shough,NO,2.43,7.4,7.9,-0.6,15.6,37,-2.1,32,272,1,0,110.4,75,70.1,4.9
Sam Darnold,SEA,2.83,6.4,7.3,-0.8,11.1,33.7,-1.4,36,271,0,0,84.4,61.1,65.1,-4
C.J. Stroud,HOU,3.12,4.4,4.5,-0.1,17.2,22.5,-4.1,29,260,3,0,137.1,75.9,63.4,12.4
Tua Tagovailoa,MIA,3.36,5.9,6.8,-0.9,14.3,37,-1.5,28,253,2,1,113.2,78.6,65.5,13
J.J. McCarthy,MIN,2.97,10.1,10.4,-0.4,16.7,52.5,2.1,24,250,2,1,108,62.5,65.8,-3.3
Jacoby Brissett,AZ,2.96,3.9,6.7,-2.7,10,32.3,-2.5,40,249,3,1,98.9,67.5,60.5,7
Jaxson Dart,NYG,3.05,6.8,11.4,-4.6,13.9,46.1,2.3,36,246,2,1,83.8,55.6,56.9,-1.3
Caleb Williams,CHI,3.07,8.2,10.6,-2.4,14.3,36.7,2.2,28,242,2,0,112.5,60.7,67.4,-6.7
Joe Burrow,CIN,2.95,4.6,7.8,-3.2,5.1,33.2,-0.3,39,225,0,2,58.2,64.1,64.1,0
Aaron Rodgers,PIT,2.32,2.1,3.3,-1.3,--,28.4,-5.6,27,224,2,0,125.9,85.2,80,5.2
Marcus Mariota,WAS,3.16,13.2,14.2,-1,26.3,37.9,4.9,19,211,1,0,109.8,52.6,47.1,5.6
Justin Herbert,LAC,2.82,6.4,7,-0.6,13.8,45.5,-1.8,29,210,1,1,84,65.5,59.9,5.6
Josh Allen,BUF,3.12,4.2,8,-3.8,7.1,42.9,0.7,28,193,3,0,123.1,67.9,64.1,3.8
Patrick Mahomes,KC,2.99,5.8,7.3,-1.5,17.9,34.6,-1.6,28,189,0,1,62.9,57.1,64.7,-7.5
Shedeur Sanders,CLE,3.15,6,8.3,-2.3,11.4,45.5,-0.9,35,177,0,3,30.3,51.4,58.9,-7.5
Brady Cook,NYJ,2.46,5.4,6.3,-0.9,24.2,40.2,-1.4,33,176,1,3,52.1,66.7,65.8,0.9
Jalen Hurts,PHI,2.77,8,6.7,1.4,6.7,49.9,-0.4,15,175,3,0,154.9,80,77.1,2.9
Cam Ward,TEN,3.26,3.9,6.4,-2.5,6.9,49.9,-2.5,29,170,2,0,101.2,62.1,68,-6
Bryce Young,CAR,3.26,6.9,8.2,-1.2,4.2,44.9,-1.1,24,163,1,0,96.4,62.5,59.6,2.9
Drake Maye,NE,3.19,5.7,10.6,-4.9,21.7,37,1.4,23,155,0,1,62.8,60.9,60.2,0.6
Philip Rivers,IND,2.36,1.1,4.7,-3.7,18.5,31.2,-3.4,27,120,1,1,73.1,66.7,66.9,-0.2
Kenny Pickett,LV,2.71,1.7,4.4,-2.7,12,28,-4.6,25,64,0,1,47.9,60,68.8,-8.8
