PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Justin Herbert,LAC,2.96,5.8,8.4,-2.6,25.5,35.4,-0.2,47,300,1,1,76.6,59.6,53,6.6
Caleb Williams,CHI,3.2,7.5,8.5,-1,3.6,62.1,-1.6,28,298,4,0,142.6,67.9,76.8,-9
Geno Smith,LV,3.82,10.1,10.4,-0.3,13.8,48.2,1,29,289,3,0,132.7,65.5,64.6,0.9
Lamar Jackson,BAL,3,8.8,10.2,-1.4,11.1,45.1,0.3,27,288,3,0,148.1,77.8,64.2,13.6
Mac Jones,SF,2.74,6.9,7.4,-0.5,17.1,43.7,-1.6,41,284,1,1,83.8,65.9,60.5,5.4
Drake Maye,NE,2.65,5.4,6.2,-0.8,5.4,30.5,-2.2,37,268,2,1,102.1,75.7,72.2,3.5
Dak Prescott,DAL,2.98,4.2,4.9,-0.7,15,40.6,-2.8,40,251,1,2,80.3,77.5,70.1,7.4
Baker Mayfield,TB,2.44,5.1,8.9,-3.9,31,37.9,-1.3,29,233,1,0,101.7,65.5,60.4,5.1
Daniel Jones,IND,2.81,5.7,7.2,-1.5,12,44.4,-2,25,228,1,0,113.4,72,73.2,-1.2
Jalen Hurts,PHI,2.91,7.8,8.4,-0.6,18.8,45.4,-0.3,32,226,3,0,117.4,65.6,62.3,3.3
Patrick Mahomes,KC,2.59,4.7,8.6,-3.9,10.8,47.5,0.8,37,224,1,0,85.9,59.5,60.3,-0.8
Trevor Lawrence,JAX,2.57,4.7,7.7,-3,15,30.5,-1.4,40,222,0,1,56.5,50,65,-15
Cam Ward,TEN,2.97,4.3,6.2,-1.9,2.6,30,-3.6,38,219,1,1,74.3,60.5,63.4,-2.9
Sam Darnold,SEA,2.82,10.3,10.5,-0.1,--,45.2,0.5,18,218,2,0,154.2,77.8,72.3,5.5
Spencer Rattler,NO,2.72,4.4,8.4,-4,10.3,29,-0.2,39,218,1,1,83.1,71.8,68.6,3.2
Josh Allen,BUF,2.62,2,3.2,-1.2,10.7,28.3,-4.7,28,213,3,0,134.1,78.6,71.7,6.9
Marcus Mariota,WAS,2.48,5.9,7.2,-1.3,4.8,39.4,-3.5,21,207,1,0,118.6,71.4,66.1,5.3
C.J. Stroud,HOU,2.53,4,7.6,-3.6,5.3,44.1,-0.4,38,204,1,2,66.1,65.8,68.9,-3.1
Jared Goff,DET,2.93,6.4,7.6,-1.2,17.9,38.2,-0.3,28,202,1,0,103.6,71.4,63.3,8.1
Tyrod Taylor,NYJ,2.62,4,5.3,-1.2,13.9,31,-3.4,36,197,2,1,92,72.2,63.4,8.8
Matthew Stafford,LAR,2.71,7.1,8.1,-1,30.3,58.4,0,33,196,2,1,82.4,57.6,59.4,-1.8
Jordan Love,GB,2.56,2.5,1.6,0.9,4,40.6,-6.6,25,183,1,1,89.3,72,73.3,-1.3
Carson Wentz,MIN,2.43,6.5,8.9,-2.5,15,31.9,-1.6,20,173,2,0,129.8,70,63.7,6.3
Michael Penix Jr.,ATL,2.83,4,8.4,-4.3,--,31.6,0.1,36,172,0,2,40.5,50,67.5,-17.5
Russell Wilson,NYG,2.85,3,10,-6.9,18.8,26.8,1.4,32,160,0,2,43.8,56.3,63,-6.7
Kyler Murray,AZ,3.07,3.1,5.3,-2.2,11.4,35.7,-3,35,159,1,0,82.9,62.9,64.8,-1.9
Bo Nix,DEN,2.75,4.8,10.2,-5.4,8,45,0.9,25,153,1,0,87.6,56,63.8,-7.8
Tua Tagovailoa,MIA,2.98,1,5.5,-4.5,8.8,25.6,-2.9,34,146,2,1,81.3,64.7,69.5,-4.8
Joe Flacco,CLE,2.81,3.3,7,-3.8,13.9,27.5,-1.8,36,142,0,1,55.6,58.3,57.9,0.4
Jake Browning,CIN,3.08,2.5,4.6,-2.2,11.1,35.9,-3.6,27,140,1,2,63.8,70.4,69.1,1.2
Aaron Rodgers,PIT,2.45,2,4.6,-2.7,13,32,-6.1,23,139,2,1,96.1,69.6,67.2,2.4
Bryce Young,CAR,2.66,2.5,5.8,-3.3,16.7,35.3,-1.7,24,121,0,0,78.6,66.7,70.9,-4.2
