PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Bo Nix,DEN,3.29,4.1,4.7,-0.6,6.7,44.1,-3.4,45,321,1,1,83.7,64.4,71,-6.5
Dak Prescott,DAL,2.8,4.9,6.9,-2,15.4,50.9,-0.7,39,320,2,1,100.4,69.2,60.7,8.5
Jacoby Brissett,AZ,2.8,5.3,7.8,-2.5,17.5,34.6,-0.3,40,301,2,1,100.1,72.5,60.3,12.2
Marcus Mariota,WAS,2.73,7,11.3,-4.3,18,42.1,1.9,50,294,2,1,78.3,56,53.5,2.5
Drake Maye,NE,2.58,6.4,8.2,-1.8,16.1,48.9,-0.2,31,282,2,0,126,77.4,67.5,9.9
C.J. Stroud,HOU,3.01,7.1,11.6,-4.6,17.1,34.8,2.3,35,276,0,1,75.4,62.9,59.3,3.6
Joe Burrow,CIN,2.81,6.6,8.9,-2.3,28.3,51.6,-0.2,46,261,2,0,83.7,52.2,58.5,-6.4
Patrick Mahomes,KC,2.88,4.9,6.8,-1.9,11.8,43.3,-3.2,34,261,4,0,129.7,67.6,63.2,4.5
Jared Goff,DET,2.77,7,7.1,-0.1,3.8,31.5,-1.2,26,256,2,0,132.9,76.9,73.1,3.8
Lamar Jackson,BAL,3.12,7.1,11.4,-4.3,15.6,31.8,1.3,32,246,0,1,65.4,53.1,62.9,-9.7
Matthew Stafford,LAR,2.98,6.7,8.2,-1.5,14.3,50.4,-0.5,28,243,2,2,85.9,64.3,66,-1.7
Tyler Shough,NO,3.04,6.2,7.5,-1.3,13.2,35.4,-2.1,38,239,2,1,91.9,68.4,58.3,10.1
Jordan Love,GB,3.09,10.8,11.4,-0.6,26.7,58.2,4.6,30,234,4,0,124.2,60,53.2,6.8
Kirk Cousins,ATL,2.78,1.1,5.1,-4,15.2,29.2,-3.3,33,234,1,0,94.8,63.6,67.5,-3.8
Jalen Hurts,PHI,2.94,9,9.3,-0.4,11.8,41.4,0.5,34,230,2,1,84.2,55.9,57.7,-1.9
Trevor Lawrence,JAX,3.02,8.6,11.3,-2.7,18.5,34.3,2.1,27,229,2,0,111.5,59.3,59.9,-0.7
Bryce Young,CAR,2.83,3.1,6.5,-3.4,10,34.8,-1.9,20,206,3,0,147.1,75,66.8,8.2
Daniel Jones,IND,2.61,9.8,8.4,1.4,18.5,46.4,-0.7,27,201,2,0,101,51.9,59.7,-7.9
Baker Mayfield,TB,3.05,2.4,7.3,-4.9,14.3,30.6,-1.2,28,194,1,0,96.4,64.3,64.8,-0.6
Tyrod Taylor,NYJ,3.06,7.8,9.7,-2,15.2,59,1.1,33,172,1,0,81.9,57.6,57,0.5
Brock Purdy,SF,3.48,7.4,9.1,-1.7,17.2,41.6,0,29,168,1,0,83.7,55.2,45.8,9.4
Geno Smith,LV,2.88,3.5,3.6,-0.1,13,35.3,-4.4,23,165,2,1,107.4,78.3,69.2,9
Tua Tagovailoa,MIA,2.89,6.2,10.4,-4.2,17.4,36.7,2.3,23,157,0,1,55.9,52.2,57.5,-5.4
Caleb Williams,CHI,2.65,4.2,7.2,-3,19.4,31.1,-0.7,36,154,1,1,56.9,47.2,62.2,-15
Justin Herbert,LAC,2.93,7.2,9.6,-2.4,20,31.6,2.2,20,151,2,1,108.5,75,59.6,15.4
Shedeur Sanders,CLE,3.37,4.2,6.6,-2.4,8,35.2,-2.3,25,149,1,0,93.6,64,65.5,-1.5
Cam Ward,TEN,2.82,3.6,6.2,-2.6,13.2,25.7,-3.6,38,141,0,0,70.2,63.2,66.5,-3.3
Jaxson Dart,NYG,2.57,2.8,7.3,-4.6,41.7,30.4,-2.2,24,139,1,0,99.1,70.8,61.1,9.7
Sam Darnold,SEA,2.47,0.6,3.6,-3,11.5,24.7,-3.5,26,128,0,0,67.5,53.8,65.1,-11.2
Max Brosmer,MIN,2.72,0.9,4.7,-3.8,6.7,29.9,-4.6,30,126,0,4,32.8,63.3,71,-7.7
Josh Allen,BUF,2.46,2.5,1.4,1,8.7,33.1,-6.6,23,123,1,1,75.1,65.2,74.6,-9.4
Aaron Rodgers,PIT,3.09,1.8,4.8,-3,19,23.9,-5.5,21,117,0,0,65,47.6,63.1,-15.5
