PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Nick Mullens,MIN,2.82,8.3,9.1,-0.8,6.8,48.5,-1.4,44,396,2,2,92.6,68.2,67,1.2
Josh Allen,BUF,2.85,7.5,9.9,-2.4,13.2,48.9,1.5,38,359,2,2,101.6,78.9,66.5,12.4
Jared Goff,DET,2.76,6.6,8.6,-2,12.5,50.2,1.5,32,320,2,0,124.5,71.9,65.1,6.8
Jordan Love,GB,2.61,6,7.2,-1.2,15.6,37.1,-0.3,32,316,2,0,128.6,84.4,71.6,12.8
Tyrod Taylor,NYG,2.82,6.6,9.3,-2.7,9.4,44.3,0.3,32,297,1,1,98,71.9,69,2.9
Desmond Ridder,ATL,2.95,3.9,6.4,-2.5,6.7,40.1,-1.3,30,291,2,1,111.9,73.3,71.4,1.9
Trevor Lawrence,JAX,2.39,5.8,7.3,-1.4,7,52.2,-1.3,43,280,2,2,81.5,67.4,69.6,-2.2
Dak Prescott,DAL,2.64,5,6.2,-1.2,5.6,33.6,-1.3,36,279,4,1,124.4,86.1,70.4,15.7
Jarrett Stidham,DEN,3.01,5.2,8,-2.8,2.9,35.7,-1.8,34,272,1,1,82,58.8,69.5,-10.7
Derek Carr,NO,3.09,8.7,8.2,0.5,25,54.9,0,28,264,4,0,145.5,78.6,58.3,20.3
C.J. Stroud,HOU,2.77,7.7,10.1,-2.4,7.7,59.2,0.6,26,264,2,0,134.1,76.9,68.3,8.6
Kyler Murray,ARI,3.02,4,4.8,-0.9,13.3,32.4,-4.7,30,262,1,0,110.7,73.3,73.1,0.3
Easton Stick,LAC,2.91,2.7,6.4,-3.6,19.1,32.6,-1.4,47,258,0,0,74.6,59.6,62.4,-2.9
Aidan O'Connell,LV,3,8.2,8.2,0,9.7,56.7,-1.3,31,244,2,0,110.1,64.5,57.1,7.4
Sam Darnold,SF,3.08,6.2,10.1,-3.9,11.5,36.7,0.5,26,189,1,0,96.5,61.5,62.5,-0.9
Geno Smith,SEA,2.74,6,7.4,-1.4,14.3,47,-1.2,28,189,2,0,101.6,57.1,61.3,-4.1
Tua Tagovailoa,MIA,2.41,7.2,10.7,-3.4,18.5,36.6,1.7,27,173,1,2,62.7,63,64,-1
Ryan Tannehill,TEN,2.54,2.8,5.7,-3,7.7,29.8,-2.5,26,168,2,1,93.1,65.4,70.5,-5.2
Jeff Driskel,CLE,2.7,8.6,9.9,-1.3,34.6,50.1,1.1,26,166,2,2,63.9,50,55.3,-5.3
Carson Wentz,LAR,2.26,6.2,6.4,-0.3,20.8,42.8,-1.4,24,163,2,1,99.8,70.8,66.8,4.1
Jake Browning,CIN,2.41,5,4.9,0.1,12.5,35.7,-3.8,24,156,3,1,113.9,75,72.4,2.6
Blaine Gabbert,KC,2.32,2.7,5,-2.4,16.7,25.9,-3.6,30,154,0,1,51.3,50,67.3,-17.3
Sam Howell,WAS,2.58,0.1,5.5,-5.4,14.8,29.1,-2.4,27,153,1,2,65.8,70.4,71.7,-1.4
Mason Rudolph,PIT,2.62,0.7,2.9,-2.2,10,23.4,-4.2,20,152,1,0,115,90,75,15
Justin Fields,CHI,3.24,7.8,8.5,-0.7,12.5,31.2,-0.9,16,148,0,0,97.9,68.8,69,-0.3
Marcus Mariota,PHI,2.74,6.3,8.5,-2.2,30,29.2,-0.9,20,148,1,1,82.9,65,65.4,-0.4
Tyler Huntley,BAL,3.32,5.6,5.8,-0.2,17.9,28.5,-2.8,28,146,1,0,80.4,53.6,67.7,-14.2
Gardner Minshew,IND,3.03,5.9,10.4,-4.5,16.7,30.4,1.3,24,141,0,0,71.7,54.2,61.6,-7.5
Baker Mayfield,TB,2.48,2.5,7.5,-5,21.9,26.6,-1.2,32,137,0,0,72,62.5,65.1,-2.6
Bryce Young,CAR,2.67,3.1,5.7,-2.6,16.7,25.9,-2.7,18,94,0,0,74.8,61.1,73.2,-12.1
Bailey Zappe,NE,2.94,2.6,9.7,-7.1,30,42.1,0.6,30,88,0,2,20.1,40,52.8,-12.8
Trevor Siemian,NYJ,2.85,2.2,8.3,-6.1,35,32.1,0.2,20,70,0,0,50,40,53,-13
Jalen Hurts,PHI,3.34,6.6,12.2,-5.6,31.3,29.6,2,16,55,0,1,26.8,43.8,43.6,0.2
