PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Jared Goff,DET,2.67,5.2,5.9,-0.7,15.2,37.1,-1.5,33,320,3,0,135.9,75.8,64.2,11.5
Mac Jones,SF,3,6.2,7,-0.8,23.1,31.4,-1.5,39,319,3,1,115.7,84.6,69.4,15.2
Josh Allen,BUF,3.53,6.4,9.6,-3.2,12.5,41.5,1.3,40,306,2,1,98.5,70,65.7,4.3
Davis Mills,HOU,2.7,8.2,10.1,-1.9,22.2,60,1.8,45,292,2,1,84.7,60,58,2
Tyler Shough,NO,3,7.5,10.1,-2.6,14.8,55.6,1.5,27,282,2,0,128.9,70.4,66,4.4
Matthew Stafford,LAR,3.12,6,9,-3,13.9,33.7,0.9,36,280,4,0,127.1,66.7,62.5,4.2
Baker Mayfield,TB,2.92,5.4,6.5,-1.2,16.3,32.5,-2.3,43,273,3,0,106.1,65.1,69,-3.9
Drake Maye,NE,3.17,9.3,11.9,-2.6,19.4,56.4,3.4,31,270,2,1,89.4,51.6,50.2,1.4
Jacoby Brissett,AZ,2.83,6.1,7.9,-1.8,22.7,34.3,-0.7,44,258,2,0,83.3,50,59.4,-9.4
Daniel Jones,IND,2.67,6.3,8.2,-1.9,11.5,47.9,-1.5,26,255,1,1,100.6,73.1,66.2,6.9
J.J. McCarthy,MIN,3.46,6.8,11.8,-5,19,40.9,3.2,42,248,1,2,54.5,47.6,59.8,-12.2
Jaxson Dart,NYG,3.08,8.4,9.3,-0.9,20.7,40.7,-0.1,29,242,0,0,91.5,65.5,61.5,4
Caleb Williams,CHI,3.43,6.9,9.7,-2.8,5.6,32.7,2.4,36,220,1,0,83.1,55.6,69.2,-13.6
Justin Herbert,LAC,2.21,1.6,4.9,-3.3,18.2,23.8,-4.5,33,220,1,0,90.5,60.6,69.7,-9.1
Marcus Mariota,WAS,2.57,10.8,12.8,-2,45.5,45.7,5.8,22,213,2,0,133.3,72.7,55.2,17.5
Jalen Hurts,PHI,3.4,5.7,7.8,-2.1,15.4,43.6,-0.8,26,183,1,0,92.3,57.7,56.5,1.2
Michael Penix Jr.,ATL,3.36,10.4,12,-1.6,17.9,31.1,4,28,177,1,0,76,42.9,56.2,-13.4
Lamar Jackson,BAL,2.59,4.7,4.9,-0.2,6.9,27.5,-4.1,29,176,1,0,87.7,58.6,74.9,-16.3
Jordan Love,GB,2.85,4.9,9.2,-4.3,22.2,32.8,0.1,36,176,0,0,68.8,55.6,57.5,-1.9
Tua Tagovailoa,MIA,2.69,6,9.1,-3,19,55.9,-1.3,21,173,2,2,88.1,71.4,65.5,5.9
Dillon Gabriel,CLE,2.77,5.8,6.4,-0.6,25,41.8,-4.4,32,167,2,0,88.9,53.1,59.2,-6.1
Aaron Rodgers,PIT,2.61,2.5,7.7,-5.2,6.5,22.5,-0.9,31,161,1,2,50.6,51.6,62.3,-10.7
Trevor Lawrence,JAX,2.94,6.4,7.7,-1.4,17.4,30.9,-2.5,23,158,1,1,74.2,56.5,60.4,-3.9
Bo Nix,DEN,2.94,4.8,8,-3.3,3.6,34.5,-2.9,28,150,1,2,54.2,57.1,70.1,-12.9
Geno Smith,LV,2.64,3.7,4.4,-0.7,7.7,36.5,-4.3,26,143,0,1,60.3,61.5,67.9,-6.4
Bryce Young,CAR,2.86,4.2,7.2,-3,8,33.4,-1,25,124,0,1,62.8,68,67.9,0.1
