PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Dak Prescott,DAL,2.73,7.9,10.3,-2.4,27.7,40.7,0.1,47,376,1,2,79.7,66,60.5,5.4
Shedeur Sanders,CLE,3.57,4.3,7.4,-3,16.7,32.9,-3.3,42,364,3,1,97.7,54.8,57.2,-2.4
Jared Goff,DET,2.46,5.3,7.7,-2.4,11.8,34.5,-3.3,34,309,1,0,111,73.5,67,6.5
Aaron Rodgers,PIT,2.69,4.6,5.7,-1.1,17.6,54.2,-2.7,34,284,1,0,103.1,67.6,68,-0.3
Joe Burrow,CIN,2.86,7.5,9.3,-1.8,19.4,42.5,0.8,36,284,4,2,106.7,69.4,62.6,6.9
Matthew Stafford,LAR,2.58,8.5,7.8,0.7,16.1,42.3,-0.8,31,281,3,0,131.3,71,66.3,4.7
Jacoby Brissett,AZ,2.92,5.5,7.8,-2.3,25,34.2,-1.3,44,271,2,1,80.8,56.8,62.7,-5.9
Josh Allen,BUF,3.08,3.5,4.6,-1.1,14.3,30.6,-2.4,28,251,3,0,139.7,78.6,68.1,10.5
Sam Darnold,SEA,3.03,6.5,9.1,-2.7,6.7,30.8,0.7,30,249,3,1,111.7,66.7,69.3,-2.6
Trevor Lawrence,JAX,2.75,9.4,11.2,-1.8,30,48.3,2.1,30,244,2,0,105.4,56.7,58.7,-2.1
Jalen Hurts,PHI,2.97,6.4,10.5,-4.1,15,34.2,1,40,240,0,4,31.3,52.5,59.2,-6.7
Jordan Love,GB,2.94,7.8,12.1,-4.3,16,55.1,2.2,25,234,3,1,120.7,68,62.6,5.4
Lamar Jackson,BAL,3.27,7.3,8.1,-0.8,5.7,44.9,0,35,219,1,1,71,54.3,65.2,-10.9
Bo Nix,DEN,2.95,3,4.7,-1.7,18.4,31,-3.5,38,212,0,0,89.9,81.6,66.3,15.3
C.J. Stroud,HOU,3.27,8.6,10.5,-1.9,12.9,49.9,0,31,203,1,0,80.4,48.4,52.6,-4.3
Caleb Williams,CHI,3.74,6.2,6.9,-0.8,11.4,34.4,-2,35,186,2,1,76.6,54.3,57.1,-2.8
Brady Cook,NYJ,2.64,5.3,7.5,-2.2,16.7,35.7,-2.2,30,163,0,2,35.8,46.7,67,-20.3
J.J. McCarthy,MIN,2.56,5.3,7.1,-1.8,17.4,38,-1,23,163,3,0,129.2,69.6,72.3,-2.7
Kirk Cousins,ATL,2.52,3.9,6.9,-2.9,26.7,37.3,-1.6,30,162,0,2,38.5,50,59.1,-9.1
Patrick Mahomes,KC,3.24,6.2,9.3,-3.1,12.1,45,0.9,33,160,0,3,19.8,42.4,58.7,-16.3
Riley Leonard,IND,2.77,4.1,6.2,-2.1,31,27.8,-2.2,29,145,0,1,60.3,62.1,63.5,-1.4
Tyler Shough,NO,2.62,5.2,7,-1.8,5,31.4,-2.7,20,144,0,1,65.4,65,73.3,-8.3
Justin Herbert,LAC,3.21,4.5,10.3,-5.8,30.8,30.5,2.6,26,139,1,1,59.6,46.2,49.6,-3.5
Tua Tagovailoa,MIA,2.56,4.2,4.5,-0.3,9.5,27.6,-3.3,21,127,1,0,94.7,61.9,75.3,-13.4
Baker Mayfield,TB,2.8,2.1,7.4,-5.3,13.3,23,-1.8,30,122,1,1,55.1,46.7,62.6,-15.9
Cam Ward,TEN,2.69,1.7,5.1,-3.4,14.3,27.4,-3.9,28,117,2,1,70.1,50,63.8,-13.8
Geno Smith,LV,3.12,7,8.7,-1.7,19,36,1.2,21,116,1,0,92.6,61.9,53.2,8.7
Jayden Daniels,WAS,2.67,2.6,3.9,-1.3,5,31.8,-4.1,20,78,0,1,35,45,61.1,-16.1
