PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Jameis Winston,NYG,3.36,13.6,12.1,1.5,13.9,56,3.7,36,366,2,1,93.1,50,51.7,-1.7
Dak Prescott,DAL,2.81,9.6,10.4,-0.8,19.4,59.7,1.8,36,354,2,1,103.2,63.9,57.2,6.7
Patrick Mahomes,KC,3.06,3.9,7.3,-3.4,10.9,36.4,-1.6,46,352,0,1,77.4,63,65.3,-2.3
Jacoby Brissett,AZ,2.81,4.7,7.5,-2.8,16.3,40.5,-2.2,49,317,1,0,92,67.3,58.2,9.1
Drake Maye,NE,3.05,7.8,8.4,-0.6,22.9,41.3,0.1,35,294,1,1,87.1,62.9,59.2,3.6
Jalen Hurts,PHI,2.88,5.7,8.5,-2.9,17.9,54.4,-1.2,39,289,1,0,99.2,69.2,65.1,4.1
Geno Smith,LV,2.54,3.5,8.1,-4.5,13.6,37.2,-2.6,44,285,1,0,93.5,68.2,64.9,3.3
Jared Goff,DET,2.69,3.3,5.2,-1.9,7.1,36.4,-4.2,42,279,2,1,91.3,66.7,68.5,-1.9
Matthew Stafford,LAR,2.79,6.7,7.6,-0.9,17.1,38.3,-0.8,35,273,3,0,122.7,71.4,62.6,8.8
Cam Ward,TEN,3.02,3,5,-2,11.9,29.4,-3.6,42,256,1,0,91,66.7,64.8,1.9
Trevor Lawrence,JAX,2.94,8.8,9.6,-0.8,16.7,34.9,1.5,30,256,3,3,81.4,60,66.5,-6.5
Josh Allen,BUF,2.55,2.6,5.1,-2.5,5.9,34.6,-3.5,34,253,0,2,67.4,70.6,69.2,1.4
Sam Darnold,SEA,2.94,7.7,10,-2.3,19.2,51.5,1.2,26,244,2,0,118.1,61.5,59.6,1.9
Tyler Shough,NO,2.71,4.2,8,-3.7,11.6,28.5,-1.8,43,243,0,1,74.1,69.8,69.2,0.6
Caleb Williams,CHI,2.68,6.4,8.2,-1.8,2.9,30.2,-0.8,35,239,3,0,104.3,54.3,64.9,-10.6
Tyrod Taylor,NYJ,3.26,4.1,9.6,-5.5,10.7,26.8,-0.7,28,222,1,1,82.7,60.7,67.2,-6.5
Shedeur Sanders,CLE,3.19,4.9,8,-3.1,5,52.5,-3,20,209,1,1,87.3,55,57.9,-2.9
Kirk Cousins,ATL,3.18,6.9,7.7,-0.7,13,50,-2.2,23,199,2,1,107,69.6,59.1,10.5
Brock Purdy,SF,2.9,3.2,6.4,-3.2,6.3,29.5,-2,32,193,1,3,58.5,71.9,75.7,-3.8
Joe Flacco,CIN,2.87,6.9,9.2,-2.3,16.2,38.9,0.9,37,183,1,1,63.2,51.4,55.3,-3.9
Daniel Jones,IND,2.4,2.9,4.7,-1.8,19.4,29.7,-3.5,31,181,2,0,99,61.3,72.2,-10.9
Mason Rudolph,PIT,2.6,2.4,6.5,-4.2,12.9,26.9,-0.9,31,171,1,1,86.9,77.4,70.9,6.5
Bryce Young,CAR,2.74,2.7,6.2,-3.5,3.4,40,-2.8,29,169,1,2,60.8,62.1,65,-2.9
Davis Mills,HOU,2.6,5.8,8,-2.3,20,38,-0.5,30,153,2,0,90,53.3,63,-9.7
Lamar Jackson,BAL,3.12,7.5,10.9,-3.3,8.7,46.2,2.3,23,153,0,0,76.9,56.5,59.6,-3.1
Jordan Love,GB,2.81,5.7,8.2,-2.5,9.5,33.9,-1.5,21,139,0,0,85.2,66.7,67.3,-0.6
J.J. McCarthy,MIN,2.99,4.4,5.9,-1.5,10.5,31.4,-4.5,19,87,0,2,34.2,63.2,65.1,-1.9
Teddy Bridgewater,TB,2.32,0.9,5.6,-4.7,20,26.7,-4.4,15,62,0,0,63.8,53.3,66,-12.7
Baker Mayfield,TB,2.89,2.3,8,-5.7,26.3,25,-0.4,19,41,1,2,32,47.4,58.2,-10.9
