PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
C.J. Stroud,HOU,3.35,9,11.3,-2.2,7.1,47,1.8,42,470,5,0,147.8,71.4,61.6,9.9
Dak Prescott,DAL,2.86,8.7,9.8,-1.1,25,35.5,0.8,44,374,3,0,115.2,65.9,59.8,6.1
Joe Burrow,CIN,2.72,5.5,6.9,-1.4,13.6,42.5,-1,44,348,2,0,108.9,70.5,66.5,3.9
Sam Howell,WAS,2.88,5.4,9.4,-4,8.9,43.9,1.2,45,325,1,1,84,64.4,63.2,1.2
Taylor Heinicke,ATL,2.74,4.1,9.2,-5,10.5,34.5,0.3,38,268,1,1,75.3,55.3,63.6,-8.3
Baker Mayfield,TB,2.98,7,8.7,-1.7,10,60.1,-0.8,30,265,2,0,119.4,70,62.9,7.1
Zach Wilson,NYJ,2.79,4.3,7.3,-3.1,12.2,37.7,-1.6,49,263,0,0,80.6,67.3,69.7,-2.4
Will Levis,TEN,2.95,6.1,10.1,-4,10.3,38.9,0.8,39,262,0,1,66.4,56.4,59.3,-2.9
Josh Allen,BUF,2.82,4.6,7.1,-2.5,18.4,34.6,-1.7,38,258,1,1,85.2,68.4,60.6,7.8
Jordan Love,GB,2.96,6.3,7,-0.7,11.5,48.7,-3,26,228,1,0,115.5,76.9,70.2,6.7
Mac Jones,NE,2.38,4,8.4,-4.4,31.8,29.8,0.1,44,220,1,1,66.5,54.5,58.1,-3.6
Tyson Bagent,CHI,3.29,4.4,7.3,-3,20,41.6,-1.8,30,220,2,3,65.3,60,58.8,1.2
Deshaun Watson,CLE,2.91,5.1,7,-1.9,6.7,47.3,-2.9,30,219,2,0,107.5,63.3,63.6,-0.3
Derek Carr,NO,2.63,3.3,3.7,-0.4,2.9,23.1,-4.6,34,211,2,0,108.8,73.5,69.7,3.8
Aidan O'Connell,LV,2.24,5,7.9,-2.9,8,54.6,-1.6,25,209,0,0,90.3,64,67.3,-3.3
Jalen Hurts,PHI,2.83,6.8,9,-2.3,8.7,50,0.4,23,207,2,0,130.2,73.9,62.8,11.1
Tua Tagovailoa,MIA,2.52,5.4,8.3,-2.9,14.7,41.7,-2,34,193,1,0,87,61.8,62.5,-0.8
Lamar Jackson,BAL,2.86,5.8,9.1,-3.3,15.4,32.4,-0.6,26,187,0,0,96.6,80.8,64.2,16.6
Patrick Mahomes,KC,2.55,3.1,5.9,-2.7,10,33.5,-3.2,30,185,2,0,105.6,66.7,71.2,-4.6
Tommy DeVito,NYG,3.34,5.3,8.2,-2.9,5,36.3,-2,20,175,1,2,78.1,75,77,-2
Bryce Young,CAR,2.78,3.7,4.7,-0.9,7.7,39.8,-4.2,39,173,1,3,48.3,61.5,67.1,-5.6
Kenny Pickett,PIT,2.54,2.6,4.5,-1.9,10,41.4,-3.3,30,160,1,0,88.2,63.3,74.4,-11
Joshua Dobbs,MIN,3.06,4.3,5.5,-1.2,16.7,37.4,-3.1,30,158,2,0,101.8,66.7,66.9,-0.2
Geno Smith,SEA,2.92,7.4,9.3,-1.9,21.4,45.5,0.2,28,157,0,1,49.3,46.4,50.3,-3.9
Justin Herbert,LAC,2.9,4.4,5.5,-1.1,13.3,36.3,-3.9,30,136,0,0,65.4,53.3,63.3,-9.9
Brett Rypien,LAR,2.91,6.3,8.9,-2.6,14.3,34,-0.6,28,130,0,1,45.2,46.4,59.5,-13.1
Gardner Minshew,IND,2.41,3.2,4.6,-1.5,15.4,29.1,-4.5,26,127,1,0,89.7,65.4,63,2.4
Clayton Tune,ARI,2.74,1.1,2.8,-1.7,10,24.1,-7.9,20,58,0,2,20.8,55,67.1,-12.1
