PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Matthew Stafford,LAR,2.9,8.1,8.6,-0.5,16.3,52.2,1,49,457,3,0,110.7,59.2,68.3,-9.2
Drake Maye,NE,3.29,8.6,10.1,-1.5,18.2,47.5,1.8,44,380,2,1,102.5,70.5,58.9,11.6
Jared Goff,DET,2.58,5.2,6.2,-0.9,9.3,34.8,-3.4,54,364,3,0,101.2,63,70.6,-7.6
Bo Nix,DEN,2.91,7.6,9.7,-2.1,10.6,51.5,1.5,47,352,1,1,81.2,59.6,67.2,-7.6
Joe Burrow,CIN,2.76,5.8,6.3,-0.5,9.4,45.5,-2,32,309,4,0,146.5,78.1,69.5,8.6
Tyler Shough,NO,2.52,3.8,7.5,-3.7,8.2,38,-1.4,49,308,1,0,89.5,65.3,70.5,-5.2
Justin Herbert,LAC,3.04,8.9,9.8,-0.9,10.3,52.4,1.3,29,300,2,0,132.8,79.3,64.6,14.7
Brock Purdy,SF,3.31,9.6,10.1,-0.6,17.6,35.7,2,34,295,5,1,126.8,73.5,60.7,12.8
Trevor Lawrence,JAX,3.12,6.2,8.6,-2.4,25,33,-0.1,36,279,3,0,115.4,63.9,59.7,4.2
Philip Rivers,IND,2.48,6.3,9.4,-3.1,20,31.7,-0.7,35,277,2,1,97,65.7,65.9,-0.2
Sam Darnold,SEA,2.83,5.3,6.3,-1,8.8,40.5,-2.9,34,270,2,2,84.2,64.7,64.7,0
Aaron Rodgers,PIT,2.46,5.2,7.7,-2.5,19.5,48.8,-1.8,41,266,1,0,92.1,65.9,62,3.8
Quinn Ewers,MIA,2.85,5.4,7.7,-2.3,23.3,32.4,-1.1,30,260,0,2,66,66.7,64.7,2
Caleb Williams,CHI,3.13,8.3,9.9,-1.5,8.8,56.9,1.8,34,250,2,0,98.9,55.9,55.5,0.4
Dak Prescott,DAL,3.08,8.3,10.3,-2,13.3,52.5,2.2,30,244,2,0,116.5,70,63.8,6.2
Cam Ward,TEN,2.42,4.2,5.8,-1.6,--,42.8,-2.1,28,228,2,0,122.3,75,72.7,2.3
Jacoby Brissett,AZ,3.05,6.6,8.4,-1.8,16.1,45.7,0.1,31,203,1,1,69.7,51.6,56.2,-4.6
Geno Smith,LV,2.95,6.5,8.5,-2.1,13,42,0.4,23,201,2,1,107.3,69.6,60,9.6
Kirk Cousins,ATL,2.73,2.1,5.3,-3.1,20,32.8,-2.8,35,197,2,1,82.7,60,66.1,-6.1
Bryce Young,CAR,2.99,6.3,8.6,-2.3,15.6,41,-0.6,32,191,2,0,102.5,65.6,60.8,4.9
Brady Cook,NYJ,2.45,1.2,4.6,-3.4,14.3,30.3,-5.8,35,188,0,1,64.9,62.9,72,-9.2
C.J. Stroud,HOU,2.74,5.5,8.1,-2.6,14.3,38.7,0,35,187,1,0,88.6,65.7,63.6,2.2
Jalen Hurts,PHI,2.65,5.3,6.6,-1.3,10,28.2,-2.1,30,185,2,0,111.1,73.3,68.9,4.4
Shedeur Sanders,CLE,2.89,0.6,2.5,-1.9,--,29.9,-8.7,29,157,1,2,64.9,69,71.6,-2.6
Baker Mayfield,TB,2.49,4.9,6.3,-1.4,15.4,38.6,-2.5,26,145,1,1,79.8,69.2,71,-1.8
Josh Allen,BUF,2.98,1.7,5.1,-3.5,5.3,19.3,-2.4,19,130,0,0,83.2,63.2,71.2,-8
Chris Oladokun,KC,2.75,3.5,4.3,-0.8,6.3,35.1,-3.6,16,111,0,0,88.3,68.8,74.8,-6.1
