PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Dak Prescott,DAL,2.75,7.1,9.9,-2.8,15.8,46.1,-0.2,38,345,2,1,103.5,68.4,62,6.4
Lamar Jackson,BAL,2.85,9.3,10.7,-1.4,9.5,47.3,1,21,321,5,0,158.3,85.7,65.4,20.4
Tyrod Taylor,NYG,2.77,6.2,8.2,-2.1,7.3,62.1,-2.9,41,319,1,1,87.3,65.9,68.1,-2.3
Matthew Stafford,LAR,2.28,3.1,5.2,-2.1,11.8,40.8,-2.2,34,317,1,2,85,70.6,78.8,-8.2
Baker Mayfield,TB,2.9,7,8.4,-1.4,21.2,48.4,-1.2,33,309,2,2,91.6,66.7,65.3,1.3
Joe Flacco,CLE,3.07,6.2,6.4,-0.2,17.2,33.4,-2.6,29,309,3,1,121.2,65.5,67.8,-2.3
Aidan O'Connell,LV,2.97,6.3,8.5,-2.2,19.1,40.5,-0.5,47,299,2,0,96,63.8,64,-0.1
Geno Smith,SEA,2.76,6.8,7.3,-0.6,15.2,35,-1.6,33,290,1,0,106.9,69.7,69.9,-0.2
Mason Rudolph,PIT,2.81,8.1,8,0.1,12.5,44,-0.1,24,274,0,0,112.2,75,61.2,13.8
Jared Goff,DET,2.6,8.6,7.7,0.9,17.6,52.4,-1,34,271,1,2,67.2,55.9,60.4,-4.5
Justin Fields,CHI,3.47,6.8,9,-2.2,12.5,45.7,-0.1,32,268,1,0,99.5,62.5,61,1.5
Trevor Siemian,NYJ,2.25,2.9,3.6,-0.6,8.9,30.4,-5.4,45,261,1,1,83.7,71.1,75.2,-4.1
Jordan Love,GB,2.69,5.8,9.8,-4,3,43.6,2.1,33,256,3,0,125.3,72.7,70.4,2.3
Patrick Mahomes,KC,2.91,3.7,5.5,-1.7,3.4,42.1,-2.5,29,245,1,0,109.1,72.4,75.3,-2.9
Tua Tagovailoa,MIA,2.25,5.5,7.5,-2,18.4,40,-0.9,38,237,2,2,71.9,57.9,62.1,-4.2
Kyler Murray,ARI,2.4,4.8,4.1,0.7,9.7,30,-3.7,31,232,3,1,116.7,80.6,72.8,7.8
Brock Purdy,SF,3.2,6.7,7.3,-0.6,21.4,38.2,-0.5,28,230,2,0,124.7,78.6,67.4,11.2
Gardner Minshew,IND,2.88,6.4,7.6,-1.1,17.4,38.6,-1.5,23,224,1,0,111.5,65.2,60.2,5
Jarrett Stidham,DEN,2.67,2,6.6,-4.5,18.8,28.9,-1.9,32,224,1,0,93.8,62.5,66.7,-4.2
Easton Stick,LAC,2.6,4.8,7.7,-2.9,21.1,36,-1.8,38,220,0,0,78.8,63.2,65.9,-2.7
C.J. Stroud,HOU,2.69,3.1,5.3,-2.2,18.8,37.3,-3.2,32,213,1,0,102.7,75,69.5,5.5
Bailey Zappe,NE,3.02,6.2,8.1,-1.9,15.4,50.2,-1.2,26,209,0,3,47.3,61.5,60,1.5
Derek Carr,NO,2.56,3.9,5.1,-1.2,21.9,36.1,-3.2,32,197,2,0,111.1,75,68.7,6.3
Jake Browning,CIN,3.1,4.3,7.4,-3.1,12.1,36.1,-2.3,33,197,1,0,85,57.6,65,-7.4
C.J. Beathard,JAX,2.52,5.8,7,-1.2,16.7,42.7,-0.3,24,178,0,0,92,70.8,57.2,13.6
Josh Allen,BUF,2.7,6.6,11.3,-4.8,10,39.5,2.7,30,169,0,1,53.3,50,64.8,-14.8
Sam Howell,WAS,2.96,3.6,5.4,-1.8,17.9,44,-3.1,28,169,1,2,60,60.7,60.2,0.5
Ryan Tannehill,TEN,2.55,4,3.7,0.3,5,37.8,-6.1,20,168,0,0,101.7,80,70.7,9.3
Jalen Hurts,PHI,3.19,5.9,11.9,-6,13,32,4,23,167,3,1,118.4,78.3,63.8,14.5
Taylor Heinicke,ATL,3.25,5,10.8,-5.8,13.8,34.6,1.3,29,163,1,3,26.1,34.5,60.7,-26.2
Nick Mullens,MIN,3.24,3.7,7.2,-3.5,27.3,29.1,-0.8,22,113,1,0,87.9,59.1,62.7,-3.6
Bryce Young,CAR,2.71,2.1,7.5,-5.4,6.3,32.1,-0.1,32,112,0,1,53.1,59.4,66.1,-6.7
