PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Caleb Williams,CHI,2.42,4.6,6.8,-2.2,10.6,35,-1.6,47,340,2,0,103.1,68.1,69.6,-1.5
Sam Darnold,MIN,3.35,8.7,8.4,0.3,23.5,48.1,-1,34,330,2,0,116.1,64.7,58.2,6.5
Tua Tagovailoa,MIA,2.34,4.7,5.6,-0.9,20,39.4,-2.1,40,317,4,0,128.9,72.5,69.7,2.8
Baker Mayfield,TB,2.6,5.8,6.4,-0.6,16.7,35.9,-2.4,30,294,0,0,107.5,80,67.8,12.2
Kyler Murray,ARI,3.13,5.4,8.3,-2.9,16.2,36.5,-1,37,285,0,1,77,64.9,61.3,3.6
Will Levis,TEN,2.49,6.9,7.6,-0.7,--,54.8,-2.1,24,278,2,1,123.3,75,77.3,-2.3
Jayden Daniels,WAS,2.71,6.4,9.7,-3.4,18.4,38,1,38,275,2,2,82.7,65.8,62.9,2.8
Bo Nix,DEN,2.68,6.3,7.3,-1,14.3,41.2,-2.2,42,273,2,0,94.6,59.5,65,-5.5
Russell Wilson,PIT,3.13,8,9.6,-1.6,14.3,49.5,2,28,270,1,0,116.7,75,54.3,20.7
Patrick Mahomes,KC,2.89,5.4,6.3,-0.9,10.8,33,-2.7,37,269,3,0,120.2,73,73.1,-0.2
Jared Goff,DET,2.93,3.5,5.9,-2.4,16.7,32.6,-2.4,36,269,0,0,93.4,72.2,66.5,5.8
Bryce Young,CAR,2.66,7.4,9.7,-2.4,34.3,39.1,1.2,35,263,1,0,92.9,60,53.5,6.5
Geno Smith,SEA,3.24,3.8,5.2,-1.5,3.2,31.7,-4.3,31,254,1,1,92.7,71,72.8,-1.8
C.J. Stroud,HOU,3.01,8.2,9.1,-0.9,15.2,53.9,-0.8,33,247,2,2,78.7,60.6,57.2,3.4
Cooper Rush,DAL,2.38,5.6,6.2,-0.6,15.6,52.5,-2.8,32,247,2,0,117.6,75,76.3,-1.3
Matthew Stafford,LAR,2.59,5.6,6.6,-1,16.7,33.8,-1.8,36,243,2,0,104.3,66.7,64.8,1.9
Gardner Minshew,LV,2.84,5.6,5.8,-0.2,21.4,32.1,-3.4,42,230,1,1,72.5,59.5,55.7,3.8
Drake Maye,NE,2.8,5.3,8.1,-2.8,5.4,49.2,-2.2,37,222,1,1,74.4,59.5,65.3,-5.9
Jameis Winston,CLE,3.09,8.6,8,0.6,18.5,31.5,-0.1,27,219,0,1,76,66.7,66.3,0.4
Justin Herbert,LAC,2.87,6.3,9.8,-3.5,22.2,33.1,-0.3,36,218,0,0,75.9,58.3,66.8,-8.5
Brandon Allen,SF,2.8,5,7.3,-2.3,6.9,27,-2,29,199,1,1,76.7,58.6,63.8,-5.2
Tommy DeVito,NYG,2.68,4.4,6.2,-1.8,6.5,26.5,-3,31,189,0,0,83.9,67.7,68.5,-0.7
Jalen Hurts,PHI,3.25,5,6.5,-1.5,13.6,31.6,-1.8,22,179,1,0,108,68.2,56.4,11.8
Lamar Jackson,BAL,3.43,7.7,11.2,-3.5,13.6,57.4,2.4,22,177,2,0,126.5,72.7,66.1,6.6
Anthony Richardson,IND,2.86,8.5,13.4,-4.9,10.7,49.2,2.8,28,172,0,0,60.4,39.3,52.6,-13.3
Jordan Love,GB,2.84,5.2,11.6,-6.4,17.4,29.3,0.9,23,163,2,0,107.7,56.5,61.7,-5.2
