PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Trevor Lawrence,JAX,2.64,6.8,8.6,-1.7,15.8,41.6,-0.2,38,364,1,1,90.2,60.5,64.1,-3.6
Josh Allen,BUF,2.73,6.3,8.1,-1.8,15.7,40.7,-1.2,51,339,2,1,82.1,56.9,65,-8.1
Jared Goff,DET,2.74,6.4,7.9,-1.5,4.5,33.1,-0.3,44,332,2,0,103.6,65.9,67.9,-2
Dak Prescott,DAL,2.89,11.2,13.8,-2.6,25,46.9,5.1,32,331,4,0,142.1,68.8,61,7.7
Derek Carr,NO,2.64,6.9,8.1,-1.2,36.8,47.5,-1.4,38,304,0,1,77.1,63.2,59.7,3.5
C.J. Stroud,HOU,3.8,6.2,8.8,-2.6,8.3,36.2,-0.6,36,304,2,0,116,72.2,66.8,5.4
Sam Howell,WAS,2.78,5.2,7.9,-2.7,18.2,29.6,-1.2,44,300,0,1,74.1,63.6,60.6,3.1
Patrick Mahomes,KC,2.97,3.3,4.1,-0.8,5.9,35.7,-5.9,34,298,2,0,122.8,79.4,72.4,7
Kenny Pickett,PIT,2.57,6.4,8.4,-2,15.2,45.7,0,33,278,0,0,97.8,72.7,64.2,8.5
Jordan Love,GB,2.92,8.9,9.9,-1,21.9,57.6,1.8,32,268,3,0,125.5,68.8,58.5,10.2
Kyler Murray,ARI,2.82,5,8.3,-3.3,17.8,49,-2.1,45,256,1,0,83.2,60,66.4,-6.4
Gardner Minshew,IND,2.52,4.7,5.8,-1.1,19.5,24,-2.8,41,251,0,1,66.2,58.5,64.2,-5.6
Aidan O'Connell,LV,2.57,3.9,5.1,-1.1,15.2,43.7,-3.4,33,248,1,0,101.6,69.7,70.4,-0.7
Tua Tagovailoa,MIA,2.17,5.2,5.1,0.1,16.7,41.2,-1.1,30,243,1,2,77.5,70,67.4,2.6
Matthew Stafford,LAR,2.57,4.1,6.1,-2,12.1,42.7,-1.1,33,229,4,1,121.1,75.8,70.6,5.2
Jake Browning,CIN,2.58,4.9,5.3,-0.4,26.9,34,-3.1,26,227,1,1,96.2,73.1,64,9
Justin Herbert,LAC,2.66,3.2,7.7,-4.5,13.6,39.9,-1.6,44,217,1,1,75.7,65.9,65.5,0.4
Justin Fields,CHI,3.37,1.9,2.7,-0.8,8.1,31.9,-6.6,37,217,0,0,87.3,73,67.3,5.6
Brock Purdy,SF,3.41,4.6,8.6,-4,10,34,-1.2,30,209,1,1,86.7,70,70.2,-0.2
Jalen Hurts,PHI,3.21,7.3,7.4,-0.1,12.9,41.4,-1.1,31,200,3,1,96.2,58.1,64.3,-6.3
Baker Mayfield,TB,2.54,5.9,7.7,-1.8,20,38,-1.7,30,199,2,1,93.6,66.7,66.4,0.2
Bryce Young,CAR,3.41,5.8,6.3,-0.5,12.9,34,-4.6,31,194,0,0,76.5,58.1,56.1,1.9
Tommy DeVito,NYG,2.82,6.6,7.7,-1.1,4,51.1,-4,25,191,1,0,103.9,68,71.4,-3.4
Joshua Dobbs,MIN,3.17,5.6,8.6,-2.9,15.6,42.6,-0.8,32,185,1,4,54.3,68.8,62.3,6.4
Will Levis,TEN,2.76,7.3,8.1,-0.7,3.6,32.2,-0.6,28,185,0,0,83.2,64.3,68.4,-4.1
Geno Smith,SEA,2.54,5.7,10.6,-4.9,22.2,41.1,1,27,180,0,1,70,66.7,65.4,1.3
Tim Boyle,NYJ,2.36,2.5,4.3,-1.7,7.9,28.1,-4.9,38,179,1,2,67.8,71.1,74.5,-3.5
Lamar Jackson,BAL,2.62,3.4,6.4,-2.9,18.8,24.6,-3.3,32,177,1,0,82.4,56.3,67.9,-11.7
Desmond Ridder,ATL,2.78,8.2,7.9,0.2,--,34.8,-1,21,168,1,2,63.3,61.9,67,-5.1
Russell Wilson,DEN,3.35,5.2,6.4,-1.2,9.1,35.3,-3.8,22,134,1,0,91.9,59.1,68.5,-9.4
Dorian Thompson-Robinson,CLE,2.93,6.7,8.3,-1.6,17.2,34.6,0.1,29,134,1,0,73.1,48.3,53.2,-5
Mac Jones,NE,2.08,-0.4,4.6,-5.1,14.3,20.9,-4,21,89,0,2,27.8,57.1,68.2,-11.1
