PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Baker Mayfield,TB,2.77,4.7,8.3,-3.6,6.7,37,-0.1,45,370,3,2,97.5,68.9,68,0.9
Justin Herbert,LAC,3.08,8.1,8.5,-0.4,15.4,51.6,-1.3,39,349,0,0,97.1,69.2,62.3,7
Josh Allen,BUF,2.58,7.4,9,-1.6,33.3,39.8,0.2,33,323,2,0,116.1,63.6,55.3,8.3
Lamar Jackson,BAL,2.83,8.4,8.6,-0.1,--,58.3,-3.9,22,281,5,0,158.1,77.3,75.2,2.1
Jared Goff,DET,2.57,6.2,7,-0.8,4,40.4,-2.5,25,280,2,0,140,88,76.4,11.6
Drake Maye,NE,2.78,4.6,7.4,-2.8,16.2,42.2,-2.6,37,276,2,0,109.7,70.3,66.8,3.5
Aaron Rodgers,NYJ,2.46,3.4,5.3,-1.9,10.3,35.6,-3.5,39,276,1,2,70,61.5,72.6,-11.1
Russell Wilson,PIT,3.08,8.2,8,0.2,31,56.2,-0.8,29,264,2,0,109,55.2,60,-4.8
Sam Darnold,MIN,2.96,7.5,8.1,-0.6,11.1,54.3,-2.2,27,259,1,1,103.5,81.5,67.7,13.8
Kirk Cousins,ATL,2.61,5.1,7.3,-2.2,8.6,37.8,-2.2,35,232,1,2,72.6,68.6,68,0.6
Jordan Love,GB,2.47,5.6,8.7,-3.1,27.3,42.6,-0.3,33,220,3,2,95.5,72.7,65.1,7.6
Mason Rudolph,TEN,2.78,4.2,5.7,-1.6,12.5,33.6,-2.5,40,215,1,1,74.5,62.5,60.5,2
Brock Purdy,SF,2.63,7.8,9.5,-1.8,12.9,51.2,1.6,31,212,0,3,36.7,54.8,61.5,-6.7
Geno Smith,SEA,3.09,7.5,12,-4.5,10.7,39.8,1.5,28,207,2,0,110.3,64.3,60.5,3.8
Marcus Mariota,WAS,3.5,9,10.7,-1.7,13,32.5,0.9,23,205,2,0,132.8,78.3,70.8,7.4
Trevor Lawrence,JAX,2.41,6.2,6,0.2,15,57.2,-1.9,20,193,1,0,121.5,75,77.1,-2.1
Joe Burrow,CIN,2.58,5.1,9.5,-4.4,36,29.2,1.3,25,181,2,0,108.9,60,60.6,-0.6
Spencer Rattler,NO,2.68,3.2,6.8,-3.6,5.7,30.4,-2.9,35,172,0,0,82.1,71.4,73.4,-1.9
Bo Nix,DEN,3.34,3.3,6.6,-3.3,3.8,31.1,-2.3,26,164,0,0,79.6,61.5,74,-12.5
Gardner Minshew,LV,2.82,2.3,6.6,-4.3,20.6,22.1,-2.3,34,154,0,3,21,44.1,53.3,-9.2
Matthew Stafford,LAR,2.24,3.2,6.8,-3.6,8.7,23.5,-1.8,23,154,0,1,62.6,60.9,68.7,-7.9
Patrick Mahomes,KC,2.76,2.9,8.3,-5.4,3.7,33.7,0.8,27,154,0,2,44.4,59.3,67,-7.7
Kyler Murray,ARI,2.75,3.9,5.7,-1.8,23.1,25.1,-3.1,26,145,1,1,67,53.8,65.5,-11.6
Anthony Richardson,IND,3.02,7.4,10.9,-3.5,12.5,34.4,2.5,24,129,0,0,59.2,41.7,58.6,-17
Deshaun Watson,CLE,3.31,4.8,6.4,-1.6,17.6,29.9,-4.3,17,128,0,0,98,88.2,77.6,10.6
Daniel Jones,NYG,2.96,3.2,6,-2.8,9.5,29.6,-3.4,21,99,0,0,77.3,66.7,65.9,0.7
Andy Dalton,CAR,2.75,4.9,4.3,0.6,18.8,32.9,-3.2,16,93,0,2,44,68.8,63.5,5.2
C.J. Stroud,HOU,3.25,3.8,7.6,-3.8,19,29.2,-1.1,21,86,0,0,58.8,47.6,55.8,-8.2
Dorian Thompson-Robinson,CLE,2.46,3,5.1,-2.1,--,28.7,-3.3,24,82,0,2,19.8,45.8,64.4,-18.5
