PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Joe Flacco,CIN,2.69,9,9.3,-0.3,25.5,47.2,0.1,47,470,4,2,109.4,66,57.7,8.2
Daniel Jones,IND,2.65,7.5,8.5,-1,20,37.5,0.5,50,342,1,3,63.9,62,63,-1
Sam Darnold,SEA,2.84,8.6,8.4,0.2,25,39.1,0.6,24,330,4,1,141,87.5,67.5,20
Jared Goff,DET,2.44,5.2,6.9,-1.6,10.8,41.5,-2.8,37,284,2,0,108.4,67.6,63.7,3.9
Geno Smith,LV,2.62,2.8,4.4,-1.6,15.4,29.3,-3.5,39,284,4,1,117.9,74.4,71,3.4
Matthew Stafford,LAR,2.76,7.4,10.1,-2.7,12.5,47.3,2.7,32,281,4,0,140.8,75,64.2,10.8
Caleb Williams,CHI,3.77,5.6,8.5,-3,8.8,36.2,0.6,34,280,3,0,114.8,58.8,61.4,-2.5
Jordan Love,GB,2.98,6.4,8.8,-2.4,16.2,59.9,-0.4,37,273,0,1,80.1,70.3,64.9,5.3
Josh Allen,BUF,2.64,4.3,4.6,-0.3,--,37.2,-3.6,26,273,1,0,123.2,88.5,77.1,11.4
Jacoby Brissett,AZ,3.13,6.5,8.7,-2.2,12.9,31.3,-1.4,31,261,2,0,115.1,67.7,63.9,3.9
Tua Tagovailoa,MIA,2.26,4.2,6.5,-2.3,15,31.9,-2.6,40,261,0,1,70.9,62.5,67.7,-5.2
Drake Maye,NE,2.96,7.4,9.7,-2.3,17.2,40.1,0.4,29,259,2,1,102.5,65.5,65.6,-0.1
Justin Herbert,LAC,2.95,7.7,10.6,-2.9,24.1,37.1,2.3,29,250,2,1,101.2,65.5,61.1,4.4
Patrick Mahomes,KC,3.37,11.7,14.4,-2.7,14.7,47.5,5.2,34,250,0,1,57.2,44.1,46.8,-2.7
Dak Prescott,DAL,2.9,7.2,10.9,-3.7,15.4,39.1,1.2,39,250,1,1,77.9,61.5,60.5,1
Mac Jones,SF,2.36,6.1,5.8,0.3,16.7,32.1,-3.5,24,235,2,0,135.2,79.2,69.5,9.6
Michael Penix Jr.,ATL,2.87,7.8,9.6,-1.8,27,53.9,1,37,221,3,0,103.5,59.5,55.7,3.8
Trevor Lawrence,JAX,2.85,5.5,8.5,-3,14.7,38.5,-1.2,34,220,0,1,73.2,67.6,65.9,1.7
Lamar Jackson,BAL,3.04,6.2,8.9,-2.7,13,39.6,1.6,23,204,4,0,143.2,78.3,70.8,7.5
Aaron Rodgers,PIT,2.14,1.7,2.7,-1.1,11.4,25.7,-5.6,35,203,1,0,95.3,71.4,78.1,-6.7
Jaxson Dart,NYG,2.62,4,5.9,-1.9,9.1,34.1,-3.1,33,191,2,0,107,72.7,73.8,-1.1
Tyler Shough,NO,2.79,8.2,9.5,-1.3,12.5,34.1,1.9,24,176,1,1,81.3,62.5,65.3,-2.8
Bo Nix,DEN,2.86,4.1,12,-7.9,18.9,41.5,2.6,37,173,2,1,68.9,48.6,58.5,-9.9
Jayden Daniels,WAS,2.78,5.1,5.8,-0.7,4.5,31,-3.8,22,153,0,1,72.7,72.7,71.9,0.9
Cam Ward,TEN,3.09,4.6,8.6,-4,9.5,29.8,-1.3,21,145,0,0,78.5,57.1,69.6,-12.4
J.J. McCarthy,MIN,3.07,8.2,10.4,-2.3,28,42.2,1.7,25,143,2,1,82.6,56,51.1,4.9
Davis Mills,HOU,2.61,6.3,8.3,-2,20,35.9,-0.2,30,137,0,0,68.3,56.7,60.4,-3.7
Bryce Young,CAR,2.8,7,6.6,0.4,15,30.4,-1.6,20,102,0,1,48.3,55,61.6,-6.6
