PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Joe Burrow,CIN,3.2,6.8,9.1,-2.3,21.4,49.5,1.5,56,428,4,0,108.3,60.7,61.3,-0.6
Brock Purdy,SF,2.73,7.1,7.7,-0.6,13.9,32.3,-1.2,36,353,2,0,119.3,69.4,61.7,7.7
Kirk Cousins,ATL,3.12,10.4,11.4,-1.1,23.7,43.9,1,38,306,0,1,75.1,60.5,56.3,4.3
Matthew Stafford,LAR,2.78,5.3,7,-1.8,8.7,41.9,-2.1,46,293,0,1,77.5,69.6,68.9,0.7
Lamar Jackson,BAL,3.28,4.7,7.6,-2.9,9.1,35.3,-1.9,33,290,4,0,141.4,75.8,70.5,5.2
Josh Allen,BUF,2.54,6.5,7.1,-0.6,10.8,40.7,-1.5,37,280,0,2,60.6,59.5,65,-5.5
Joe Flacco,IND,2.61,8.1,7.9,0.2,11.4,37,-1.4,35,272,2,3,79.7,74.3,69.4,4.9
Derek Carr,NO,2.92,6.7,8.2,-1.5,4,54.9,-0.9,25,269,2,0,126.9,64,55.1,8.9
Kyler Murray,ARI,2.49,4.1,4.9,-0.8,20.8,36.3,-3.5,24,266,1,0,126.7,91.7,69.7,21.9
Patrick Mahomes,KC,2.89,2.4,4.9,-2.6,7.1,32.5,-3.2,42,266,1,0,92,66.7,70.9,-4.2
Sam Darnold,MIN,3.24,5.8,9.4,-3.6,15.8,35.9,0.8,38,241,0,3,48.2,63.2,59.2,3.9
Jared Goff,DET,3.02,7.3,11.2,-3.9,3.3,46.9,1.9,30,240,2,5,59.7,50,53.8,-3.8
C.J. Stroud,HOU,2.93,6,8.4,-2.4,15.2,29.7,-0.7,33,232,1,2,64.2,57.6,60.1,-2.5
Bo Nix,DEN,2.64,4.3,7.2,-2.9,6.7,43.1,-2.3,30,215,2,0,115.3,73.3,67,6.3
Tua Tagovailoa,MIA,2.65,3.9,5.2,-1.3,7.1,33.6,-4.4,28,207,1,1,89.4,71.4,78.4,-7
Jalen Hurts,PHI,3.3,9,12.4,-3.4,30,47.9,4.6,20,202,2,1,115,70,52.3,17.7
Jayden Daniels,WAS,2.54,6.4,7.7,-1.3,20.6,43.3,-1.7,34,202,0,0,68.5,50,63.1,-13.1
Russell Wilson,PIT,2.96,7.7,11.9,-4.1,21.4,43.4,2.9,28,195,3,1,93.6,50,52.8,-2.8
Daniel Jones,NYG,2.86,7.2,8.5,-1.4,16.2,29.6,0.2,37,190,0,2,50.5,59.5,58.6,0.8
Drake Maye,NE,3.44,5.6,9.5,-3.9,16,39.6,2.2,25,184,1,1,79.4,60,59.5,0.5
Will Levis,TEN,2.53,5.7,7.9,-2.2,13,44.9,-1.9,23,175,2,0,127.4,78.3,67.6,10.7
Justin Herbert,LAC,2.95,5.4,8.2,-2.9,22.2,36.4,0,18,164,1,0,123.1,77.8,59.8,18
Aaron Rodgers,NYJ,2.7,2.5,6.3,-3.9,11.4,25.3,-0.1,35,151,0,0,72.4,62.9,66.9,-4
Bryce Young,CAR,2.59,5.7,7,-1.3,28,33.7,-1.6,25,126,1,0,86.4,60,63.4,-3.4
Caleb Williams,CHI,2.79,4.2,6.3,-2.1,13.3,29.1,-4.3,30,120,0,0,63.2,53.3,60.8,-7.4
Baker Mayfield,TB,2.84,1.4,5.2,-3.8,20.7,24.9,-2.7,29,116,1,0,82,62.1,67.7,-5.6
Mac Jones,JAX,2.92,3.9,7.7,-3.8,9.1,31.4,-1.9,22,111,0,2,38.3,63.6,61.6,2
Cooper Rush,DAL,2.43,0.9,6.9,-6.1,26.1,26.1,-1.2,23,45,0,0,61.7,56.5,64.3,-7.7
