PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Matthew Stafford,LAR,2.65,7.4,8.2,-0.8,12.2,44.9,-1.4,41,375,3,0,123.5,70.7,68.1,2.7
Carson Wentz,MIN,2.7,6.3,8.2,-1.9,8.7,42,-0.4,46,350,2,2,84.5,65.2,63.2,2
Jordan Love,GB,2.76,2.7,5.5,-2.9,9.3,50.6,-4.1,43,337,3,0,118.1,72.1,61.5,10.6
Bo Nix,DEN,2.77,3,6.3,-3.3,4.8,39.7,-3.8,42,326,2,1,97.9,69,74.4,-5.3
Dak Prescott,DAL,2.84,6.2,8.6,-2.4,15,47.6,0.7,40,319,3,0,124.9,77.5,68,9.5
Michael Penix Jr.,ATL,2.62,8.5,10.1,-1.6,7.7,53.2,1.4,26,313,2,1,126,76.9,69.3,7.7
Brock Purdy,SF,3.04,7.3,7.6,-0.3,15.8,45.5,-0.7,38,309,2,2,79.8,57.9,68.3,-10.4
Baker Mayfield,TB,2.87,4.2,8.4,-4.1,35,43,-0.5,40,289,2,1,84.3,55,55.1,-0.1
Patrick Mahomes,KC,2.58,4.4,7.1,-2.7,21.6,45.1,-0.6,37,270,4,0,124.8,67.6,66.2,1.4
Daniel Jones,IND,2.82,5.4,9.2,-3.8,9.1,43.3,-1,33,262,1,2,80.6,72.7,65.4,7.4
Sam Darnold,SEA,2.78,8,9.3,-1.3,23.1,44.8,0,26,242,1,0,111.4,69.2,60.6,8.6
C.J. Stroud,HOU,2.62,5.6,6.2,-0.6,--,41.9,-4,28,233,2,0,125.1,78.6,76.7,1.8
Justin Fields,NYJ,3.16,6.7,7.4,-0.7,14.8,42.3,-3.2,27,226,1,0,111,74.1,68.1,6
Caleb Williams,CHI,3.3,4.9,6.8,-1.9,5.4,29.7,-2.9,37,212,1,1,73.3,59.5,73.4,-13.9
Josh Allen,BUF,2.74,5.2,9.6,-4.3,18.2,36.5,1.3,22,209,2,1,113.6,72.7,70.7,2
Drake Maye,NE,3,6.4,7.9,-1.5,5.9,41.7,-1.5,17,203,2,0,155.6,82.4,68.8,13.6
Justin Herbert,LAC,2.63,5.4,6.5,-1.1,22,46,-3.2,41,203,1,2,57.3,56.1,56.9,-0.8
Aaron Rodgers,PIT,2.17,2.2,2.8,-0.6,9.1,27.4,-6.1,22,200,1,0,119.7,81.8,77.7,4.2
Kyler Murray,AZ,2.37,2.9,5.5,-2.6,19.5,36.3,-3.1,41,200,2,2,73.2,65.9,68.4,-2.6
Joe Flacco,CLE,2.95,6.6,9.6,-3.1,29.4,49.1,-0.5,34,184,0,2,39.3,47.1,54.8,-7.7
Tua Tagovailoa,MIA,2.74,5.3,5.2,0.1,20,33.3,-2.8,25,177,2,0,114.9,68,73.7,-5.7
Trevor Lawrence,JAX,2.63,5.2,6.4,-1.2,9.7,34.7,-2.7,31,174,1,0,92.7,67.7,67.2,0.5
Jared Goff,DET,2.71,5.6,11.9,-6.3,14.8,33.3,2.9,27,168,2,1,86.7,59.3,59.6,-0.3
Marcus Mariota,WAS,2.85,8.7,12.8,-4.1,11.1,42.7,2.2,27,156,2,1,84.8,59.3,57.8,1.5
Bryce Young,CAR,2.91,3.1,5.6,-2.5,16.7,30.7,-3.2,30,150,1,0,84,60,59.1,0.9
Lamar Jackson,BAL,2.82,5.9,6,-0.2,5,31.4,-4.2,20,147,1,1,86.9,70,66.6,3.4
Jalen Hurts,PHI,2.35,3,6.8,-3.8,20.8,29,-0.3,24,130,2,0,104.5,62.5,58.5,4
Spencer Rattler,NO,2.62,4.7,5.6,-0.9,3.7,31.6,-3.1,27,126,1,0,89.4,66.7,68,-1.3
Jake Browning,CIN,2.66,4,7.8,-3.8,28,34.6,-2,25,125,0,0,69.6,56,55.4,0.6
Geno Smith,LV,2.61,1.4,4.8,-3.4,4.8,23.3,-3.8,21,117,2,3,73,66.7,74.3,-7.6
Jaxson Dart,NYG,2.48,3.5,7.1,-3.6,5,27.2,-2,20,111,1,0,96,65,72.9,-7.9
Cam Ward,TEN,3.1,6.6,8.2,-1.5,34.6,46.6,-1.5,26,108,0,1,35.4,38.5,53.1,-14.7
