PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Jordan Love,GB,2.64,3.6,5.4,-1.9,10.8,42.3,-2.2,37,360,3,0,134.2,78.4,70.8,7.6
C.J. Stroud,HOU,2.69,5.5,7.6,-2.1,5.1,52.5,-1.2,39,318,2,1,106.6,76.9,70.6,6.3
Patrick Mahomes,KC,2.93,4.9,6.4,-1.5,11.8,38.6,-1.6,34,299,3,2,104.9,73.5,69.1,4.4
Caleb Williams,CHI,3.11,6.3,8.8,-2.5,18.4,39.8,0.5,38,285,0,1,77.2,65.8,60.1,5.7
Drake Maye,NE,2.95,11.2,11.9,-0.6,20.8,47.2,2.8,24,282,3,1,135.8,75,59.5,15.5
Daniel Jones,IND,2.89,6.9,8.9,-2,27.6,58.3,-0.8,29,272,3,0,136,72.4,57.1,15.3
Cam Ward,TEN,3.15,6.8,9,-2.2,10.5,34.6,0.2,38,259,1,1,76.5,57.9,61.5,-3.6
Bo Nix,DEN,2.7,9.5,11.7,-2.2,13.8,47.2,3,29,247,4,1,117.4,65.5,63.2,2.3
Justin Fields,NYJ,2.85,4.4,6.3,-1.9,15.6,35.8,-1.3,32,244,1,0,99,65.6,60.9,4.7
Justin Herbert,LAC,3.02,8.6,8.8,-0.2,8,45.2,0.3,25,227,3,1,122.8,72,64.1,7.9
Joe Flacco,CIN,2.59,3.2,5.9,-2.8,17.6,50,-3,34,223,2,0,100.5,61.8,62.2,-0.4
Aaron Rodgers,PIT,2.84,5.2,6.8,-1.6,11.1,56,-2.1,36,219,2,0,101.5,66.7,65.4,1.3
Marcus Mariota,WAS,3.02,4.5,4.9,-0.5,13.3,42.5,-3.3,30,213,1,2,73.3,70,65.3,4.7
Tua Tagovailoa,MIA,2.37,2.7,3.7,-1,11.5,26.5,-5.5,26,205,4,0,138.6,76.9,73.4,3.5
Mac Jones,SF,2.75,6.7,10.5,-3.8,31.3,39.5,1,32,193,2,1,84.5,59.4,57.9,1.4
Jaxson Dart,NYG,3.68,8.5,10.8,-2.3,16.7,36.7,1.1,24,193,1,0,98.1,58.3,56.4,1.9
Dak Prescott,DAL,2.46,6.8,7.5,-0.7,25.8,37.6,-0.5,31,188,0,2,51.5,61.3,61.7,-0.4
Tyler Huntley,BAL,2.64,8.4,9.3,-0.9,18.2,38.5,-0.2,22,186,1,0,116.9,77.3,73.9,3.3
Jalen Hurts,PHI,2.8,6,8.4,-2.4,15,49.7,-0.1,20,179,4,0,141.5,75,67.3,7.7
Andy Dalton,CAR,2.66,7.6,7.9,-0.3,4.2,33.1,-0.7,24,175,0,1,70.7,66.7,65,1.7
Kirk Cousins,ATL,2.63,4.6,7.6,-3.1,9.7,34.5,-0.6,31,173,0,0,81.8,67.7,66.6,1.1
Josh Allen,BUF,2.9,3.9,5.8,-1.9,15.8,27,-2.6,19,163,1,0,108,63.2,71.1,-7.9
Dillon Gabriel,CLE,3.1,3.1,6.7,-3.5,25.7,29,-3,35,156,2,2,65.9,60,59.5,0.5
Baker Mayfield,TB,2.82,4.6,6.6,-2.1,25,31,-1.6,24,152,0,0,80.6,62.5,69.9,-7.4
Carson Wentz,MIN,2.87,4.7,5.8,-1.1,14.8,31.1,-3.9,27,144,1,1,67.5,55.6,65.9,-10.4
Spencer Rattler,NO,2.91,4.8,9,-4.2,14.3,40.3,-1.7,21,136,0,1,68.8,71.4,69.1,2.3
Tyler Shough,NO,2.48,5.3,8.6,-3.4,13.3,27.4,0.6,30,128,0,1,53.2,56.7,66.4,-9.8
