PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Justin Herbert,LAC,3.13,7.6,8.9,-1.3,12.7,44.3,0.1,55,420,3,2,93,67.3,60.9,6.4
Joe Flacco,CIN,2.44,5.4,6.9,-1.5,10.6,35.7,-2,47,342,3,0,108.6,66,67.9,-1.9
Jalen Hurts,PHI,3.39,12.2,12.1,0.1,17.4,54.6,2.1,23,326,3,0,158.3,82.6,57.6,25
Carson Wentz,MIN,2.96,7.4,10.5,-3.1,21.4,48.5,1.5,42,313,0,2,64.9,61.9,60.6,1.3
Trevor Lawrence,JAX,2.87,8.9,11.2,-2.3,14.6,47.5,1.9,48,296,1,0,74.7,47.9,60.6,-12.7
Daniel Jones,IND,2.88,6.8,11,-4.1,17.6,54.1,2.3,34,288,2,0,113.4,67.6,59.2,8.5
Patrick Mahomes,KC,2.27,4.2,5.5,-1.4,8.6,40.4,-3.1,35,286,3,0,126.6,74.3,74.2,0.1
Jaxson Dart,NYG,2.93,8.1,10.6,-2.4,9.1,45.2,1,33,283,3,1,93.4,45.5,63.6,-18.1
Bo Nix,DEN,2.67,5.2,8.4,-3.2,18,43.7,-0.3,50,279,2,0,83.7,54,62.9,-8.9
Jacoby Brissett,AZ,2.91,6.8,8.6,-1.8,8.3,54.4,-0.9,36,279,2,0,110.8,69.4,63.9,5.6
Dak Prescott,DAL,2.76,5.9,6.9,-0.9,20,48.6,-2.1,30,264,3,0,130.4,70,66.6,3.4
Cam Ward,TEN,2.85,4.6,5.6,-1,8.8,50,-3.1,34,255,1,1,92.2,73.5,67.4,6.1
Aaron Rodgers,PIT,2.91,4.4,8.7,-4.3,2.9,47.5,-0.1,34,249,4,2,103.7,67.6,70.1,-2.5
Jared Goff,DET,2.5,2.4,5.7,-3.3,13.8,29.7,-3.4,29,241,1,1,91.3,69,68.4,0.5
Michael Penix Jr.,ATL,2.84,6.7,9.9,-3.2,13.2,41.9,0.8,38,241,1,0,83.3,55.3,61.6,-6.3
Spencer Rattler,NO,2.84,8.2,11.8,-3.5,12.5,54.9,1.8,32,233,2,3,66.3,62.5,61.3,1.2
C.J. Stroud,HOU,2.92,4.9,8,-3.1,22.4,35.6,-1,49,229,1,1,59,46.9,55.9,-8.9
Baker Mayfield,TB,3.15,4.2,9.3,-5.1,20,30.5,0.3,50,228,1,1,66.1,56,64.1,-8.1
Drake Maye,NE,2.6,7.8,8.2,-0.3,17.4,52.6,-0.1,23,222,2,0,135.9,91.3,66.9,24.4
Sam Darnold,SEA,2.73,8.2,10.3,-2.1,16.1,36.6,0.6,31,213,1,1,73.7,54.8,54.4,0.4
Matthew Stafford,LAR,2.73,6.3,10.7,-4.5,30.3,46.4,4.2,33,182,5,0,117.7,63.6,58.2,5.4
Jordan Love,GB,2.91,5.4,7.2,-1.8,13.8,36.1,-0.4,29,179,1,0,93.9,65.5,66.4,-0.9
Caleb Williams,CHI,3.74,5.3,7.9,-2.6,15.4,29.9,-1.6,26,172,0,1,61.7,57.7,66.3,-8.6
Jayden Daniels,WAS,3.12,6.7,8,-1.3,9.1,47.1,0,22,156,1,0,92.2,54.5,69.1,-14.6
Mac Jones,SF,2.72,2.7,4.6,-1.9,7.7,27.6,-3.6,26,152,0,1,64.9,65.4,69.8,-4.4
Bryce Young,CAR,3.13,2,5.5,-3.5,20,20.7,-3.4,25,138,1,0,88.4,60,64.2,-4.2
Tyrod Taylor,NYJ,3.17,9.1,14.9,-5.8,31.8,32,5.3,22,126,0,2,25.9,45.5,54.3,-8.9
Dillon Gabriel,CLE,2.72,1.9,4.3,-2.4,16.7,26.8,-6.3,18,116,0,0,89.1,72.2,70.2,2
Tua Tagovailoa,MIA,2.5,2.9,5.5,-2.5,4.3,30.4,-4.5,23,100,0,3,24.1,52.2,65.1,-12.9
Geno Smith,LV,2.47,-0.2,3.6,-3.8,12.5,25.7,-9.5,16,67,0,0,71.6,62.5,67.1,-4.6
