PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Jared Goff,DET,2.84,8,8.5,-0.5,6.9,31.5,1.2,29,412,4,0,158.3,82.8,67.1,15.7
Jameis Winston,CLE,2.76,6.2,11.2,-5,13,45.9,2.6,46,395,2,0,106.7,65.2,60,5.2
Joe Burrow,CIN,3.11,8.7,11.6,-2.9,22,50.3,3.1,50,356,3,0,98.4,56,55.8,0.2
Cooper Rush,DAL,2.6,4.4,6,-1.6,18.2,34.8,-3.7,55,354,1,1,75.9,58.2,66.1,-7.9
Bo Nix,DEN,2.84,3.4,3.6,-0.3,12.1,30.9,-5.8,33,307,4,0,145,84.8,74.8,10.1
Justin Herbert,LAC,3.13,13.3,13.1,0.3,27.8,40.4,4.1,36,297,2,0,94.3,47.2,51.5,-4.2
Matthew Stafford,LAR,2.57,9.9,11.4,-1.5,14.8,40.7,4.5,27,295,4,0,142.7,66.7,60.2,6.5
Will Levis,TEN,2.76,8.9,10,-1.1,12.9,49.3,-0.4,31,295,1,1,84.7,54.8,61.4,-6.6
Tua Tagovailoa,MIA,2.4,4.5,5.6,-1.1,2.8,31.1,-1.5,36,288,3,0,127.8,77.8,73.9,3.9
Gardner Minshew,LV,2.7,2.9,3.7,-0.8,11.6,29.7,-5,43,282,2,1,93.4,69.8,70,-0.3
Drake Maye,NE,2.58,4.1,5.8,-1.7,20.5,31.9,-2.7,39,282,2,1,100.6,74.4,62.9,11.4
Anthony Richardson,IND,2.91,8.7,9,-0.3,3.3,42.3,-0.4,30,272,1,0,106.5,66.7,61.2,5.5
Josh Allen,BUF,2.76,3.9,6.4,-2.5,7.5,42.9,-2.5,40,262,1,1,83.5,67.5,66.3,1.2
Jordan Love,GB,3.31,8.7,7.5,1.2,17.6,50.6,-1.4,17,261,1,1,113,76.5,71.7,4.7
C.J. Stroud,HOU,2.57,4.1,5.3,-1.2,14.7,33.6,-2.9,34,257,0,1,77.7,67.6,73.4,-5.8
Derek Carr,NO,2.93,3.9,6.1,-2.2,14.8,31.9,-2.2,27,248,2,0,129.6,77.8,69.3,8.4
Sam Darnold,MIN,2.9,6.6,9.9,-3.4,15.6,37.2,1.8,32,246,2,0,107,62.5,60,2.5
Caleb Williams,CHI,2.42,4.6,6.6,-2,12.9,33.3,-2.4,31,231,0,0,95,74.2,70.2,4
Geno Smith,SEA,3.08,5.9,8.2,-2.3,9.4,37.9,-0.7,32,221,0,1,82.4,78.1,60.4,17.7
Jalen Hurts,PHI,3.01,4.2,5.7,-1.5,3.6,34.3,-2.6,28,221,0,0,88.5,64.3,65,-0.8
Lamar Jackson,BAL,3.45,5.1,9.6,-4.4,15.2,30,0.1,33,207,1,1,66.1,48.5,60.2,-11.7
Russell Wilson,PIT,2.82,3,5.7,-2.7,8.3,47.8,-3.3,36,205,0,1,67.5,63.9,67.2,-3.3
Patrick Mahomes,KC,3.35,4,6.8,-2.8,18.2,38.9,-1,33,196,3,2,90,69.7,61.7,8
Jayden Daniels,WAS,2.61,1.8,3.6,-1.8,6.3,28,-4.4,32,191,1,1,81.6,68.8,80.2,-11.4
Aaron Rodgers,NYJ,2.43,2.8,4.2,-1.4,13.8,27.7,-4.9,29,184,2,0,114.7,75.9,71.7,4.1
Kirk Cousins,ATL,2.55,4.2,6.7,-2.4,25.9,35.5,-2.4,27,173,0,1,68.9,66.7,64.6,2
Brock Purdy,SF,2.75,5.3,5.8,-0.6,25,30.8,-4.2,28,159,1,1,85.3,75,65.3,9.7
Mac Jones,JAX,3.02,3.7,11,-7.3,27.6,25.4,2.6,29,138,0,1,56.4,58.6,58.8,-0.1
