PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Joe Burrow,CIN,2.23,7.3,7.4,-0.1,20.4,43.4,-0.1,49,412,3,0,122.1,79.6,65.5,14.1
Sam Darnold,MIN,3.01,5.9,7.8,-1.9,9.3,44.3,-0.9,43,377,3,1,116.1,76.7,70.3,6.5
Brock Purdy,SF,2.84,8,8.9,-1,14.3,49.8,0.4,35,377,3,2,116,77.1,62.6,14.6
Baker Mayfield,TB,3.01,7.8,8.5,-0.7,6.3,29.4,-0.7,32,359,5,0,153,84.4,72.4,12
Joe Flacco,IND,2.74,7.8,10,-2.2,21.1,54.7,1.1,38,330,2,2,90.9,68.4,58.7,9.8
Kyler Murray,ARI,2.62,4.5,6.6,-2.1,12.5,36.8,-2.4,48,321,1,2,76.8,68.8,65.2,3.5
Patrick Mahomes,KC,2.34,4.8,5.7,-0.9,5.3,50.8,-3,38,320,3,0,127.1,76.3,74.7,1.6
Drew Lock,NYG,2.74,8,8.3,-0.3,26.1,46,-1.5,23,309,4,0,155.3,73.9,65.5,8.4
Jared Goff,DET,2.66,4.9,5.1,-0.2,11.8,34.7,-2.4,34,303,3,0,132.4,76.5,67.2,9.3
Justin Herbert,LAC,3.03,6.2,10.2,-4.1,13.2,44.2,2.7,38,281,3,0,116.2,68.4,65.9,2.5
Aidan O'Connell,LV,3,8.2,10.1,-2,20,41.7,2.5,35,242,2,0,97.6,57.1,60.8,-3.6
Jayden Daniels,WAS,2.62,4.2,6.9,-2.7,13.9,25.3,-3.8,36,227,3,1,100.1,66.7,69.6,-3
Tyler Huntley,MIA,2.37,5.5,5.5,0,3.8,26.4,-6,26,225,1,0,115.5,84.6,68.4,16.2
Michael Penix Jr.,ATL,2.85,7.1,12.6,-5.4,11.4,39.9,3,35,223,1,1,71.5,54.3,63.8,-9.5
Bo Nix,DEN,2.6,5.4,7.6,-2.2,6.5,67,-1,31,219,3,1,114.9,77.4,70.4,7
Spencer Rattler,NO,2.86,5.2,7.3,-2.1,5.6,51.3,-3.1,36,218,1,2,59.7,55.6,68.9,-13.3
Russell Wilson,PIT,2.85,4.1,7.1,-3,16.2,40.6,-2.5,37,205,0,1,65.7,62.2,67.2,-5.1
Bryce Young,CAR,3.07,12.5,13.9,-1.4,17.9,48.9,5.2,28,203,2,0,100.7,53.6,42.4,11.2
Mason Rudolph,TEN,2.9,7.5,8.8,-1.3,29,36.9,-0.5,31,193,1,1,76.4,61.3,58.1,3.2
Matthew Stafford,LAR,2.97,5.2,7,-1.8,--,35.5,-1,32,189,0,0,71,53.1,61.7,-8.6
C.J. Stroud,HOU,3.1,6.9,9.7,-2.8,25.8,41.1,1.1,31,185,0,1,59.2,54.8,60,-5.2
Jordan Love,GB,2.7,6.5,10,-3.5,20,32.4,2.2,30,185,1,0,91.7,63.3,61.7,1.6
Josh Allen,BUF,2.91,7,8.4,-1.4,29.6,45.6,-1,27,182,2,0,104.2,59.3,59.8,-0.5
Mac Jones,JAX,2.37,5.5,6.3,-0.8,13.6,41.6,-4.1,22,174,2,0,122.2,68.2,65.2,2.9
Dorian Thompson-Robinson,CLE,2.57,3.7,4.7,-1,8.5,31.9,-4.3,47,170,0,1,50.8,51.1,63.5,-12.5
Lamar Jackson,BAL,3.67,6.1,10.1,-4.1,6.7,25.9,1.9,15,168,2,0,143.9,66.7,62.6,4.1
Geno Smith,SEA,2.82,2.2,3.4,-1.1,8.7,31.8,-5,23,160,0,0,92.7,73.9,74.6,-0.7
Cooper Rush,DAL,2.58,5.6,9.1,-3.5,28.6,34.7,1,28,147,1,2,50.7,53.6,60.9,-7.4
Kenny Pickett,PHI,2.9,11.7,9.8,1.9,20,52,-0.6,15,143,1,0,119.6,66.7,57.1,9.5
Caleb Williams,CHI,2.83,1,6.4,-5.4,3.6,30,-3.8,28,122,0,1,53,57.1,61.9,-4.8
Drake Maye,NE,2.35,8.2,9.4,-1.2,18.2,47.2,0.6,22,117,1,0,84.8,54.5,59.6,-5.1
Aaron Rodgers,NYJ,2.67,2.7,5.2,-2.5,5.6,26.4,-5.3,18,112,0,2,44,66.7,77.2,-10.6
