PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Jacoby Brissett,AZ,2.73,5.3,6.5,-1.2,8.8,46.5,-2.7,57,452,2,2,96.8,82.5,74.2,8.3
Bryce Young,CAR,2.64,6.3,6.9,-0.6,11.1,46.1,-1.4,45,448,3,0,123.2,68.9,69.6,-0.7
Josh Allen,BUF,2.89,8.4,10.7,-2.3,13.3,56.1,2.7,30,317,3,2,104.4,63.3,66.9,-3.5
Bo Nix,DEN,3.11,6,9,-3,13.5,38.2,-0.1,37,295,0,0,89.4,64.9,60.2,4.6
Drake Maye,NE,3.16,7,10.9,-3.9,17.6,38.5,1.3,34,281,1,0,107.6,73.5,65.9,7.6
Sam Darnold,SEA,3.27,5.8,8.6,-2.9,13.6,36.4,-0.1,44,279,0,4,45.5,65.9,61.9,4
Patrick Mahomes,KC,2.69,3.1,6.9,-3.8,11.1,53.8,-3.1,45,276,1,1,79.5,64.4,69.8,-5.3
Davis Mills,HOU,2.39,7.5,8.6,-1.1,22,33.2,-1.6,41,274,1,0,90.9,63.4,59.8,3.6
Dak Prescott,DAL,2.81,4.9,6.8,-1.9,15.2,27.9,-0.9,33,268,4,0,138.6,75.8,69.6,6.2
Jared Goff,DET,2.66,3.9,7,-3,18.9,28,-1.5,37,255,1,1,60.1,37.8,63.3,-25.4
Geno Smith,LV,2.76,3.1,5.3,-2.2,7.1,29.5,-3.8,42,238,1,1,77.3,64.3,70.1,-5.8
Marcus Mariota,WAS,2.58,3.8,7.3,-3.6,20,28.7,-1.1,30,213,1,1,84.4,66.7,63.4,3.2
Jameis Winston,NYG,2.5,5.6,7.4,-1.8,17.2,30.7,-0.1,29,201,0,1,71.2,65.5,65.8,-0.3
Brock Purdy,SF,3.33,6.8,8,-1.2,23.1,39.4,-0.4,26,200,3,0,133.5,73.1,63.6,9.5
Joe Flacco,CIN,2.79,4,7.1,-3.1,12.5,36.3,-1.9,40,199,1,1,68.6,57.5,68.1,-10.6
Cam Ward,TEN,2.6,3.9,7.1,-3.3,13.5,50.5,-2.4,37,194,1,0,87,64.9,66.3,-1.5
Lamar Jackson,BAL,2.86,5.7,7.9,-2.2,24,33.3,-1.7,25,193,0,2,47.6,56,65.1,-9.1
Caleb Williams,CHI,3.53,4.8,10.8,-6,9.4,28.8,0.7,32,193,0,0,68.9,50,59,-9
Michael Penix Jr.,ATL,2.67,6.3,7.8,-1.5,6.3,29.6,-1.7,16,175,0,0,112.2,81.3,65.7,15.6
Jordan Love,GB,3.27,11.5,13.1,-1.6,29.2,45.2,4.4,24,174,2,0,105.2,54.2,54.1,0
Baker Mayfield,TB,2.75,5.7,7.5,-1.7,14.3,32.5,-0.3,28,173,1,1,72.5,57.1,64.1,-6.9
Tua Tagovailoa,MIA,2.4,3.5,6.2,-2.7,10,26.6,-1.9,20,171,0,0,96,70,77.2,-7.2
Trevor Lawrence,JAX,2.87,7.8,9,-1.2,18.2,27.8,1.5,22,153,1,1,80.3,63.6,67.3,-3.7
J.J. McCarthy,MIN,2.84,4.7,9.3,-4.6,18.8,34.9,2.5,32,150,1,2,47.7,50,64.1,-14.1
Jalen Hurts,PHI,2.74,6.5,12.6,-6.2,35.7,37.1,3.1,28,135,0,0,63.8,50,52.9,-2.9
Matthew Stafford,LAR,2.6,3.7,5.4,-1.8,17.9,33,-2.8,28,130,2,0,89.9,53.6,62.1,-8.6
Mason Rudolph,PIT,3.11,0.4,2.7,-2.2,6.3,33.6,-7.3,16,127,1,0,118.5,75,70.2,4.8
Aaron Rodgers,PIT,3.49,1.1,5.5,-4.4,26.7,24.1,-4,15,116,1,0,106.5,60,62.9,-2.9
Justin Fields,NYJ,3.03,4,7.6,-3.6,11.5,32,-0.8,26,116,1,0,81.6,57.7,67.8,-10.1
Justin Herbert,LAC,2.85,2.4,5.3,-2.8,11.1,35.4,-5.3,18,81,0,1,44,55.6,65.8,-10.3
Shedeur Sanders,CLE,3.21,7.7,8.9,-1.2,43.8,30,-0.4,16,47,0,1,13.5,25,46.1,-21.1
