PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Mac Jones,SF,2.69,6.1,8.1,-1.9,15.4,38.5,-2,39,347,0,2,75.5,69.2,66.3,2.9
Jacoby Brissett,AZ,3.29,6.8,8.7,-1.9,13.6,42.1,-0.9,44,320,2,1,89.2,61.4,56.6,4.8
Sam Darnold,SEA,2.81,12.1,13.3,-1.2,3.7,55.6,4.2,27,295,2,0,121.7,59.3,55,4.2
Jalen Hurts,PHI,3.42,7.7,9.2,-1.5,15.2,44.7,1.3,33,283,1,1,95.9,72.7,69.8,3
Justin Herbert,LAC,3,3.4,5.9,-2.5,7.9,29.4,-2.8,38,264,2,0,112.2,76.3,71.8,4.5
Drake Maye,NE,3.06,9.9,11.2,-1.3,23.1,50.5,1.5,26,261,3,0,140.1,69.2,54.3,15
Dak Prescott,DAL,3.01,4.9,5.8,-0.9,8.8,31.8,-2.3,34,261,3,0,124.8,73.5,72.1,1.5
Jordan Love,GB,2.9,7.4,8.6,-1.2,19.2,45.2,0.3,26,259,1,1,101.3,73.1,67.8,5.3
Trevor Lawrence,JAX,3.1,4.3,7.1,-2.8,9.5,38.4,-2.5,42,258,2,0,97.1,64.3,70.1,-5.8
Patrick Mahomes,KC,2.63,3.4,4.7,-1.3,6.7,34.1,-3.7,30,257,3,0,132.2,73.3,74.2,-0.8
Baker Mayfield,TB,2.68,8.2,9.3,-1.1,4.3,48.6,-0.3,23,256,2,0,139,73.9,75.3,-1.4
Caleb Williams,CHI,2.65,3.3,8.3,-4.9,17.2,30.8,-0.9,29,252,1,0,98.6,58.6,67.1,-8.5
Michael Penix Jr.,ATL,2.57,5.1,7.6,-2.4,12.5,30.3,-1.9,32,250,1,0,97.1,62.5,65,-2.5
Aaron Rodgers,PIT,2.73,5,7.5,-2.5,20,41.6,-2.1,30,235,2,0,115.3,70,64.3,5.7
Spencer Rattler,NO,2.63,6.3,8.2,-1.9,15.4,55.4,-1.5,26,227,0,0,102.6,76.9,63.2,13.8
Cam Ward,TEN,2.94,4.1,8.3,-4.2,7.9,35.4,-0.5,38,222,1,1,81.3,68.4,64.2,4.2
Dillon Gabriel,CLE,2.61,3.6,5.8,-2.2,15.4,25.3,-3.5,52,221,0,0,66.3,55.8,67.2,-11.5
Joe Flacco,CIN,2.63,4.6,6,-1.4,22.2,34.8,-2.4,45,219,2,0,90.9,64.4,59.3,5.1
Daniel Jones,IND,2.91,4.4,7,-2.6,13.3,27,-1.8,30,212,2,1,101,73.3,71.5,1.9
Jayden Daniels,WAS,2.5,7.9,7.8,0.1,3.8,44,-0.9,26,211,3,1,119.2,73.1,67.7,5.4
Tua Tagovailoa,MIA,2.72,4.9,6.6,-1.7,21.9,47.5,-2,32,205,1,3,54.8,65.6,63.1,2.5
Jared Goff,DET,2.6,3.3,3.9,-0.7,17.2,28.6,-3,29,203,2,0,118.8,79.3,69.4,9.9
Bryce Young,CAR,2.95,6.6,7,-0.4,4,41.1,-0.6,25,199,3,1,114.8,68,64.6,3.4
Jaxson Dart,NYG,2.51,6.3,9,-2.7,28,43.6,1.4,25,195,1,0,104.6,68,64,4
Matthew Stafford,LAR,2.89,6.4,8.6,-2.2,7.7,40.5,1.7,26,181,1,0,98.4,65.4,73,-7.6
Josh Allen,BUF,2.83,8.1,11.7,-3.6,23.1,49.9,3.1,26,180,2,2,72.6,57.7,58.9,-1.2
Geno Smith,LV,2.77,3,2.7,0.2,13,27.1,-4.4,23,174,1,1,91.6,73.9,76,-2.1
Bo Nix,DEN,2.62,3.1,5.5,-2.4,13.3,31.1,-3.4,30,174,1,0,90.1,63.3,58.8,4.5
Cooper Rush,BAL,2.72,3.8,6.5,-2.7,26.3,21.1,-2.6,19,72,0,1,44.2,57.9,64.9,-7
Tyler Huntley,BAL,2.86,2.9,4.6,-1.8,13.3,23.9,-5.2,15,68,0,0,76.5,66.7,61.3,5.4
Justin Fields,NYJ,2.49,3.3,5.3,-2,23.5,23.5,-3.2,17,45,0,0,58.7,52.9,63.3,-10.4
