PLAYER,BASE_PREDICTION,ADJUSTED_BASE,ENHANCED_PREDICTION,MINIMAX_PREDICTION,MARKOV_PREDICTION,PERFORMANCE_PENALTY,ABSENCE_PENALTY,TOTAL_ADJUSTMENT,RECENT_PPR_AVG,RECENT_PPR_STD,DATA_QUALITY,MAX_REGRET_SCENARIO,CURRENT_STATE,RECENT_WEEKS,RANK
David Montgomery,11.4,8.636,8.92135,7.4,10.155000000000001,-1.764000000000001,-1.0,-2.764000000000001,8.775,4.291436655879774,1.0,worst,0,8,55
Najee Harris,14.433333333333334,9.552,8.896150980392157,9.46,5.0864705882352945,-4.881333333333334,0.0,-4.881333333333334,6.987500000000001,4.8958984291518375,1.0,worst,0,8,56
Jaylen Wright,17.65,9.929000000000002,8.658483333333333,10.749999999999998,0.7733333333333334,-7.720999999999997,0.0,-7.720999999999997,4.825,6.19210326602705,1.0,worst,4,8,57
D'Onta Foreman,8.566666666666666,8.566666666666666,8.566666666666666,8.566666666666666,8.566666666666666,0.0,-6.0,-6.0,0.0,0.0,0.0,none,2,0,58
Isaac Guerendo,18.333333333333332,3.0820000000000007,8.355366666666667,11.2,8.333333333333332,-4.251333333333332,-11.0,-15.251333333333331,7.6625,9.622880100498573,0.9,worst,2,8,59
Isiah Pacheco,11.533333333333335,7.618,8.348466666666669,7.760000000000001,8.803333333333335,-3.9153333333333347,0.0,-3.9153333333333347,7.1,4.123798526324278,1.0,worst,4,8,60
Kimani Vidal,13.766666666666667,9.038,7.934654166666667,8.7,3.1387500000000004,-3.7286666666666672,-1.0,-4.728666666666667,10.3375,8.128949589496262,1.0,worst,0,8,61
Tank Bigsby,11.3,5.714,7.4869,6.78,9.292000000000002,-5.586,0.0,-5.586,3.8875,4.254220593380515,1.0,worst,3,8,62
Ray Davis,14.466666666666669,7.126000000000001,7.407766666666667,8.68,3.452,-7.340666666666667,0.0,-7.340666666666667,2.5875,2.8276378329421386,1.0,worst,3,8,63
Emari Demercado,12.9,8.252,7.3397,8.58,2.350000000000001,-4.648,0.0,-4.648,5.95,4.510622383409443,1.0,worst,2,8,64
Nick Chubb,12.033333333333335,6.284000000000001,7.262233333333334,7.340000000000001,6.63,-5.749333333333334,0.0,-5.749333333333334,4.7,3.31920816719031,1.0,worst,2,8,65
Alvin Kamara,9.733333333333334,7.274000000000001,7.1508102564102565,6.12,7.182307692307693,-2.4593333333333334,0.0,-2.4593333333333334,8.05,4.721985054735228,1.0,worst,0,8,66
Cam Akers,9.9,6.848000000000001,7.137300000000001,6.0600000000000005,7.73,-3.052,0.0,-3.052,5.25,3.9148070560008814,1.0,worst,2,8,67
Kendre Miller,13.600000000000001,8.126000000000001,7.128259090909093,8.440000000000001,1.5686363636363638,-5.474000000000001,0.0,-5.474000000000001,4.5249999999999995,3.6822935399402525,1.0,worst,0,8,68
Bam Knight,10.4,9.718,7.007633333333334,6.16,2.8733333333333335,-0.18200000000000108,-0.5,-0.682000000000001,8.887500000000001,5.701738456696468,0.8,worst,0,8,69
Tyler Allgeier,10.233333333333334,7.918000000000001,6.808133333333333,6.860000000000001,3.822,-1.8153333333333335,-0.5,-2.3153333333333332,8.2625,5.663652910067343,1.0,worst,3,8,70
Joe Mixon,13.033333333333335,0.0,6.792833333333334,9.340000000000002,10.75,-2.0813333333333355,-11.0,-13.081333333333335,14.0125,10.42914015083287,0.9,worst,0,8,71
Jordan Mason,10.9,6.938000000000001,6.742091666666667,7.38,4.039166666666667,-3.9619999999999997,0.0,-3.9619999999999997,5.6875,3.3786884606731222,1.0,worst,0,8,72
