PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Saquon Barkley,PHI,3.55,3.23,2.83,31,167,31,5.4,1.04,43.3,0
Derrick Henry,BAL,3.03,29.63,2.57,27,147,-6,5.4,-0.21,48.1,1
Jonathan Taylor,IND,3.95,15.63,2.77,32,125,7,3.9,0.22,37.5,2
Jahmyr Gibbs,DET,3.29,16.67,3.13,18,117,38,6.5,2.13,61.1,1
Ameer Abdullah,LV,2.88,20,2.6,20,115,24,5.8,1.22,65,0
Bucky Irving,TB,3.53,15,2.81,20,113,30,5.7,1.6,42.1,0
Rico Dowdle,DAL,3.63,--,2.9,23,104,18,4.5,0.84,33.3,0
Tyjae Spears,TEN,3.6,10,3.07,20,95,9,4.8,0.44,35,0
Bijan Robinson,ATL,4.4,17.65,3.1,17,90,23,5.3,1.46,56.3,2
J.K. Dobbins,LAC,4.43,26.32,3.01,19,76,-14,4,-0.76,44.4,1
Najee Harris,PIT,3.13,7.69,2.59,13,74,8,5.7,0.63,46.2,0
Jaylen Warren,PIT,2.79,--,2.67,11,71,12,6.5,1.07,45.5,0
Michael Carter,ARI,3.11,23.08,2.55,13,70,4,5.4,0.34,50,0
Josh Jacobs,GB,3.38,11.76,2.62,17,69,-6,4.1,-0.35,47.1,1
Jaleel McLaughlin,DEN,2.78,--,2.78,10,69,22,6.9,2.23,70,0
Chase Brown,CIN,4.97,20,2.93,20,67,0,3.4,0,45,0
Antonio Gibson,NE,3.21,--,2.69,12,63,25,5.3,2.06,58.3,0
Brian Robinson,WAS,3.29,7.69,2.68,13,60,-17,4.6,-1.44,25,0
Tyrone Tracy Jr.,NYG,4.99,25,2.53,20,59,0,3,0,21.1,0
Zach Charbonnet,SEA,4.19,13.33,2.94,15,57,-5,3.8,-0.38,42.9,0
Kyren Williams,LAR,3.24,15.38,2.49,13,56,-5,4.3,-0.39,46.2,1
D'Andre Swift,CHI,4.25,--,3,12,53,-20,4.4,-1.65,33.3,0
James Cook,BUF,4.45,26.67,2.5,15,53,-5,3.5,-0.33,50,1
Travis Etienne,JAX,4.2,13.33,2.89,15,49,-2,3.3,-0.11,33.3,0
D'Onta Foreman,CLE,3.84,15.38,2.71,13,49,-5,3.8,-0.4,41.7,0
Aaron Jones,MIN,4.36,--,2.54,12,47,-7,3.9,-0.6,41.7,0
Breece Hall,NYJ,4.31,--,3.17,10,45,-6,4.5,-0.65,30,0
Tank Bigsby,JAX,4.03,27.27,2.4,11,33,-15,3,-1.35,27.3,0
Alexander Mattison,LV,4.63,20,2.68,10,32,-5,3.2,-0.47,40,0
De'Von Achane,MIA,8.03,60,3.33,10,25,-13,2.5,-1.26,30,0
Keaton Mitchell,BAL,7.15,9.09,2.72,11,20,-21,1.8,-1.93,9.1,0
