PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
David Montgomery,DET,1.88,41.67,2.42,12,151,108,12.6,9.01,66.7,2
Jordan Mason,MIN,2.81,--,2.66,16,116,47,7.3,3.11,60,2
James Cook,BUF,2.9,26.32,2.66,19,108,43,5.7,2.26,57.9,1
Jonathan Taylor,IND,3,5.88,2.7,17,102,24,6,1.43,41.2,3
Quinshon Judkins,CLE,2.91,38.89,2.44,18,94,34,5.2,1.89,38.9,1
Kyren Williams,LAR,3.14,20,2.42,20,94,14,4.7,0.76,52.6,0
J.K. Dobbins,DEN,2.68,36.36,3.12,11,83,36,7.5,3.23,45.5,1
Javonte Williams,DAL,2.48,10,3.03,10,76,25,7.6,2.52,80,0
Chuba Hubbard,CAR,3.58,41.18,2.64,17,73,1,4.3,0.09,50,0
Bijan Robinson,ATL,3.49,--,3.02,13,72,12,5.5,0.95,38.5,0
Omarion Hampton,LAC,4.27,31.58,2.84,19,70,6,3.7,0.33,52.6,1
Jahmyr Gibbs,DET,5.92,27.27,2.75,22,67,-21,3,-0.96,40.9,2
Bucky Irving,TB,6.09,16,2.55,25,66,-32,2.6,-1.33,33.3,0
Ashton Jeanty,LV,3.87,--,3.11,17,63,1,3.7,0.09,35.3,0
De'Von Achane,MIA,3.7,16.67,2.78,12,62,-6,5.2,-0.51,41.7,0
Cam Skattebo,NYG,3.26,10,2.61,10,60,17,6,1.69,70,1
Travis Etienne,JAX,3.65,25,2.72,16,56,-17,3.5,-1.04,31.3,1
Christian McCaffrey,SF,5.35,23.53,2.55,17,52,-7,3.1,-0.44,46.7,0
Derrick Henry,BAL,4.19,58.33,2.63,12,50,13,4.2,1.15,27.3,1
Jaylen Warren,PIT,5.5,22.22,2.72,18,47,-14,2.6,-0.82,35.3,0
Saquon Barkley,PHI,5.29,11.11,3.06,18,46,-12,2.6,-0.64,27.8,0
Tony Pollard,TEN,4.61,12.5,2.63,16,45,-4,2.8,-0.28,25,1
Isiah Pacheco,KC,3.59,--,2.73,10,45,1,4.5,0.12,60,0
Alvin Kamara,NO,5.68,11.11,2.48,18,42,-25,2.3,-1.38,11.1,0
Trey Benson,AZ,4.39,20,2.54,10,42,11,4.2,1.06,20,0
Chris Rodriguez Jr.,WAS,3.79,63.64,2.87,11,39,1,3.5,0.09,27.3,0
Kenneth Walker III,SEA,7.54,31.25,2.86,16,38,-17,2.4,-1.12,33.3,2
Kareem Hunt,KC,3.65,30,2.61,10,34,0,3.4,0.03,60,1
D'Andre Swift,CHI,5.96,23.08,2.92,13,33,-13,2.5,-1.11,33.3,0
Rico Dowdle,CAR,4.37,40,2.91,10,30,-25,3,-2.52,60,1
Josh Jacobs,GB,6.69,25,2.69,16,30,-25,1.9,-1.58,25,0
TreVeyon Henderson,NE,5.59,18.18,2.93,11,28,-32,2.5,-3.2,--,0
George Holani,SEA,5.59,30,2.63,10,27,0,2.7,-0.05,40,0
Chase Brown,CIN,36.34,20,2.66,10,3,-22,0.3,-2.19,--,0
