PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jaylen Warren,PIT,2.34,7.14,2.88,14,143,95,10.2,6.81,57.1,2
Saquon Barkley,PHI,2.62,19.05,2.66,21,132,43,6.3,2.05,42.9,1
Ashton Jeanty,LV,3,25,2.57,24,128,39,5.3,1.71,43.5,1
Derrick Henry,BAL,3.09,50,3.17,18,128,52,7.1,2.88,61.1,2
James Cook,BUF,2.86,43.75,2.72,16,117,33,7.3,2.06,43.8,2
Christian McCaffrey,SF,3.67,33.33,2.79,21,117,35,5.6,1.66,52.4,0
Tony Pollard,TEN,3.71,19.05,3.15,21,102,36,4.9,1.71,61.9,0
Kenneth Walker III,SEA,3.04,18.18,3.39,11,100,40,9.1,3.62,36.4,1
Omarion Hampton,LAC,3.66,43.75,3.09,16,85,23,5.3,1.44,68.8,1
Aaron Jones,MIN,4.13,23.81,2.78,21,85,-11,4,-0.59,26.3,0
Emanuel Wilson,GB,2.83,21.43,2.51,14,82,21,5.9,1.47,64.3,0
De'Von Achane,MIA,3.48,13.33,2.91,15,81,16,5.4,1.09,20,1
Tyler Allgeier,ATL,3.48,25,2.97,16,79,8,4.9,0.52,40,0
Bijan Robinson,ATL,4.26,31.25,3.29,16,76,30,4.8,1.87,31.3,0
Tyrone Tracy Jr.,NYG,4.13,6.25,2.67,16,71,15,4.4,0.91,43.8,0
Bucky Irving,TB,3.6,5.26,2.4,19,71,-28,3.7,-1.49,36.8,0
Kyren Williams,LAR,4.51,21.74,2.72,23,70,-19,3,-0.81,30.4,0
Chase Brown,CIN,2.99,16.67,2.5,12,66,10,5.5,0.82,50,1
Michael Carter,AZ,2.8,9.09,2.58,11,65,22,5.9,1.99,36.4,0
Chris Rodriguez Jr.,WAS,3.74,6.67,2.6,15,63,-1,4.2,-0.08,46.7,1
D'Andre Swift,CHI,3.62,15.38,2.69,13,58,8,4.5,0.59,76.9,0
Breece Hall,NYJ,4.41,6.25,2.91,16,54,-3,3.4,-0.22,62.5,0
Jawhar Jordan,HOU,4.29,53.33,2.91,15,53,8,3.5,0.52,53.3,0
Tyjae Spears,TEN,4.96,--,3.31,13,52,-7,4,-0.57,38.5,1
Travis Etienne,JAX,5.94,37.5,3.16,16,50,-13,3.1,-0.83,43.8,0
Blake Corum,LAR,4.46,7.14,2.81,14,48,-6,3.4,-0.41,35.7,1
Devin Singletary,NYG,3.45,18.18,2.74,11,47,2,4.3,0.16,54.5,0
Jonathan Taylor,IND,4.97,6.25,2.5,16,46,-24,2.9,-1.7,14.3,1
Raheim Sanders,CLE,3.57,27.27,2.91,11,42,10,3.8,0.9,45.5,0
Josh Jacobs,GB,4.76,25,2.67,12,36,-13,3,-1.08,25,0
