PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jonathan Taylor,IND,3.03,--,2.51,34,177,-3,5.2,-0.07,44.1,1
Dameon Pierce,HOU,2.14,36.84,2.78,19,176,117,9.3,6.17,73.7,1
Bijan Robinson,ATL,3.57,21.43,2.99,28,170,34,6.1,1.21,64.3,2
Jahmyr Gibbs,DET,3.49,13.04,2.81,23,139,16,6,0.69,39.1,3
Derrick Henry,BAL,2.57,60,2.8,20,138,87,6.9,4.37,60,2
De'Von Achane,MIA,2.53,45.45,3.08,11,121,58,11,5.23,45.5,1
Patrick Taylor,SF,2.92,17.65,2.55,17,109,31,6.4,1.92,50,0
Bucky Irving,TB,4.23,21.05,3.37,19,89,15,4.7,1.03,53.3,1
Emanuel Wilson,GB,3.4,7.14,2.76,14,73,2,5.2,0.13,35.7,1
Rico Dowdle,DAL,3.98,13.64,2.28,22,72,-22,3.3,-1.01,36.4,1
Khalil Herbert,CIN,3.43,5,2.41,20,69,-28,3.5,-1.42,15,0
Miles Sanders,CAR,3.92,11.76,2.55,17,66,-20,3.9,-1.18,35.3,1
D'Andre Swift,CHI,5.04,20,2.99,20,65,-20,3.3,-0.98,20,1
Ray Davis,BUF,4.53,26.67,3.13,15,64,11,4.3,0.71,46.7,0
J.K. Dobbins,LAC,4.59,27.78,2.64,18,63,-11,3.5,-0.66,29.4,0
Tony Pollard,TEN,5.4,13.64,2.93,22,62,-24,2.8,-1.11,22.7,0
Tyrone Tracy Jr.,NYG,4.03,--,2.88,14,59,4,4.2,0.27,35.7,0
Zach Charbonnet,SEA,4.46,14.29,3.11,14,59,10,4.2,0.7,50,0
Breece Hall,NYJ,4.48,8.33,3.06,12,57,-2,4.8,-0.16,45.5,0
Ronnie Rivers,LAR,3.45,--,2.61,12,48,4,4,0.31,41.7,0
Aaron Jones,MIN,3.96,10,3.16,10,45,7,4.5,0.82,55.6,0
Michael Carter,AZ,6.18,35.29,2.79,17,43,-31,2.5,-1.97,18.8,1
Antonio Gibson,NE,5.14,25,3.16,12,41,-14,3.4,-1.15,33.3,0
Tank Bigsby,JAX,3.98,28.57,2.64,14,39,-1,2.8,-0.04,42.9,1
Jaleel McLaughlin,DEN,7.17,18.75,3.11,16,39,-30,2.4,-1.85,18.8,0
Najee Harris,PIT,5.33,8.33,2.79,12,36,-11,3,-0.95,41.7,1
Audric Estimé,DEN,5.15,41.67,3.08,12,34,-13,2.8,-1.12,16.7,1
Hassan Haskins,LAC,4.72,50,2.59,12,33,-9,2.8,-0.76,16.7,1
Will Shipley,PHI,4.42,10,2.81,10,32,-8,3.2,-0.83,30,0
Travis Etienne,JAX,5.34,23.08,2.38,13,31,-23,2.4,-1.78,15.4,0
James Cook,BUF,4.37,20,2.2,10,28,-5,2.8,-0.54,20,1
D'Onta Foreman,CLE,4.14,10,2.75,10,27,-11,2.7,-1.22,11.1,0
Kenneth Gainwell,PHI,12.52,36.36,2.95,11,14,-30,1.3,-2.72,18.2,0
