PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
James Cook,BUF,4.2,34.38,2.87,32,144,1,4.5,0.03,31.3,0
Bijan Robinson,ATL,3.42,47.83,3.16,23,142,49,6.2,2.13,56.5,1
De'Von Achane,MIA,3.3,4.55,2.9,22,134,34,6.1,1.56,45.5,1
Kyle Monangai,CHI,2.94,18.18,2.68,22,130,30,5.9,1.39,59.1,1
Kimani Vidal,LAC,3.46,28,3.05,25,126,31,5,1.35,26.1,1
D'Andre Swift,CHI,3.1,11.11,2.77,18,125,28,6.9,1.55,44.4,1
Quinshon Judkins,CLE,4.16,21.74,2.99,23,91,2,4,0.09,39.1,0
Jonathan Taylor,IND,3.78,19.05,2.65,21,85,2,4,0.11,35,0
Chuba Hubbard,CAR,3.16,17.65,2.41,17,83,16,4.9,0.94,58.8,0
Josh Jacobs,GB,3.27,17.65,2.73,17,83,14,4.9,0.85,37.5,0
Chase Brown,CIN,3.22,53.33,2.8,15,78,15,5.2,0.97,46.7,0
Kyren Williams,LAR,2.73,7.69,2.43,13,72,3,5.5,0.24,46.2,1
Jahmyr Gibbs,DET,6.04,15,2.87,20,68,-13,3.4,-0.66,30,0
Devin Singletary,NYG,2.82,25,2.85,12,68,2,5.7,0.14,33.3,1
Breece Hall,NYJ,4.48,31.58,2.94,19,68,-6,3.6,-0.29,47.4,1
TreVeyon Henderson,NE,3.13,9.09,2.98,11,67,15,6.1,1.4,45.5,0
Woody Marks,HOU,4.69,31.58,3,19,64,7,3.4,0.36,38.9,0
Bam Knight,AZ,3.7,18.18,3.21,11,62,19,5.6,1.73,63.6,0
Bucky Irving,TB,4.95,17.65,3.27,17,61,-8,3.6,-0.5,43.8,1
Tony Pollard,TEN,2.89,30,2.73,10,60,13,6,1.34,30,0
Derrick Henry,BAL,2.68,--,2.69,10,60,17,6,1.71,30,1
Javonte Williams,DAL,4.39,--,2.94,17,59,-9,3.5,-0.51,47.1,0
Rico Dowdle,CAR,4.22,27.78,2.63,18,58,-2,3.2,-0.11,44.4,0
Kareem Hunt,KC,3.69,21.43,2.67,14,58,10,4.1,0.7,42.9,0
Kenneth Walker III,SEA,4.79,46.15,3.62,13,56,15,4.3,1.17,46.2,0
Saquon Barkley,PHI,3.66,23.08,2.92,13,56,-1,4.3,-0.12,46.2,0
Jaret Patterson,LAC,3.2,36.36,2.95,11,54,20,4.9,1.85,54.5,1
Christian McCaffrey,SF,5.93,55,2.82,20,53,-39,2.7,-1.96,25,1
Zach Charbonnet,SEA,5.06,42.86,3.42,14,52,18,3.7,1.32,28.6,1
Devin Neal,NO,4.28,7.14,2.67,14,47,-5,3.4,-0.33,50,0
Chris Rodriguez Jr.,WAS,3.77,27.27,2.61,11,41,3,3.7,0.29,45.5,1
Rhamondre Stevenson,NE,4.83,--,2.78,12,40,-1,3.3,-0.06,50,0
Samaje Perine,CIN,4.05,35.71,2.56,14,39,3,2.8,0.24,42.9,0
Tyrone Tracy Jr.,NYG,4.41,20,2.65,10,36,-8,3.6,-0.75,30,0
Jaylen Warren,PIT,3.96,20,2.45,10,35,-8,3.5,-0.76,40,1
RJ Harvey,DEN,5.29,38.46,3.05,13,35,-34,2.7,-2.59,23.1,2
Ashton Jeanty,LV,6.85,46.67,2.81,15,31,-26,2.1,-1.72,20,0
Travis Etienne,JAX,7.31,8.33,3.22,12,28,-18,2.3,-1.53,33.3,0
