PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Tony Pollard,TEN,3.13,64,3.31,25,161,59,6.4,2.36,48,2
Blake Corum,LAR,2.31,25,2.83,12,128,64,10.7,5.34,41.7,2
Saquon Barkley,PHI,3.34,20,2.87,20,122,38,6.1,1.89,35,1
Jaylen Wright,MIA,4.15,54.17,2.54,24,107,-16,4.5,-0.68,33.3,1
Derrick Henry,BAL,4.13,28,2.72,25,94,0,3.8,-0.02,36,0
Bijan Robinson,ATL,4.62,5,2.89,20,86,-12,4.3,-0.64,52.6,0
Josh Jacobs,GB,3.6,20,2.8,20,86,8,4.3,0.39,35,1
Kyren Williams,LAR,2.84,15.38,2.4,13,84,12,6.5,1.01,58.3,1
James Cook,BUF,3.62,44.44,2.41,18,80,21,4.4,1.23,76.5,0
Aaron Jones,MIN,2.93,7.14,2.87,14,76,5,5.4,0.35,35.7,0
RJ Harvey,DEN,3.91,76.47,2.99,17,75,-14,4.4,-0.9,50,1
Jonathan Taylor,IND,4.38,19.05,2.78,21,74,-24,3.5,-1.13,33.3,1
Travis Etienne,JAX,4.46,35,3.28,20,74,23,3.7,1.14,40,2
Devin Neal,NO,4.02,26.32,2.77,19,70,0,3.7,0,31.6,1
Woody Marks,HOU,5.44,26.92,3.04,26,68,-17,2.6,-0.65,42.3,0
Javonte Williams,DAL,3.56,29.41,2.65,17,67,-12,3.9,-0.71,35.3,1
D'Andre Swift,CHI,3.22,30.77,2.67,13,63,3,4.8,0.22,53.8,0
Kyle Monangai,CHI,3.96,14.29,2.56,14,57,0,4.1,0.02,50,0
Omarion Hampton,LAC,4.54,7.69,2.99,13,56,12,4.3,0.89,38.5,0
Bucky Irving,TB,3.81,13.33,2.66,15,55,-16,3.7,-1.09,13.3,0
Rachaad White,TB,2.98,--,2.72,11,53,1,4.8,0.11,40,0
Chris Rodriguez Jr.,WAS,3.19,40,2.53,10,52,-2,5.2,-0.22,30,0
Jordan Mason,MIN,3.14,18.18,2.87,11,52,8,4.7,0.72,36.4,1
Kimani Vidal,LAC,5.19,14.29,2.62,14,44,-6,3.1,-0.46,46.2,0
Breece Hall,NYJ,5.72,14.29,3.16,14,43,-15,3.1,-1.07,35.7,0
Jahmyr Gibbs,DET,5.04,25,3.1,12,43,3,3.6,0.21,25,3
Tyler Allgeier,ATL,4.66,18.18,2.88,11,34,-3,3.1,-0.26,36.4,0
Ashton Jeanty,LV,4.78,50,2.77,10,30,-6,3,-0.64,40,0
Kareem Hunt,KC,4.69,41.67,2.61,12,30,-17,2.5,-1.44,25,1
Kenneth Walker III,SEA,7.17,40,3.54,10,29,-4,2.9,-0.39,33.3,0
Quinshon Judkins,CLE,7.08,57.14,3.18,14,26,-14,1.9,-1,28.6,0
Chase Brown,CIN,6.09,--,2.76,12,23,-18,1.9,-1.51,16.7,1
