PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jahmyr Gibbs,DET,2.71,52.94,2.8,17,136,54,8,3.39,37.5,2
Christian McCaffrey,SF,3.3,41.67,2.69,24,129,17,5.4,0.73,62.5,2
Jaylen Warren,PIT,2.48,6.25,2.92,16,127,63,7.9,3.92,68.8,0
D'Andre Swift,CHI,2.79,5.26,2.72,19,124,30,6.5,1.58,42.1,1
Javonte Williams,DAL,2.82,26.32,2.91,19,116,36,6.1,2.01,44.4,1
Chase Brown,CIN,2.27,18.18,2.79,11,108,66,9.8,5.97,72.7,0
Jonathan Taylor,IND,3.21,25,2.77,16,94,28,5.9,1.77,50,3
Rhamondre Stevenson,NE,3.73,22.22,2.91,18,88,30,4.9,1.69,55.6,1
Quinshon Judkins,CLE,4.11,52,2.91,25,84,14,3.4,0.58,29.2,3
De'Von Achane,MIA,3.6,23.08,3.09,13,82,34,6.3,2.58,23.1,0
Kyle Monangai,CHI,2.69,23.08,2.41,13,81,23,6.2,1.77,38.5,1
J.K. Dobbins,DEN,2.9,14.29,2.72,14,81,28,5.8,2.01,57.1,0
Rico Dowdle,CAR,3.41,17.65,2.96,17,79,16,4.6,0.94,47.1,0
Kenneth Walker III,SEA,4.64,5.88,2.56,17,66,-19,3.9,-1.19,25,0
Cam Skattebo,NYG,4.45,25,2.85,16,60,12,3.8,0.73,50,0
Isiah Pacheco,KC,3.74,20,2.78,15,57,-11,3.8,-0.71,33.3,1
Bam Knight,AZ,3.71,21.43,2.7,14,57,-9,4.1,-0.63,42.9,0
Jordan Mason,MIN,4.83,6.67,2.89,15,57,-4,3.8,-0.3,50,1
Josh Jacobs,GB,3.71,23.08,2.55,13,55,1,4.2,0.1,46.2,2
Kyren Williams,LAR,3.53,25,2.61,12,54,0,4.5,0,41.7,0
Zach Charbonnet,SEA,3.38,66.67,2.91,12,49,10,4.1,0.88,72.7,2
Saquon Barkley,PHI,6.32,50,2.93,18,44,2,2.4,0.12,41.2,0
Bijan Robinson,ATL,6.88,14.29,3.67,14,40,-31,2.9,-2.18,28.6,0
Brashard Smith,KC,4.86,50,2.82,14,39,-6,2.8,-0.43,35.7,0
Breece Hall,NYJ,4.35,18.18,2.5,11,38,-16,3.5,-1.46,27.3,0
Rachaad White,TB,3.79,40,2.41,10,38,-13,3.8,-1.27,20,0
Blake Corum,LAR,3.87,33.33,2.59,12,37,-5,3.1,-0.39,50,0
Jacory Croskey-Merritt,WAS,4.61,38.46,2.9,13,33,1,2.5,0.1,38.5,0
Chuba Hubbard,CAR,5.38,28.57,2.49,14,31,-21,2.2,-1.47,35.7,0
Alvin Kamara,NO,5.83,--,2.72,11,28,-16,2.5,-1.6,20,0
David Montgomery,DET,7.91,84.62,2.71,13,21,-34,1.6,-2.6,7.7,0
Woody Marks,HOU,7.77,40,2.29,10,15,-18,1.5,-1.76,--,0
