PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jonathan Taylor,IND,2.84,6.67,2.67,30,188,46,6.3,1.58,41.4,1
Breece Hall,NYJ,4.23,16.22,3.18,37,178,25,4.8,0.67,37.8,1
Derrick Henry,TEN,2.55,47.37,2.79,19,153,80,8.1,4.23,57.9,1
James Conner,ARI,3.11,22.22,2.9,27,150,63,5.6,2.35,40.7,1
Zamir White,LV,3.88,8,2.96,25,112,-6,4.5,-0.23,40,0
Najee Harris,PIT,3.37,53.85,2.55,26,112,14,4.3,0.52,50,1
Joe Mixon,CIN,2.78,42.86,2.76,14,111,45,7.9,3.25,42.9,1
Aaron Jones,GB,3.51,18.18,2.68,22,111,16,5,0.72,50,0
Chuba Hubbard,CAR,4.19,52.17,2.77,23,83,3,3.6,0.12,34.8,0
Kenneth Walker,SEA,4.15,5.88,3.25,17,78,7,4.6,0.44,29.4,0
Rachaad White,TB,3.93,36.84,2.55,19,75,-11,3.9,-0.59,31.6,0
Kendre Miller,NO,3.16,7.69,3.14,13,73,9,5.6,0.69,46.2,1
Tony Pollard,DAL,3.36,11.76,2.52,17,70,-2,4.1,-0.12,52.9,1
Ty Chandler,MIN,3.31,8.33,2.92,12,69,5,5.8,0.42,41.7,0
La'Mical Perine,KC,4.34,5,2.66,20,67,-5,3.4,-0.27,26.3,0
Pierre Strong,CLE,4,--,3,14,65,10,4.6,0.73,28.6,0
Devin Singletary,HOU,5.18,20.83,2.96,24,63,-25,2.6,-1.05,33.3,1
Travis Etienne,JAX,3.95,6.25,2.76,16,57,-21,3.6,-1.31,43.8,0
Devon Achane,MIA,4.25,--,3.24,10,56,13,5.6,1.32,40,1
Ezekiel Elliott,NE,4.2,7.69,2.89,13,54,-2,4.2,-0.17,41.7,0
Ronnie Rivers,LAR,3.39,--,2.32,13,52,-10,4,-0.78,38.5,0
Elijah Mitchell,SF,4.39,42.86,2.7,14,52,4,3.7,0.32,42.9,1
Gus Edwards,BAL,3.15,30,2.76,10,48,-2,4.8,-0.24,20,0
Saquon Barkley,NYG,5.43,11.11,2.81,18,46,-5,2.6,-0.25,33.3,2
Chase Brown,CIN,4.81,54.55,3.11,11,43,10,3.9,0.9,27.3,0
David Montgomery,DET,3.56,50,2.41,10,40,4,4,0.43,50,1
James Cook,BUF,6.77,7.69,3.08,13,36,-25,2.8,-1.96,23.1,0
Jahmyr Gibbs,DET,7.45,53.85,3.26,13,30,-17,2.3,-1.3,23.1,1
Bijan Robinson,ATL,8.6,18.18,3.4,11,28,-19,2.5,-1.86,10,0
Khalil Herbert,CHI,6.34,41.67,2.88,12,28,-39,2.3,-3.28,16.7,0
Jamaal Williams,NO,5.75,7.14,2.37,14,26,-28,1.9,-1.99,21.4,1
Austin Ekeler,LAC,11.23,10,2.41,10,11,-13,1.1,-1.27,20,0
