PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Saquon Barkley,PHI,2.15,11.76,2.71,17,176,92,10.4,5.44,35.3,1
Derrick Henry,BAL,2.25,33.33,2.82,15,169,99,11.3,7.65,38.5,0
Tank Bigsby,JAX,3.09,38.46,2.56,26,118,19,4.5,0.72,50,2
Jahmyr Gibbs,DET,2.7,6.67,2.69,15,116,39,7.7,2.6,26.7,2
Joe Mixon,HOU,3.77,20,2.85,25,115,24,4.6,0.98,44,2
Bijan Robinson,ATL,3.76,4.76,2.94,21,103,27,4.9,1.28,66.7,1
Najee Harris,PIT,4,4.76,2.8,21,102,17,4.9,0.84,40,1
James Conner,ARI,4.29,15.79,3.44,19,101,15,5.3,0.79,52.6,0
Aaron Jones,MIN,3.22,21.43,3,14,93,35,6.6,2.48,64.3,1
Alexander Mattison,LV,3.47,13.04,2.73,23,92,5,4,0.22,43.5,0
Javonte Williams,DEN,2.64,21.43,2.87,14,88,4,6.3,0.31,28.6,2
Kareem Hunt,KC,3.89,13.64,2.82,22,78,0,3.5,-0.02,31.8,2
De'Von Achane,MIA,3.38,6.67,2.67,15,77,6,5.1,0.43,35.7,0
Kyren Williams,LAR,3.85,14.29,2.46,21,76,-13,3.6,-0.6,19,2
Josh Jacobs,GB,2.88,16.67,2.6,12,76,21,6.3,1.71,41.7,0
Brian Robinson,WAS,2.62,16.67,2.49,12,71,17,5.9,1.42,58.3,1
Kenneth Walker III,SEA,3.68,14.29,2.92,14,69,15,4.9,1.09,50,1
Tony Pollard,TEN,4.45,--,3.13,16,61,-4,3.8,-0.28,43.8,0
Jordan Mason,SF,3.92,35.71,2.94,14,58,11,4.1,0.75,50,0
Kenneth Gainwell,PHI,3.31,7.69,2.69,13,56,-3,4.3,-0.21,38.5,0
Chuba Hubbard,CAR,4.94,5.88,2.75,17,52,-22,3.1,-1.28,29.4,1
Tyler Goodson,IND,4.11,21.43,2.49,14,51,5,3.6,0.33,50,1
Raheem Mostert,MIA,4.92,9.09,2.84,11,50,3,4.5,0.28,55.6,0
Jaylen Warren,PIT,4.24,8.33,2.85,12,44,-9,3.7,-0.72,25,0
Chase Brown,CIN,5.76,40,2.75,15,44,-3,2.9,-0.22,28.6,0
J.K. Dobbins,LAC,5.67,14.29,2.9,14,40,-14,2.9,-1.03,28.6,0
Rachaad White,TB,3.3,20,2.47,10,40,-10,4,-0.96,30,0
Breece Hall,NYJ,5.37,8.33,2.87,12,38,-15,3.2,-1.36,18.2,1
James Cook,BUF,5.08,8.33,2.38,12,32,4,2.7,0.35,41.7,1
Nick Chubb,CLE,6.19,18.18,2.46,11,22,-4,2,-0.39,27.3,1
