PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Rico Dowdle,CAR,2.62,13.33,2.7,30,183,35,6.1,1.18,63.3,0
Bijan Robinson,ATL,2.69,10.53,2.99,19,170,100,8.9,5.25,68.4,1
De'Von Achane,MIA,2.77,18.75,2.88,16,128,45,8,3.01,46.7,2
Kimani Vidal,LAC,2.71,44.44,3.15,18,124,58,6.9,3.22,38.9,0
Jonathan Taylor,IND,2.95,23.81,2.88,21,123,32,5.9,1.53,42.9,1
Derrick Henry,BAL,3.33,41.67,2.7,24,122,10,5.1,0.45,47.8,0
D'Andre Swift,CHI,2.76,--,2.84,14,108,23,7.7,1.66,57.1,0
Cam Skattebo,NYG,3.3,36.84,2.59,19,98,23,5.2,1.27,55.6,3
Josh Jacobs,GB,3.28,11.11,2.63,18,93,8,5.2,0.45,50,2
James Cook,BUF,3.02,23.53,2.46,17,87,21,5.1,1.23,52.9,0
Ashton Jeanty,LV,4.94,8.7,3.11,23,75,-6,3.3,-0.25,36.4,1
Jahmyr Gibbs,DET,3.94,23.53,2.73,17,65,-9,3.8,-0.5,52.9,0
Rachaad White,TB,3.63,5.88,2.56,17,65,-11,3.8,-0.67,43.8,1
Jacory Croskey-Merritt,WAS,4.15,23.53,2.89,17,61,-13,3.6,-0.74,17.6,0
Saquon Barkley,PHI,3.34,25,3.05,12,58,16,4.8,1.33,41.7,0
Breece Hall,NYJ,5.2,28.57,2.75,21,58,2,2.8,0.11,38.1,0
Christian McCaffrey,SF,5.54,23.53,2.95,17,54,-18,3.2,-1.12,31.3,1
Jaylen Warren,PIT,3.61,27.27,2.65,11,52,13,4.7,1.17,63.6,0
Isiah Pacheco,KC,4.41,25,2.95,12,51,2,4.3,0.16,41.7,0
Kyren Williams,LAR,3.61,53.85,2.66,13,50,7,3.8,0.56,46.2,1
J.K. Dobbins,DEN,5.35,35.71,2.87,14,40,-11,2.9,-0.82,35.7,0
Quinshon Judkins,CLE,4.56,33.33,3.09,12,36,-9,3,-0.79,36.4,0
Tony Pollard,TEN,4.93,60,2.97,10,34,-4,3.4,-0.44,30,0
Bam Knight,AZ,5.76,18.18,2.89,11,34,-10,3.1,-1,30,1
Kenneth Walker III,SEA,6.22,10,3.08,10,34,-7,3.4,-0.72,50,0
Tyler Allgeier,ATL,6.26,50,3.12,10,32,-6,3.2,-0.61,30,1
Alvin Kamara,NO,5.47,--,2.6,10,31,-16,3.1,-1.58,20,0
Javonte Williams,DAL,5.13,7.69,2.76,13,29,-27,2.2,-2.11,--,0
Travis Etienne,JAX,8.47,--,3.09,12,27,-25,2.3,-2.12,25,0
Zach Charbonnet,SEA,8.1,41.67,3.51,12,24,1,2,0.06,58.3,0
Rhamondre Stevenson,NE,8.71,23.08,2.3,13,18,-23,1.4,-1.77,30.8,0
