PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jonathan Taylor,IND,2.65,15.63,2.96,32,244,111,7.6,3.47,50,3
De'Von Achane,MIA,2.72,31.82,2.7,22,174,72,7.9,3.44,38.1,2
TreVeyon Henderson,NE,2.39,50,3.15,14,147,93,10.5,6.65,28.6,2
Jahmyr Gibbs,DET,2.41,6.67,2.47,15,142,49,9.5,3.29,46.7,2
Kimani Vidal,LAC,3.94,20,2.85,25,95,-6,3.8,-0.22,36,1
Bijan Robinson,ATL,4.18,5.88,2.97,17,84,-8,4.9,-0.46,35.3,0
Breece Hall,NYJ,4.54,52.38,2.84,21,83,41,4,1.94,47.6,0
Alvin Kamara,NO,3.72,31.82,2.32,22,83,-6,3.8,-0.27,40.9,0
Zach Charbonnet,SEA,3.12,28.57,3.1,14,83,32,5.9,2.27,57.1,1
D'Andre Swift,CHI,3.03,30.77,2.75,13,80,9,6.2,0.72,46.2,0
J.K. Dobbins,DEN,4.19,66.67,3.03,18,77,2,4.3,0.13,38.9,0
Quinshon Judkins,CLE,4.85,31.82,2.98,22,75,-5,3.4,-0.24,38.1,0
Derrick Henry,BAL,4.03,30,3.05,20,75,6,3.8,0.3,40,0
Josh Jacobs,GB,4.03,--,2.48,21,74,-17,3.5,-0.79,52.4,1
Kyren Williams,LAR,2.82,35.71,2.54,14,73,9,5.2,0.62,50,2
David Montgomery,DET,3.31,6.67,2.37,15,71,-8,4.7,-0.52,33.3,0
Tyrone Tracy Jr.,NYG,3.76,35.71,2.72,14,71,8,5.1,0.58,38.5,0
Jaylen Warren,PIT,3.38,14.29,3.09,14,70,15,5,1.07,50,0
Kenneth Walker III,SEA,3.64,21.43,2.92,14,67,9,4.8,0.64,35.7,0
Woody Marks,HOU,3.81,21.43,2.85,14,63,8,4.5,0.6,28.6,1
Ashton Jeanty,LV,5.09,--,2.8,19,60,-9,3.2,-0.51,38.9,1
Saquon Barkley,PHI,5.46,31.82,2.96,22,60,-18,2.7,-0.81,31.8,0
Travis Etienne,JAX,3.77,43.75,2.72,16,58,-4,3.6,-0.26,37.5,1
Tyler Allgeier,ATL,3.89,9.09,2.73,11,57,1,5.2,0.12,36.4,2
Blake Corum,LAR,3.48,46.15,2.56,13,56,-4,4.3,-0.35,46.2,0
James Cook,BUF,3.63,53.85,2.39,13,53,11,4.1,0.85,46.2,0
Rico Dowdle,CAR,4.55,11.11,2.64,18,53,-7,2.9,-0.37,27.8,1
Rachaad White,TB,4.99,30,3.38,10,38,-6,3.8,-0.61,30,0
Jacory Croskey-Merritt,WAS,5.12,18.18,2.54,11,30,-13,2.7,-1.19,27.3,0
Christian McCaffrey,SF,6.74,8.33,2.91,12,30,-17,2.5,-1.39,33.3,0
Bam Knight,AZ,5.68,20,2.95,10,28,-13,2.8,-1.32,30,0
