PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
TreVeyon Henderson,NE,2.49,50,3.32,14,148,89,10.6,6.34,42.9,2
James Cook,BUF,2.97,50,2.45,22,107,32,4.9,1.46,59.1,2
Tony Pollard,TEN,2.79,14.29,2.89,14,104,38,7.4,2.68,64.3,1
Jawhar Jordan,HOU,2.82,33.33,3.11,15,101,46,6.7,3.04,40,0
Derrick Henry,BAL,2.21,18.18,2.37,11,100,55,9.1,4.97,63.6,0
D'Andre Swift,CHI,3.82,44.44,3.19,18,98,29,5.4,1.61,66.7,2
Jacory Croskey-Merritt,WAS,3.24,27.78,2.8,18,96,20,5.3,1.1,50,1
Bijan Robinson,ATL,4.26,21.05,2.85,19,93,-1,4.9,-0.09,52.9,1
Javonte Williams,DAL,2.35,26.67,2.51,15,91,31,6.1,2.04,46.7,1
Jonathan Taylor,IND,3.99,--,2.49,25,87,-22,3.5,-0.89,24,0
Kenneth Gainwell,PIT,3.42,53.85,2.86,13,80,29,6.2,2.25,53.8,0
Kyren Williams,LAR,3.57,26.67,3,15,78,2,5.2,0.14,40,2
Saquon Barkley,PHI,4.95,54.55,3,22,78,5,3.5,0.22,36.4,1
Josh Jacobs,GB,2.66,--,2.45,12,73,18,6.1,1.54,41.7,1
Christian McCaffrey,SF,4.9,59.09,2.91,22,73,-12,3.3,-0.54,31.8,1
Blake Corum,LAR,2.97,36.36,2.73,11,71,17,6.5,1.54,54.5,1
Tyrone Tracy Jr.,NYG,3.53,6.67,2.41,15,70,-3,4.7,-0.18,50,1
RJ Harvey,DEN,4.78,15.79,2.82,19,65,-10,3.4,-0.54,36.8,1
Omarion Hampton,LAC,4.12,33.33,3.12,15,61,9,4.1,0.62,40,0
De'Von Achane,MIA,4,8.33,2.77,12,60,-16,5,-1.35,25,0
Bucky Irving,TB,4.03,18.75,2.71,16,60,5,3.8,0.32,43.8,0
Tank Bigsby,PHI,4.81,76.47,3.16,17,57,-7,3.4,-0.39,17.6,0
Michael Carter,AZ,3.44,21.43,2.55,14,56,-9,4,-0.7,23.1,0
Chase Brown,CIN,3.63,15.38,2.84,13,53,-1,4.1,-0.05,46.2,0
Rico Dowdle,CAR,4.53,12.5,2.86,16,49,-14,3.1,-0.97,26.7,1
Samaje Perine,CIN,3.99,14.29,2.43,14,42,-10,3,-0.69,28.6,0
Jahmyr Gibbs,DET,5.69,--,3.05,13,38,-18,2.9,-1.46,8.3,0
Aaron Jones,MIN,5.1,33.33,2.75,12,34,-10,2.8,-0.87,16.7,0
Jaylen Warren,PIT,4.97,91.67,2.72,12,33,-10,2.8,-0.8,25,0
Kyle Monangai,CHI,4.1,45.45,2.44,11,33,-7,3,-0.66,45.5,0
Kimani Vidal,LAC,5.71,16.67,3.38,12,33,-6,2.8,-0.58,27.3,0
Travis Etienne,JAX,5.14,33.33,2.78,12,32,-6,2.7,-0.59,63.6,0
Jordan Mason,MIN,4.4,70,2.92,10,29,-2,2.9,-0.2,40,0
Breece Hall,NYJ,7.41,41.67,3.05,12,23,-6,1.9,-0.51,33.3,0
Isiah Pacheco,KC,7.3,27.27,3.34,11,21,-20,1.9,-1.83,27.3,0
Quinshon Judkins,CLE,7.42,50,3.12,12,21,-19,1.8,-1.55,8.3,0
