PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
De'Von Achane,MIA,3.46,33.33,2.84,21,120,34,5.7,1.62,52.4,0
Sean Tucker,TB,3.24,31.58,2.83,19,106,24,5.6,1.25,36.8,2
Bijan Robinson,ATL,4.31,8.7,3.11,23,104,-8,4.5,-0.37,30.4,2
Derrick Henry,BAL,2.59,33.33,2.33,18,103,34,5.7,1.9,38.9,1
Chase Brown,CIN,3.1,--,2.85,18,99,16,5.5,0.88,50,0
Javonte Williams,DAL,3.56,45.45,2.86,22,93,-9,4.2,-0.42,40.9,0
Kyren Williams,LAR,2.53,--,2.76,12,91,28,7.6,2.33,25,1
D'Andre Swift,CHI,3.67,28.57,2.69,21,90,3,4.3,0.15,52.4,0
Tyrone Tracy Jr.,NYG,3.64,10.53,2.79,19,88,11,4.6,0.57,47.4,0
Saquon Barkley,PHI,5.37,50,3.15,26,83,-37,3.2,-1.46,28,0
Christian McCaffrey,SF,2.83,23.08,2.51,13,81,-2,6.2,-0.14,38.5,2
Chris Rodriguez Jr.,WAS,2.85,60,2.46,15,79,25,5.3,1.68,53.3,0
Bhayshul Tuten,JAX,3.87,26.67,2.65,15,74,12,4.9,0.8,46.7,1
Travis Etienne,JAX,3.75,21.05,2.68,19,73,-16,3.8,-0.84,21.1,2
Aaron Jones,MIN,3.52,18.75,2.74,16,70,-9,4.4,-0.55,43.8,0
Kenneth Walker III,SEA,4.74,25,3.41,16,67,5,4.2,0.31,37.5,1
Jaylen Warren,PIT,3.6,60,3.08,10,62,25,6.2,2.47,50,0
TreVeyon Henderson,NE,4.1,21.05,2.8,19,62,7,3.3,0.38,42.1,2
Kareem Hunt,KC,3.27,15.38,2.49,13,59,0,4.5,0.03,46.2,1
Quinshon Judkins,CLE,4.63,70.59,3.01,17,59,-3,3.5,-0.2,35.3,0
Breece Hall,NYJ,3.81,42.86,3.03,14,58,5,4.1,0.37,42.9,0
Rachaad White,TB,3.47,10,2.94,10,51,4,5.1,0.45,40,0
James Cook,BUF,4.89,56.25,2.7,16,48,-10,3,-0.62,37.5,0
Rico Dowdle,CAR,5.06,21.05,2.75,19,45,-13,2.4,-0.67,42.1,0
Woody Marks,HOU,5.48,27.78,2.51,18,44,-15,2.4,-0.85,23.5,0
Devin Singletary,NYG,5.32,37.5,2.64,16,44,-4,2.8,-0.27,33.3,2
Emanuel Wilson,GB,3.83,45.45,2.36,11,40,-10,3.6,-0.87,9.1,1
Jahmyr Gibbs,DET,4.5,8.33,2.73,12,39,-14,3.3,-1.2,16.7,0
Zach Charbonnet,SEA,4.98,18.18,3.17,11,37,-12,3.4,-1.07,18.2,0
RJ Harvey,DEN,5.27,36.36,2.92,11,30,-21,2.7,-1.9,27.3,0
Kyle Monangai,CHI,6.57,25,2.45,12,23,-20,1.9,-1.67,8.3,1
Tony Pollard,TEN,6.77,30,2.81,10,22,-14,2.2,-1.55,22.2,0
