PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
James Cook,BUF,2.32,15.79,2.68,19,216,121,11.4,6.34,73.7,2
Jonathan Taylor,IND,2.1,--,2.65,12,153,84,12.8,6.96,50,2
Saquon Barkley,PHI,2.24,7.14,2.82,14,150,81,10.7,5.81,57.1,1
Breece Hall,NYJ,2.87,11.11,2.67,18,133,53,7.4,2.95,61.1,2
Kimani Vidal,LAC,3.4,52.17,2.74,23,117,27,5.1,1.18,47.8,1
J.K. Dobbins,DEN,2.7,40,2.63,15,111,47,7.4,3.35,64.3,0
TreVeyon Henderson,NE,3.59,60,3.63,10,75,19,7.5,1.92,40,0
Chase Brown,CIN,3.08,16.67,2.78,12,73,35,6.1,2.95,58.3,1
Derrick Henry,BAL,4.79,52.38,2.88,21,71,0,3.4,-0.02,42.9,2
De'Von Achane,MIA,4.66,16.67,2.78,18,67,-19,3.7,-1.07,22.2,0
Jaylen Warren,PIT,3.95,7.69,3.05,13,62,3,4.8,0.29,33.3,0
Woody Marks,HOU,3.08,9.09,2.88,11,62,20,5.6,1.83,63.6,0
Emanuel Wilson,GB,2.9,54.55,2.33,11,61,2,5.5,0.14,45.5,0
Isiah Pacheco,KC,3.26,8.33,2.52,12,58,-1,4.8,-0.07,27.3,0
Nick Chubb,HOU,4,5.88,2.76,17,56,-2,3.3,-0.12,43.8,0
Ollie Gordon II,MIA,3.43,30,2.34,10,46,4,4.6,0.39,40,0
D'Andre Swift,CHI,4.23,45.45,2.63,11,45,9,4.1,0.81,36.4,1
Tony Pollard,TEN,4.73,9.09,3.03,11,44,-6,4,-0.52,27.3,0
Sean Tucker,TB,4.79,25,3.07,12,42,13,3.5,1.06,41.7,1
Javonte Williams,DAL,3.59,23.08,2.4,13,41,-10,3.2,-0.76,30.8,2
Tyrone Tracy Jr.,NYG,4.19,--,2.79,10,39,-3,3.9,-0.37,44.4,0
Rachaad White,TB,4.49,38.46,2.89,13,35,-9,2.7,-0.75,25,0
Chuba Hubbard,CAR,4.88,8.33,2.44,12,34,-16,2.8,-1.44,27.3,1
Rhamondre Stevenson,NE,5.31,50,2.76,14,34,2,2.4,0.16,50,0
Josh Jacobs,GB,4.99,15.38,2.74,13,33,-23,2.5,-1.78,30.8,1
Jaret Patterson,LAC,4.94,81.82,2.59,11,30,0,2.7,-0.02,36.4,0
