PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jahmyr Gibbs,DET,2.04,13.33,2.7,15,219,145,14.6,9.65,53.3,2
James Cook,BUF,2.6,29.41,2.6,17,116,45,6.8,2.65,23.5,1
Emanuel Wilson,GB,3.57,42.86,2.72,28,107,30,3.8,1.08,60.7,2
Chase Brown,CIN,3.12,--,2.67,19,107,-4,5.6,-0.23,36.8,0
Kareem Hunt,KC,3.99,26.67,2.54,30,104,-15,3.5,-0.51,36.7,1
Kenneth Gainwell,PIT,2.58,40,2.86,10,92,-16,9.2,-2.02,25,0
Christian McCaffrey,SF,5.05,33.33,2.69,24,89,-40,3.7,-1.69,25,1
Javonte Williams,DAL,3.5,5,2.74,20,87,0,4.4,-0.02,40,0
Travis Etienne,JAX,3.05,13.33,2.79,15,86,29,5.7,2.1,35.7,0
Woody Marks,HOU,3.25,25,2.93,16,74,24,4.6,1.5,56.3,0
Kenneth Walker III,SEA,3.89,18.18,3.55,11,71,9,6.5,0.94,40,0
Bijan Robinson,ATL,3.99,21.43,3.04,14,70,31,5,2.19,57.1,0
Jaylen Warren,PIT,4.29,38.89,2.99,18,68,-2,3.8,-0.13,33.3,1
TreVeyon Henderson,NE,3.84,16.67,2.65,18,66,0,3.7,0,44.4,0
Derrick Henry,BAL,5.14,66.67,3.01,21,64,-6,3,-0.26,23.8,2
Tyrone Tracy Jr.,NYG,4.82,40,2.82,20,62,-6,3.1,-0.3,30,0
Jonathan Taylor,IND,5.53,25,2.97,16,58,-2,3.6,-0.13,40,0
Ashton Jeanty,LV,4.06,11.76,2.63,17,50,-21,2.9,-1.21,35.3,0
Kyle Monangai,CHI,3.82,16.67,2.53,12,48,-19,4,-1.58,33.3,1
Quinshon Judkins,CLE,4.55,75,3.16,16,47,3,2.9,0.2,56.3,2
Devin Singletary,NYG,4.83,71.43,2.95,14,47,-18,3.4,-1.3,21.4,0
Kyren Williams,LAR,4.08,41.67,2.64,12,46,-5,3.8,-0.41,50,0
Tyler Allgeier,ATL,4.65,25,3.04,12,44,9,3.7,0.75,66.7,0
Breece Hall,NYJ,5.56,50,2.72,16,44,-10,2.8,-0.61,31.3,0
Sean Tucker,TB,4,16.67,2.69,12,42,-6,3.5,-0.52,33.3,0
Saquon Barkley,PHI,7.26,20,3.54,10,22,-20,2.2,-1.97,20,0
Tony Pollard,TEN,7.12,9.09,2.81,11,20,-20,1.8,-1.84,27.3,0
Bam Knight,AZ,12.11,30,3.27,10,12,-27,1.2,-2.71,10,1
