PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Ashton Jeanty,LV,2.96,4.76,2.9,21,138,47,6.6,2.25,38.1,1
Omarion Hampton,LAC,2.31,8.33,3.29,12,128,96,10.7,8.03,66.7,1
Travis Etienne,JAX,3.1,5.26,2.72,19,124,37,6.5,2.08,33.3,1
James Cook,BUF,3.35,13.64,2.67,22,117,12,5.3,0.56,52.4,1
J.K. Dobbins,DEN,3.16,37.5,3.05,16,101,40,6.3,2.69,66.7,0
Kenneth Gainwell,PIT,3.58,47.37,2.91,19,99,32,5.2,1.89,64.7,2
De'Von Achane,MIA,3.95,25,3.02,20,99,21,5,1.09,36.8,1
Jahmyr Gibbs,DET,3.41,40,3.16,15,91,34,6.1,2.46,42.9,1
Josh Jacobs,GB,3.73,9.09,2.75,22,86,23,3.9,1.11,38.1,2
Javonte Williams,DAL,3.72,35,2.92,20,85,5,4.3,0.26,40,1
Quinshon Judkins,CLE,3.5,52.38,3.16,21,82,1,3.9,0.04,42.9,1
Kenneth Walker III,SEA,5.12,47.37,3.29,19,81,5,4.3,0.27,38.9,0
Breece Hall,NYJ,3,28.57,2.62,14,81,11,5.8,0.78,21.4,0
Cam Skattebo,NYG,4.06,24,2.39,25,79,-4,3.2,-0.16,40,0
Kyren Williams,LAR,3.54,--,2.59,13,77,11,5.9,0.88,61.5,0
Jonathan Taylor,IND,4.78,5.88,3.05,17,76,5,4.5,0.31,43.8,0
Bijan Robinson,ATL,4.42,17.65,2.96,17,75,-12,4.4,-0.68,41.2,1
Alvin Kamara,NO,3.98,--,2.83,15,70,-13,4.7,-0.87,40,0
Woody Marks,HOU,3.75,23.53,2.8,17,69,20,4.1,1.2,58.8,1
Kendre Miller,NO,3.24,18.18,2.86,11,65,5,5.9,0.53,30,1
Tony Pollard,TEN,2.92,28.57,2.47,14,64,-2,4.6,-0.13,42.9,0
Bucky Irving,TB,4.42,6.67,2.79,15,63,4,4.2,0.27,46.7,0
RJ Harvey,DEN,5.19,28.57,3.36,14,58,7,4.1,0.65,45.5,0
Jordan Mason,MIN,4.52,18.75,2.94,16,57,-3,3.6,-0.16,37.5,0
Tyler Allgeier,ATL,5.46,12.5,3.26,16,51,-13,3.2,-0.81,31.3,1
Christian McCaffrey,SF,5.59,11.76,2.68,17,49,-34,2.9,-2.01,17.6,0
Chuba Hubbard,CAR,3.65,10,3.04,10,49,-8,4.9,-0.75,30,0
Nick Chubb,HOU,4,23.08,2.56,13,47,-3,3.6,-0.25,23.1,0
Saquon Barkley,PHI,6.07,42.11,2.52,19,43,-21,2.3,-1.19,38.9,1
Chase Brown,CIN,3.75,--,2.4,10,40,-12,4,-1.18,70,0
Zach Charbonnet,SEA,5.43,41.67,2.94,12,39,-2,3.3,-0.17,50,1
D'Andre Swift,CHI,6.3,28.57,2.91,14,38,0,2.7,-0.03,53.8,1
Kareem Hunt,KC,4.12,23.08,2.42,13,34,-5,2.6,-0.41,23.1,0
