PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Rico Dowdle,CAR,2.11,30.43,2.64,23,206,105,9,5.01,47.6,1
Javonte Williams,DAL,2.5,37.5,2.84,16,135,72,8.4,4.5,62.5,1
Breece Hall,NYJ,2.56,14.29,2.15,14,113,40,8.1,2.84,42.9,0
Jacory Croskey-Merritt,WAS,2.98,28.57,3.07,14,111,44,7.9,3.13,50,2
Quinshon Judkins,CLE,3.38,65.22,2.87,23,110,53,4.8,2.39,50,0
Kenneth Walker III,SEA,3.17,60,3.25,10,86,41,8.6,4.11,60,0
J.K. Dobbins,DEN,4.19,20,3.09,20,79,3,4,0.17,40,1
Ashton Jeanty,LV,3.51,7.14,2.96,14,67,6,4.8,0.44,57.1,0
Tony Pollard,TEN,3.45,14.29,2.71,14,67,-4,4.8,-0.28,35.7,1
Jonathan Taylor,IND,4.43,70.59,2.87,17,66,-6,3.9,-0.38,29.4,3
David Montgomery,DET,4.65,44.44,2.87,18,65,12,3.6,0.73,41.2,1
Kyren Williams,LAR,2.94,--,2.57,14,65,17,4.6,1.31,53.8,0
Nick Chubb,HOU,3.09,27.27,2.61,11,61,33,5.5,3.04,54.5,1
Cam Skattebo,NYG,3.76,6.67,2.43,15,59,2,3.9,0.11,40,0
Christian McCaffrey,SF,5.16,31.82,2.64,22,57,-21,2.6,-0.93,31.8,0
Jahmyr Gibbs,DET,3.87,16.67,2.66,12,54,-4,4.5,-0.35,33.3,0
Jordan Mason,MIN,4.91,30.77,2.88,13,52,13,4,1.09,41.7,1
Michael Carter,AZ,5.19,22.22,2.93,18,51,-29,2.8,-1.72,23.5,1
Travis Etienne,JAX,3.93,16.67,2.78,12,49,-2,4.1,-0.18,45.5,0
James Cook,BUF,4.46,13.33,2.68,15,49,-10,3.3,-0.74,28.6,0
Omarion Hampton,LAC,4.31,8.33,3.13,12,44,-24,3.7,-1.98,25,0
Rachaad White,TB,5.35,35.71,2.81,14,41,7,2.9,0.56,46.2,2
Kendre Miller,NO,4.49,40,2.98,10,41,8,4.1,0.79,60,0
Derrick Henry,BAL,5.48,20,2.61,15,33,-8,2.2,-0.55,33.3,1
De'Von Achane,MIA,11,--,2.96,10,16,-33,1.6,-3.27,10,0
