PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Jaxon Smith-Njigba,SEA,WR,4.4,2.9,10,44.28,8,9,88.89,129,0,6.3,5.8,0.5
Brock Bowers,LV,TE,6.7,2.8,6.4,49.94,12,13,92.31,127,3,5.2,3.2,2
Tee Higgins,CIN,WR,5.3,1.2,13.9,29.42,7,9,77.78,121,2,4.3,2.9,1.4
Colston Loveland,CHI,TE,6.1,3.3,10.2,25.91,6,7,85.71,118,2,10,3.9,6.1
Drake London,ATL,WR,5,2.3,11,47.22,9,14,64.29,118,3,2.2,2.1,0.2
Alec Pierce,IND,WR,8.4,2.1,16,51.01,6,13,46.15,115,0,4.6,2.1,2.5
Michael Pittman,IND,WR,7.6,3.9,9.9,29.13,9,12,75,115,0,2.9,3.3,-0.3
Ja'Marr Chase,CIN,WR,5,3.5,10.4,19.53,6,8,75,111,0,7.8,4.8,3
Dalton Kincaid,BUF,TE,7.8,4.4,7.7,40.75,6,6,100,101,1,9.1,8.7,0.4
DeMario Douglas,NE,WR,6.1,1.3,21.4,47.21,4,6,66.67,100,1,7.8,3.7,4.1
Sam LaPorta,DET,TE,5.5,3.4,6.5,20.99,6,8,75,97,1,10,9.2,0.9
Amon-Ra St. Brown,DET,WR,4.9,2.1,10.2,53.66,9,13,69.23,97,0,2.9,2.7,0.2
Marvin Harrison Jr.,AZ,WR,6.7,2.9,11.7,46.4,7,10,70,96,1,3.1,1.5,1.5
Puka Nacua,LAR,WR,7.5,2.9,9.7,24.71,7,8,87.5,95,1,3.2,2.7,0.5
Romeo Doubs,GB,WR,8,2.1,12.5,40.72,7,10,70,91,0,2.3,2.2,0.1
Parker Washington,JAX,WR,4.9,2.4,9,28.74,8,9,88.89,90,0,1.5,2.8,-1.2
CeeDee Lamb,DAL,WR,8.1,3.2,14,41.94,7,12,58.33,85,0,4.7,4.5,0.2
Jaylen Waddle,MIA,WR,7,2.5,9.5,35.32,6,9,66.67,82,0,3.6,5.9,-2.4
Rashee Rice,KC,WR,5.1,2.8,11.7,19.61,4,7,57.14,80,0,7.3,10.1,-2.8
George Pickens,DAL,WR,6.6,2.3,12.4,27.81,6,9,66.67,79,0,2.8,1.3,1.5
Dalton Schultz,HOU,TE,4.5,2.9,5.7,14.08,6,8,75,77,0,7.5,5.3,2.2
Nico Collins,HOU,WR,6.1,1.9,13.2,44.52,7,11,63.64,75,0,2.4,2,0.4
DJ Moore,CHI,WR,6,4.7,13.8,30.23,4,6,66.67,72,0,8.9,7.3,1.6
Rashid Shaheed,NO,WR,7.6,2.5,12.2,50.73,5,9,55.56,68,0,2.8,2.6,0.2
Oronde Gadsden II,LAC,TE,4.8,4.9,9.1,15.29,5,5,100,68,0,4.5,3.5,1
Jameson Williams,DET,WR,6.4,2.4,10.4,25.04,4,6,66.67,66,1,5.8,4.1,1.6
Andrei Iosivas,CIN,WR,3.4,2.4,10.9,17.84,5,7,71.43,66,1,4.4,4.9,-0.4
Travis Kelce,KC,TE,3.1,3.2,11.4,13.64,4,5,80,66,0,4,5.1,-1.1
Zay Flowers,BAL,WR,8.8,3.9,6.5,15.76,5,5,100,64,0,6.3,5,1.3
Darius Slayton,NYG,WR,7.1,3.2,11.9,43.79,5,7,71.43,62,0,4.1,4.6,-0.5
Davante Adams,LAR,WR,5,2.8,14.9,33.2,5,7,71.43,60,2,2.3,3.5,-1.2
Olamide Zaccheaus,CHI,WR,4.7,3.5,6.2,18.14,6,8,75,58,1,7.1,7,0
Ladd McConkey,LAC,WR,6,3.7,7.3,14.69,4,6,66.67,56,0,9.3,6.9,2.4
Calvin Austin III,PIT,WR,4.1,3.9,6.2,39.12,5,6,83.33,56,0,8.1,5.8,2.3
Trey McBride,AZ,TE,6.2,2.9,10.8,38.42,5,9,55.56,55,1,3.3,2.5,0.8
Brian Thomas Jr.,JAX,WR,5.2,2.4,17,30.22,3,5,60,55,0,8,1.6,6.4
Quentin Johnston,LAC,WR,4.8,2,12.3,24.91,4,6,66.67,53,1,3.1,2.7,0.4
Hunter Henry,NE,TE,8.4,2.6,6.7,14.83,4,6,66.67,51,0,7.5,8.6,-1.2
Josh Downs,IND,WR,5.5,3.3,5.3,11.79,6,9,66.67,50,1,1.9,1.6,0.2
Jake Ferguson,DAL,TE,5.2,3.2,5.4,9.39,5,7,71.43,50,0,5.4,4.2,1.2
Greg Dulcich,MIA,TE,9.6,2.7,5.7,11.69,5,5,100,49,0,4.1,4.5,-0.3
Justin Jefferson,MIN,WR,3.7,4.3,6.7,25.26,6,9,66.67,47,1,1.7,3.1,-1.4
Wan'Dale Robinson,NYG,WR,8.4,3.7,4.2,24.34,9,11,81.82,46,0,1.9,2.9,-1
Elic Ayomanor,TEN,WR,8.3,6,11,36.7,3,6,50,46,0,6.9,7.5,-0.6
Tetairoa McMillan,CAR,WR,7.6,2.3,11.1,53.12,4,6,66.67,46,0,0.4,2,-1.6
Khalil Shakir,BUF,WR,6.6,5.2,0.2,1.36,7,8,87.5,43,0,7.7,9.8,-2.1
Darnell Washington,PIT,TE,6.2,1.7,6.2,38.93,4,6,66.67,43,0,3.5,2.1,1.4
Keenan Allen,LAC,WR,7.5,2.5,15,25.2,2,5,40,41,0,7.6,3.6,4
Deebo Samuel Sr.,WAS,WR,6.6,4.1,0.8,3.92,5,6,83.33,41,0,7.7,7.4,0.3
Jauan Jennings,SF,WR,3.7,1.8,7.7,29.01,4,5,80,41,1,4.3,3.5,0.8
Kyle Pitts,ATL,TE,7.4,2.6,11.9,25.58,4,7,57.14,38,0,1.2,2,-0.8
Xavier Hutchinson,HOU,WR,6.6,2,10,15.34,3,5,60,30,0,1.4,2.1,-0.6
Courtland Sutton,DEN,WR,3.9,1.6,21.2,31.04,1,6,16.67,30,1,3.9,1.9,2
Jaylin Lane,WAS,WR,7.3,3.3,8.4,34.55,3,5,60,29,0,4,3.8,0.3
