PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
George Pickens,DAL,WR,5.3,2.4,11.2,62.34,9,11,81.82,168,1,9.5,3.1,6.3
Jaxon Smith-Njigba,SEA,WR,7.5,3.2,13.6,55.46,8,13,61.54,162,1,5.1,4.2,0.9
Drake London,ATL,WR,5.5,3,10.9,74.35,10,16,62.5,158,1,6.5,3.7,2.8
Kendrick Bourne,SF,WR,7.6,2.4,13.5,40.72,5,9,55.56,142,0,13.2,6.6,6.5
Dallas Goedert,PHI,TE,6.6,3.8,9.7,36.39,9,11,81.82,110,1,2.4,1.9,0.5
Ladd McConkey,LAC,WR,5.6,3.3,7.1,28.57,7,9,77.78,100,1,6.6,3.6,3
Chris Olave,NO,WR,4.2,2.9,12.1,57.29,6,10,60,98,0,5.1,4.6,0.5
Jaylen Waddle,MIA,WR,7.4,2.6,13.1,56.17,6,8,75,95,0,3.2,3.2,0
DK Metcalf,PIT,WR,4.2,1.5,16.6,68.83,4,9,44.44,95,1,9,2.6,6.3
Ja'Marr Chase,CIN,WR,5.5,2.8,9,44.95,10,12,83.33,94,1,1.6,1.6,0
Kayshon Boutte,NE,WR,3.5,3,16.8,31.22,5,5,100,93,2,2.6,2.9,-0.2
Brian Thomas Jr.,JAX,WR,5.4,3.7,9.8,32.93,8,10,80,90,1,3.3,2.9,0.4
Matthew Golden,GB,WR,4.4,1.6,16.6,37.1,3,5,60,86,0,7.5,4.1,3.5
Wan'Dale Robinson,NYG,WR,6.6,3.4,6.2,18,6,7,85.71,84,1,8.4,6.2,2.2
Harold Fannin Jr.,CLE,TE,5,3.1,6.3,21.43,7,10,70,81,0,6.9,5,1.9
A.J. Brown,PHI,WR,7.2,2.2,11.6,35.44,6,9,66.67,80,0,2,1.3,0.7
Zay Jones,AZ,WR,5.4,3.2,13.3,31.45,5,8,62.5,79,0,4,5.6,-1.6
Travis Kelce,KC,TE,5.2,4,6.8,35.74,6,7,85.71,78,0,6,4.2,1.8
