PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Tee Higgins,CIN,WR,7.6,3.1,4.7,8.93,5,6,83.33,31,0,2.1,3.5,-1.3
Mack Hollins,NE,WR,4.2,1.5,11.8,25.39,2,6,33.33,30,0,4.1,3.3,0.8
Mitchell Tinsley,CIN,WR,7.2,1.2,15.6,29.89,2,6,33.33,29,1,0.6,0.4,0.2
Tre Tucker,LV,WR,5.9,2.8,18.9,55.88,3,10,30,28,0,3.8,2.7,1.2
Michael Pittman,IND,WR,8.1,2.7,5.2,28.63,5,8,62.5,27,1,2.2,2.9,-0.7
Xavier Restrepo,TEN,WR,5.8,2.8,14.7,46.57,2,6,33.33,26,0,1.6,2.9,-1.2
Kyle Pitts,ATL,TE,7.3,1.6,10.8,35.09,2,5,40,25,0,4.6,4.6,0
Xavier Legette,CAR,WR,8.5,2.2,11.3,33.72,3,5,60,22,0,0.1,0.4,-0.3
DK Metcalf,PIT,WR,4.3,2.4,7.3,28.94,5,8,62.5,22,0,2.2,2.7,-0.4
Mason Taylor,NYJ,TE,5.7,3.8,4.1,7.89,3,5,60,21,0,2,2.3,-0.2
Cade Otton,TB,TE,5.4,3.5,2.4,7.66,4,7,57.14,21,0,3.7,1.6,2.1
Sterling Shepard,TB,WR,6.2,4.8,4.1,9.29,3,5,60,12,0,5.6,7,-1.4
Josh Downs,IND,WR,9.9,2.4,7.2,29.56,2,6,33.33,10,0,4.1,7.1,-3
