PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Jaxon Smith-Njigba,SEA,WR,5.4,2.7,14.6,58.15,8,10,80,167,2,7.9,4.9,3
Wan'Dale Robinson,NYG,WR,4.8,3.1,13.3,44.95,9,14,64.29,156,1,4.7,6.4,-1.7
Amon-Ra St. Brown,DET,WR,7.5,3.6,11.3,74.81,9,13,69.23,149,1,6.6,4.2,2.4
George Pickens,DAL,WR,5.9,1.9,12,29.56,9,9,100,146,1,4.3,6.1,-1.8
Rashee Rice,KC,WR,4.4,3.7,5.6,21.67,8,12,66.67,141,0,13.9,12.2,1.7
Michael Wilson,AZ,WR,6.6,2.2,10.8,48.39,10,15,66.67,118,0,1.8,1.6,0.3
Hunter Henry,NE,TE,7.7,3.4,8,28.68,7,10,70,115,1,9.1,6.8,2.3
A.J. Brown,PHI,WR,6.5,3,9.2,29.79,8,10,80,110,1,4.5,2.7,1.8
Puka Nacua,LAR,WR,5.4,2.9,8.5,36.02,7,11,63.64,97,0,5.6,4.1,1.4
Brenton Strange,JAX,TE,4.4,4.6,11.9,20.57,5,5,100,93,0,6.7,4.8,1.9
DeVonta Smith,PHI,WR,6.4,1.8,15.5,55.43,6,11,54.55,89,0,3.1,2.1,1
Trey McBride,AZ,TE,5.7,3,5.8,17.18,9,10,90,79,0,4,3.3,0.7
George Kittle,SF,TE,5,4,7.3,35.89,6,10,60,78,0,7.9,6.6,1.3
Khalil Shakir,BUF,WR,8.4,4.5,1.7,10.49,8,10,80,77,0,8.4,5.3,3.1
Theo Johnson,NYG,TE,5.2,1.1,16.5,19.91,3,5,60,77,0,3.3,1.3,2.1
CeeDee Lamb,DAL,WR,6.4,1.7,15,45.12,4,11,36.36,75,0,2.5,1.5,1
Parker Washington,JAX,WR,6.7,2.2,11.1,26.82,5,7,71.43,71,1,4.9,3,1.9
Chris Olave,NO,WR,6.8,2.3,11.5,43.96,9,13,69.23,70,0,3.2,3.4,-0.3
John Metchie III,NYJ,WR,6.6,3.6,4.5,12.34,6,7,85.71,65,1,7,8.7,-1.7
DJ Moore,CHI,WR,6.2,3.8,9.5,27.03,5,7,71.43,64,2,3.9,2.4,1.5
Tyler Lockett,LV,WR,7.4,3.1,12.4,18.26,4,5,80,62,0,4.1,4,0.1
Davante Adams,LAR,WR,2.9,1.9,12.3,38.18,5,8,62.5,62,2,1.2,1.9,-0.6
Andrei Iosivas,CIN,WR,8.1,3.4,13.9,31.18,4,7,57.14,61,0,1.7,1.6,0.1
Jake Ferguson,DAL,TE,8.4,2.6,5.7,9.42,5,6,83.33,60,0,5.4,3.1,2.3
Xavier Worthy,KC,WR,4.2,3.8,12.9,33,4,8,50,59,0,1.7,5.8,-4.1
Zay Flowers,BAL,WR,6.2,4.2,9,24.84,5,6,83.33,58,0,4.3,3.2,1.1
Brock Bowers,LV,TE,6.8,2.7,7.6,20.1,6,9,66.67,55,0,2.4,1.9,0.5
Christian Kirk,HOU,WR,4.5,3.3,3.8,10.26,5,6,83.33,54,1,8.7,7.6,1
Greg Dortch,AZ,WR,7.9,2,5.1,13.8,6,9,66.67,53,1,8.9,3.7,5.2
Rome Odunze,CHI,WR,7.4,3,11.8,43.34,3,9,33.33,53,0,7.9,6.5,1.4
Gunnar Helm,TEN,TE,3.9,3.4,3.7,13.74,6,7,85.71,51,0,6.2,8.6,-2.4
Jakobi Meyers,JAX,WR,6.8,1.7,10.3,21.44,4,6,66.67,50,1,2.3,1.6,0.7
Christian Watson,GB,WR,6.3,2.7,11.4,48.28,5,7,71.43,49,0,1.2,0.7,0.5
Colston Loveland,CHI,TE,3.5,1.8,6.7,13.6,4,5,80,49,1,5.1,3.1,2
Justin Jefferson,MIN,WR,6.2,2.4,10.7,61,4,6,66.67,48,0,2.7,2.6,0
Luther Burden III,CHI,WR,6.3,6.4,7,14.28,3,5,60,46,0,10.9,7.7,3.2
Juwan Johnson,NO,TE,5.1,2.1,7.4,15.31,6,7,85.71,46,0,0.9,2,-1.1
Tyler Warren,IND,TE,7.6,4.7,2.5,11.86,5,7,71.43,45,0,8.4,7.3,1.1
Chimere Dike,TEN,WR,4.5,2.8,7.2,26.77,5,7,71.43,44,1,7,8.6,-1.7
Travis Kelce,KC,TE,4.4,2.6,9.7,18.55,4,6,66.67,43,0,5.2,3.3,1.9
Adonai Mitchell,NYJ,WR,6.6,3,25.5,69.1,2,7,28.57,42,0,6.5,6.4,0.1
Isaiah Hodgins,NYG,WR,2.8,2.2,14.3,20.74,2,6,33.33,42,1,1,1.5,-0.6
Jauan Jennings,SF,WR,7.3,2.7,9.6,33.17,5,7,71.43,41,1,2.3,1.4,0.9
Harold Fannin Jr.,CLE,TE,6.7,3,0.2,0.91,4,6,66.67,40,0,11.1,6.5,4.7
Jayden Higgins,HOU,WR,4.6,2.5,12.6,50.43,4,9,44.44,38,1,-0.4,0.3,-0.7
Devaughn Vele,NO,WR,6.7,2.8,14.5,29.92,3,7,42.86,37,0,1.8,4.2,-2.4
Calvin Austin III,PIT,WR,7.3,3.1,4.3,10.58,4,5,80,36,0,6.5,6.2,0.3
Mike Gesicki,CIN,TE,8.5,2.8,10,19.2,4,6,66.67,35,0,1.6,2,-0.3
Tetairoa McMillan,CAR,WR,5.8,1.9,14.6,60.87,2,7,28.57,35,1,-0.3,0.1,-0.4
Emeka Egbuka,TB,WR,7.4,2.5,10.4,37.58,3,8,37.5,32,0,7.7,5.4,2.3
