PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
DeVonta Smith,PHI,WR,6.6,3,15.4,61.22,9,11,81.82,183,1,4.7,4.5,0.2
Oronde Gadsden II,LAC,TE,6.3,3.1,10.8,20.16,7,9,77.78,164,1,9,3.6,5.4
Ja'Marr Chase,CIN,WR,5.8,3.9,6.5,48.38,16,23,69.57,161,1,5.9,5.2,0.7
Jordan Addison,MIN,WR,6.7,2.8,16.2,46.55,9,12,75,128,0,1.2,1.7,-0.5
Jaxon Smith-Njigba,SEA,WR,6.5,2.2,11.6,54.89,8,14,57.14,123,1,4.3,3.3,1
A.J. Brown,PHI,WR,8.3,1.3,17.8,38.48,4,6,66.67,121,2,7.8,3.5,4.3
Keenan Allen,LAC,WR,6,2.5,9.1,26.54,11,14,78.57,119,1,2.7,2.1,0.7
Pat Freiermuth,PIT,TE,5.9,3.3,8.9,18.15,5,6,83.33,111,2,12.5,3.3,9.2
CeeDee Lamb,DAL,WR,5.4,2.3,10.1,39.13,5,8,62.5,110,1,12.3,4.3,8
Travis Hunter,JAX,WR,7.1,3.6,8.5,22.48,8,14,57.14,101,1,5.3,5.1,0.2
Alec Pierce,IND,WR,7.6,1.5,24.2,69.06,5,10,50,98,0,1.5,2.5,-1
Chris Olave,NO,WR,7.2,1.4,19.8,38.01,5,7,71.43,98,2,2.7,5,-2.2
Dalton Schultz,HOU,TE,5.3,4.7,4.3,11.54,9,10,90,98,0,7.3,7.3,0
Tee Higgins,CIN,WR,5.4,2,12,38.43,6,10,60,96,1,5.8,5.9,-0.2
Wan'Dale Robinson,NYG,WR,7.1,2.6,10.5,35.95,6,12,50,95,0,7.4,5.6,1.7
Xavier Legette,CAR,WR,6.2,2.6,9.9,46.17,9,11,81.82,92,1,2,1.9,0.1
Courtland Sutton,DEN,WR,6.3,1.8,11.6,28.13,6,10,60,87,0,3.9,3.4,0.4
Amon-Ra St. Brown,DET,WR,4.4,2.8,9.4,58.21,6,10,60,86,1,7.9,7.6,0.3
Marvin Mims Jr.,DEN,WR,8.6,3.7,12.6,21.33,6,7,85.71,85,0,5.4,5.5,-0.1
George Pickens,DAL,WR,4.7,2,17.3,50.47,4,6,66.67,82,0,3.1,1.9,1.2
Juwan Johnson,NO,TE,7.4,4.6,8.5,16.32,5,7,71.43,79,0,8.1,7.9,0.2
Justin Jefferson,MIN,WR,5.3,2,11.8,28.27,5,10,50,79,0,12.2,5.1,7.1
Jaylin Noel,HOU,WR,5.3,2,17.6,33.35,4,7,57.14,77,0,3.8,3.9,-0.1
Trey McBride,AZ,TE,5.3,3.2,6.1,26.23,10,13,76.92,74,2,3,2.6,0.4
Romeo Doubs,GB,WR,6.4,2.1,15.5,61.09,6,8,75,72,0,1.2,1.2,0
Stefon Diggs,NE,WR,7.1,2.5,6.5,22.9,7,7,100,69,0,3.3,3,0.3
Tyler Warren,IND,TE,5.8,5.2,8.8,12.56,4,5,80,69,1,13.8,12.8,1
Darnell Mooney,ATL,WR,3.5,4.2,23.6,33.07,3,5,60,68,0,4.9,1.3,3.6
Ladd McConkey,LAC,WR,5.6,3.2,10.9,33.92,9,15,60,67,0,1.9,2.7,-0.8
Theo Johnson,NYG,TE,5,4.4,4.2,8.47,3,7,42.86,66,1,15.9,17.8,-2
Cade Otton,TB,TE,5.8,3.2,4.8,9.24,7,9,77.78,65,0,4.2,4.4,-0.2
Kyle Pitts,ATL,TE,9.4,3.4,7.6,21.19,7,10,70,62,0,3.1,3.7,-0.6
Jaylin Lane,WAS,WR,5.8,3.2,18.9,38.3,3,6,50,60,0,2.1,3.5,-1.4
Chris Moore,WAS,WR,8.1,2.6,13.9,23.34,2,5,40,59,0,14.9,11.9,3
Tucker Kraft,GB,TE,7.7,3.5,4.4,21.88,5,10,50,58,1,6.6,5.5,1.1
Michael Pittman,IND,WR,6.4,3.3,5.9,15.21,7,9,77.78,58,1,3.5,3.2,0.3
Marvin Harrison Jr.,AZ,WR,5.1,2.9,19,37.85,2,6,33.33,58,0,4.8,2.4,2.4
Tez Johnson,TB,WR,4.2,3.5,10.1,19.57,4,9,44.44,58,1,7.9,6.7,1.2
Emeka Egbuka,TB,WR,4.2,2.1,14.8,38.22,4,12,33.33,58,0,5.1,2.4,2.7
Parker Washington,JAX,WR,7.9,1.7,19.9,37.87,4,10,40,52,0,1.6,2.4,-0.9
DK Metcalf,PIT,WR,6.4,2.3,16.1,27.22,3,5,60,50,0,6.6,8.7,-2.1
DJ Moore,CHI,WR,8.9,2.4,6.4,16.35,3,5,60,43,0,7.2,3,4.2
T.J. Hockenson,MIN,TE,5.1,4.2,4,8.71,6,9,66.67,43,0,4.4,5.8,-1.4
Evan Engram,DEN,TE,7,6.5,0.9,1.7,5,8,62.5,42,0,7.7,6.7,1
Elijah Arroyo,SEA,TE,7,2.4,7.2,12.15,4,5,80,42,0,2.7,2.7,0
Rashee Rice,KC,WR,6.2,3.6,1.6,8.52,7,10,70,42,2,5.3,5.6,-0.3
Drake London,ATL,WR,3.4,2.1,13.3,37.3,4,10,40,42,0,1.4,1.2,0.1
Rashid Shaheed,NO,WR,6.7,2.5,14.7,36.25,4,9,44.44,40,0,3.5,3.9,-0.4
Zach Ertz,WAS,TE,6.3,2.8,8.6,20.25,3,7,42.86,37,1,5.4,3.4,2
Gunnar Helm,TEN,TE,5.3,3.3,8.1,22.42,4,5,80,36,0,3.3,4,-0.6
Harold Fannin Jr.,CLE,TE,4,5.5,2.9,18.8,4,5,80,36,0,6.7,6.7,0
Davante Adams,LAR,WR,5,1.6,12.3,27.8,5,8,62.5,35,3,0.2,0.4,-0.2
Tre Tucker,LV,WR,6.4,6.6,1.6,17.66,5,6,83.33,33,0,7.1,8.1,-1
Tetairoa McMillan,CAR,WR,5.5,3.6,9.7,20.68,3,5,60,33,0,5.8,3.6,2.2
