PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Tucker Kraft,GB,TE,6.1,3.8,2.3,10.87,7,9,77.78,143,2,18.6,9.8,8.8
Rome Odunze,CHI,WR,5.5,2,14.1,45.77,7,10,70,114,0,2.2,1.7,0.5
Travis Kelce,KC,TE,6.9,3.3,6.5,25.64,6,8,75,99,1,9.2,7.8,1.4
Jaylen Waddle,MIA,WR,4.9,2.5,11.3,72.98,5,6,83.33,99,1,9.9,7.7,2.2
Tetairoa McMillan,CAR,WR,4.6,2.6,10.9,59.48,7,10,70,99,0,3.4,4.7,-1.3
Michael Pittman,IND,WR,5.8,2,6.8,25.28,8,9,88.89,95,1,4.1,2.4,1.8
Chimere Dike,TEN,WR,7.4,3.4,8.4,20.31,7,8,87.5,93,0,6.4,6.3,0.1
Rashee Rice,KC,WR,6.7,4.7,3.6,15.84,9,9,100,93,1,6.4,5.8,0.6
Ja'Marr Chase,CIN,WR,4.8,3.6,4.8,46.5,12,19,63.16,91,0,6.5,5.4,1.1
Troy Franklin,DEN,WR,7,3.7,15.4,39.17,6,8,75,89,2,5.9,4.7,1.2
Mack Hollins,NE,WR,5.4,3.8,8.7,22.25,7,7,100,89,0,4,3.4,0.6
Khalil Shakir,BUF,WR,6.7,4.6,1.4,7.08,6,7,85.71,88,1,15.6,8.5,7.1
Ladd McConkey,LAC,WR,6.3,3.9,9.9,46.86,6,10,60,88,1,4.7,5.6,-0.8
DeVonta Smith,PHI,WR,5.8,2.6,12.7,68.37,6,9,66.67,84,0,3.3,4.1,-0.8
George Pickens,DAL,WR,6,2.4,8.2,26.16,7,9,77.78,78,0,2.3,2,0.2
Oronde Gadsden II,LAC,TE,7.9,3.8,9.8,23.11,5,5,100,77,1,5.9,5.8,0.1
Kayshon Boutte,NE,WR,7.3,2.9,19.7,35.92,3,5,60,75,1,0.9,1.3,-0.3
Rashid Shaheed,NO,WR,6.7,3.2,8.7,23.89,9,12,75,75,0,3,4.2,-1.2
Justin Jefferson,MIN,WR,8.1,2.9,9.2,69.77,7,11,63.64,74,0,2.7,2.7,0
Roman Wilson,PIT,WR,6.5,3.7,19,43.65,4,5,80,74,1,1.5,3.1,-1.7
CeeDee Lamb,DAL,WR,6.1,2.6,10.4,36.78,7,10,70,74,0,2.7,4.1,-1.4
DJ Moore,CHI,WR,6.6,2.9,10.8,24.66,4,7,57.14,73,0,10.8,7.9,2.8
Xavier Hutchinson,HOU,WR,6.5,3.6,7.9,16.38,5,6,83.33,69,1,5.4,4.8,0.6
Alec Pierce,IND,WR,5.9,2.1,26.7,55.4,2,5,40,69,0,2.4,3.1,-0.7
Courtland Sutton,DEN,WR,6.3,2.1,15,28.62,4,6,66.67,67,0,3.4,5.5,-2.1
Tyler Johnson,NYJ,WR,6.8,2.7,16.8,43.01,3,5,60,64,1,6.1,2.4,3.7
Jaylin Noel,HOU,WR,9.3,2.9,12.3,25.64,5,6,83.33,63,0,2.2,1.6,0.5
Chris Olave,NO,WR,7.2,3.4,10.8,29.67,8,12,66.67,63,0,1.6,3.7,-2.1
Zay Flowers,BAL,WR,7.1,3.6,10.5,46.13,7,9,77.78,63,0,1.2,2,-0.8
Harold Fannin Jr.,CLE,TE,4.6,3,6.5,23.63,6,8,75,62,1,4.4,4.9,-0.5
Kyle Pitts,ATL,TE,4.8,4.1,4.1,16.14,9,9,100,59,0,2.4,5,-2.6
DK Metcalf,PIT,WR,3.8,2.7,9,28.94,5,7,71.43,55,1,6.5,3.8,2.7
Xavier Worthy,KC,WR,8,4.2,6.2,21.11,5,7,71.43,53,0,8.4,7,1.4
Chig Okonkwo,TEN,TE,6.3,4.6,7.4,11.21,4,5,80,53,0,4,3.9,0.1
Tyler Warren,IND,TE,4.4,3.6,6,12.43,4,5,80,53,0,10.1,12.4,-2.3
Juwan Johnson,NO,TE,4.1,3,11,19.98,5,8,62.5,53,0,2.2,1.9,0.3
Elic Ayomanor,TEN,WR,7.4,2.8,13.9,33.34,4,8,50,52,0,3.7,3.3,0.3
Jauan Jennings,SF,WR,8.7,1.5,16.4,35.37,4,7,57.14,45,0,1.5,1.3,0.2
Romeo Doubs,GB,WR,5.4,2.6,17.1,53.95,3,6,50,44,0,4.7,4.4,0.4
Keenan Allen,LAC,WR,4.6,2.1,10.6,25.13,4,5,80,44,0,2.4,2.2,0.2
Tez Johnson,TB,WR,7.5,4.4,8,30.26,5,6,83.33,43,0,1.3,2.3,-0.9
George Kittle,SF,TE,5.3,2.7,7.8,11.93,4,5,80,43,1,3.3,3.9,-0.6
Cade Otton,TB,TE,6.1,3.3,4.1,13,4,5,80,40,0,6.7,4.9,1.8
Colston Loveland,CHI,TE,6.2,4.9,6.6,10.65,3,5,60,38,0,6.2,6.8,-0.7
Braxton Berrios,HOU,WR,5.5,3.1,5.2,9.08,5,5,100,38,0,2.4,1.6,0.8
David Njoku,CLE,TE,4.9,3.7,5.9,13.47,4,5,80,37,1,4,4.4,-0.4
Malik Washington,MIA,WR,8.3,4.2,3.7,19.79,4,5,80,36,1,4.9,3.4,1.5
Emeka Egbuka,TB,WR,7.2,2.2,10.3,58.29,3,9,33.33,35,0,2.9,4,-1.1
Mason Taylor,NYJ,TE,6,2.2,7.8,32.05,5,8,62.5,34,1,2.9,3.6,-0.7
Jayden Higgins,HOU,WR,5,2.3,10.5,29.26,4,8,50,34,1,2.3,1.3,0.9
Olamide Zaccheaus,CHI,WR,7.8,2.3,3.5,7.85,7,7,100,33,0,1.3,0.9,0.4
KhaDarel Hodge,ATL,WR,5.8,3.5,10.2,35.63,3,8,37.5,31,0,2.6,2,0.6
Calvin Austin III,PIT,WR,6.7,3.9,3.2,8.69,4,6,66.67,28,0,2.9,2.3,0.6
Darius Slayton,NYG,WR,6.9,1.9,14.3,30.17,2,5,40,26,0,6.2,4.9,1.3
