PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Puka Nacua,LAR,WR,5,2.4,9.2,35.81,12,16,75,225,2,11,8.3,2.7
Chris Olave,NO,WR,5.2,2.9,15.2,64.62,10,16,62.5,148,2,3.7,3.1,0.7
Parker Washington,JAX,WR,6.2,2.5,14.7,48.71,6,10,60,145,1,15,3.4,11.6
Stefon Diggs,NE,WR,6.5,2.9,8.9,20.92,9,10,90,138,0,6,4.6,1.4
George Pickens,DAL,WR,4.2,2.4,13.3,37.76,7,9,77.78,130,1,4,3,1.1
George Kittle,SF,TE,7.3,2.2,13.3,31.79,7,8,87.5,115,1,3.8,2.8,0.9
Ja'Marr Chase,CIN,WR,6,4.1,7.1,40.37,9,11,81.82,109,0,4.3,4.3,0
Quentin Johnston,LAC,WR,4.9,1.6,22.8,41.73,4,5,80,104,1,5,1.8,3.2
DJ Moore,CHI,WR,7.5,2.1,16.9,41.28,5,7,71.43,97,1,0.9,1.5,-0.6
Jaxon Smith-Njigba,SEA,WR,6.2,2.8,9.7,64.23,8,13,61.54,96,1,4.7,3.2,1.5
A.J. Brown,PHI,WR,7.7,3.7,7.9,49.52,9,12,75,95,0,4.7,2.6,2.1
Elijah Higgins,AZ,TE,5,5.2,4.6,15.06,7,8,87.5,91,0,9.7,7.2,2.5
Juwan Johnson,NO,TE,6.8,3.9,5.9,14.11,8,9,88.89,89,0,5,4.2,0.9
Courtland Sutton,DEN,WR,5.9,2.2,18.6,50.32,6,12,50,86,1,1.4,1.8,-0.3
Justin Jefferson,MIN,WR,9.7,2.4,7.5,48.01,6,8,75,85,0,5.6,2.4,3.3
Romeo Doubs,GB,WR,6.3,2.6,11.7,37.49,5,6,83.33,84,1,4.3,3.2,1
Zay Flowers,BAL,WR,4.7,2.8,10.1,40.69,7,7,100,84,0,1.9,3.1,-1.2
Tetairoa McMillan,CAR,WR,5.3,2.4,12.1,45.42,6,10,60,73,1,2.4,2.2,0.2
Jaylen Waddle,MIA,WR,5.8,3.1,12.3,49.38,5,9,55.56,72,0,5.7,4.8,0.9
Jauan Jennings,SF,WR,4.9,1.8,10.9,19.56,5,6,83.33,71,1,4.1,2.7,1.5
Jameson Williams,DET,WR,7.3,2.6,13.5,37.72,5,9,55.56,70,0,0.7,1.3,-0.6
Mack Hollins,NE,WR,6.2,2.6,10.2,21.65,7,9,77.78,69,0,0.7,1.6,-0.9
Troy Franklin,DEN,WR,8.6,3.6,12.9,14.56,4,5,80,66,0,3.6,3.5,0
Josh Downs,IND,WR,3.8,3.1,12,32.65,5,9,55.56,65,0,6,6.2,-0.2
Kalif Raymond,DET,WR,7.6,4.3,2.8,4.39,4,5,80,62,1,11.8,11.1,0.8
Nico Collins,HOU,WR,3.5,2.1,16.5,53.76,4,9,44.44,59,0,1.1,0.8,0.3
Kyle Pitts,ATL,TE,7.3,2.8,7.1,35.84,7,9,77.78,57,1,2.9,4.1,-1.2
Amon-Ra St. Brown,DET,WR,6.1,3.5,3.8,10.57,4,9,44.44,54,0,11.8,9.5,2.3
Tre Harris,LAC,WR,3.2,2.4,7.1,12.92,4,5,80,54,0,5.7,1.2,4.4
Isaac TeSlaa,DET,WR,7.1,2.7,9.4,20.47,4,7,57.14,52,1,5.7,4.7,1
CeeDee Lamb,DAL,WR,6.8,2.6,6.8,14.86,6,7,85.71,51,0,1.2,1,0.2
AJ Barner,SEA,TE,4.9,4.5,5.7,17.59,4,6,66.67,49,1,2.9,1.8,1.1
Jalen Coker,CAR,WR,5.8,2.5,13.2,24.76,3,5,60,47,0,4.6,3.6,1
Jakobi Meyers,JAX,WR,5.8,1.8,10.4,27.57,4,8,50,45,0,1.9,2.9,-1
Chig Okonkwo,TEN,TE,6.7,4.2,0.3,1.73,6,8,75,44,1,6.6,6.2,0.4
Keenan Allen,LAC,WR,5.6,3.8,6.1,11.17,5,5,100,44,0,2.7,2.7,0
Adonai Mitchell,NYJ,WR,8.7,3,12.3,46.87,3,6,50,43,0,4.6,2.4,2.1
Tre Tucker,LV,WR,8,3.6,8,21.19,4,5,80,43,0,5.4,4.9,0.5
Ladd McConkey,LAC,WR,3.3,3.4,10.9,23.94,4,6,66.67,43,1,3.7,3.3,0.4
DeVonta Smith,PHI,WR,6.7,3.5,8.8,36.76,6,8,75,42,1,2.1,3.2,-1.1
Pat Bryant,DEN,WR,6.5,2.8,8.3,14.86,5,8,62.5,42,0,3.3,3.5,-0.2
