PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
DK Metcalf,PIT,WR,5.4,2.4,9.9,30.45,4,9,44.44,42,0,4.9,3.4,1.5
DeAndre Hopkins,BAL,WR,6,2.7,8.9,25.74,4,5,80,41,0,1.6,2.7,-1.1
Chimere Dike,TEN,WR,6.7,3.5,12.6,40.27,3,5,60,40,1,0.8,0.9,-0.1
Darren Waller,MIA,TE,5.6,2.2,9.6,21.32,3,5,60,40,0,2.4,2.1,0.3
Konata Mumpfield,LAR,WR,5.4,2.2,12.6,24.49,3,8,37.5,40,0,4.3,3.1,1.2
Brenton Strange,JAX,TE,5.7,2.9,7,16.38,5,7,71.43,39,1,2.1,3.1,-1.1
Christian Kirk,HOU,WR,6.2,3.1,6.3,11.44,3,5,60,37,0,6.4,9,-2.6
Dalton Schultz,HOU,TE,5.8,3.8,6.3,11.4,5,5,100,35,1,1.9,2.1,-0.1
Hunter Henry,NE,TE,2.7,3.6,7.2,11.9,6,7,85.71,35,1,0.7,1.6,-0.9
Davis Allen,LAR,TE,9.9,4.8,2.6,3.09,2,5,40,34,0,10.1,8.2,2
Harold Fannin Jr.,CLE,TE,7.1,3.9,5.2,46.84,4,6,66.67,34,1,5.5,3.9,1.6
Khalil Shakir,BUF,WR,5.3,3.3,0.6,3.38,4,5,80,34,0,8,4.7,3.3
Stone Smartt,NYJ,TE,4.1,2.6,3.5,11.03,5,5,100,34,0,3.3,3.7,-0.4
Olamide Zaccheaus,CHI,WR,8.7,2.1,10.6,18.56,2,5,40,33,0,9.1,8.1,1
Brock Bowers,LV,TE,8.3,3.4,5.1,13.55,5,5,100,33,1,2.5,2.4,0.1
Michael Pittman,IND,WR,8.3,3.8,11.4,17.29,4,5,80,32,0,3.1,2.8,0.3
Mike Evans,TB,WR,6.9,2.9,7.9,45.04,5,9,55.56,31,1,1.1,1.3,-0.2
Chris Godwin Jr.,TB,WR,9,3.8,6.1,23.37,5,6,83.33,30,0,2.4,3.4,-1
Treylon Burks,WAS,WR,6.5,2.1,12.2,38.78,2,5,40,30,0,4.4,6.3,-1.9
Colston Loveland,CHI,TE,5.6,3.2,9.4,16.4,3,5,60,30,0,4,2.5,1.5
Tyler Warren,IND,TE,5.1,2.3,8.1,22.04,3,9,33.33,30,0,5.7,5,0.7
Mason Tipton,NO,WR,5.4,3.3,5.4,7.16,4,5,80,29,0,5.4,4.6,0.8
Trey McBride,AZ,TE,9.1,1.8,5.4,17.8,4,8,50,27,0,3.6,2.5,1.1
Drake London,ATL,WR,8,2.7,12.8,57.37,3,8,37.5,27,0,1.4,0.9,0.6
Kendrick Bourne,SF,WR,5.2,2.6,9.3,13.93,3,5,60,27,0,0.8,1.9,-1
Shane Zylstra,DET,TE,3.5,3.2,7.8,12.13,3,5,60,20,0,0.7,0.8,0
Wan'Dale Robinson,NYG,WR,9.6,2.8,12.9,86.53,3,6,50,19,0,0.4,1.2,-0.8
Christian Watson,GB,WR,7.2,1.5,11.7,37.54,2,6,33.33,17,0,0.1,0.6,-0.6
John Metchie III,NYJ,WR,6.3,1.4,8.1,25.82,1,5,20,4,0,-0.8,0.2,-1
