PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Nico Collins,HOU,WR,6,3.9,13.2,45.22,9,9,100,195,1,8.5,4.8,3.7
Justin Jefferson,MIN,WR,6.6,4,13.3,47.53,12,14,85.71,192,1,3.8,4.2,-0.4
Amon-Ra St. Brown,DET,WR,8,4.1,13.5,50.88,7,10,70,144,1,11.6,4.7,6.9
Calvin Ridley,JAX,WR,6.4,3.1,16.2,54.49,6,10,60,106,1,4.3,4.2,0.1
Khalil Shakir,BUF,WR,5.9,3.5,7.5,12.31,6,6,100,105,0,10,3.3,6.7
CeeDee Lamb,DAL,WR,6.1,3.1,5.1,26.84,13,13,100,98,2,3.1,3.5,-0.5
Michael Wilson,ARI,WR,4,2.9,10.8,46.25,6,6,100,95,0,5.1,3.5,1.5
Quez Watkins,PHI,WR,7.1,2.5,9.7,32.66,8,11,72.73,93,1,2.7,3.2,-0.5
Diontae Johnson,PIT,WR,6.3,3.7,10.7,91.06,4,5,80,89,1,16.8,7.3,9.4
Brandon Johnson,DEN,WR,6.9,3.8,13.2,25.84,4,5,80,88,0,8,5,2.9
Stefon Diggs,BUF,WR,7.6,3.4,12.7,27.78,7,8,87.5,87,0,3.8,3.3,0.5
Wan'Dale Robinson,NYG,WR,6.2,3.9,10.5,22.03,5,6,83.33,85,0,9.8,7.1,2.7
Dalton Kincaid,BUF,TE,5.3,3.1,7.4,16.14,7,8,87.5,84,0,4.1,3.3,0.8
Donald Parham,LAC,TE,6.6,3.3,7.3,15.27,5,6,83.33,83,0,8.4,6,2.4
Tyreek Hill,MIA,WR,4.9,3,13.7,62.05,7,13,53.85,82,1,2.2,2.2,-0.1
Jerry Jeudy,DEN,WR,7.1,4.5,18,42.4,3,6,50,79,1,14.6,6.8,7.8
Tre Tucker,LV,WR,6.6,2.9,14.9,34.12,5,5,100,79,0,0.9,2.3,-1.4
Evan Engram,JAX,TE,5.2,3,5,21.86,10,13,76.92,79,1,2.9,2.6,0.4
Mecole Hardman,KC,WR,7.5,3.7,6.6,49.83,6,11,54.55,77,0,8.4,4.1,4.3
Chris Conley,SF,WR,6.6,3,13,30.92,3,6,50,69,0,9.4,7.2,2.3
Jake Ferguson,DAL,TE,6,4.4,4.2,10.21,6,6,100,69,0,7.3,5.2,2.1
D.J. Moore,CHI,WR,5.3,2.6,5.4,23.93,4,6,66.67,64,0,8.9,9,-0.1
Bo Melton,GB,WR,7,2.6,9.4,28.6,5,7,71.43,62,0,2.9,2.5,0.5
Darius Slayton,NYG,WR,6.9,4.5,9.6,23.64,5,7,71.43,62,1,5.8,5.3,0.5
Jakobi Meyers,LV,WR,8.4,3.2,15,34.39,3,5,60,61,1,3.9,2.5,1.4
Dontayvion Wicks,GB,WR,8.2,3.2,6.3,19.15,6,7,85.71,61,2,4.7,2.8,1.8
Johnny Mundt,MIN,TE,8.6,5.5,6.8,10.43,5,6,83.33,58,0,3.4,3.1,0.3
Jordan Addison,MIN,WR,5.9,3.4,18.1,36.93,4,8,50,57,1,1.4,1.7,-0.3
Terry McLaurin,WAS,WR,6.3,4.3,7.4,39.22,6,8,75,56,0,9.4,4.9,4.6
Chris Godwin,TB,WR,7.5,3.1,4.8,14.43,6,7,85.71,51,0,3.9,3.6,0.4
Zay Jones,JAX,WR,8.5,3.2,7.2,21.68,6,9,66.67,47,0,2,1.6,0.4
DeAndre Hopkins,TEN,WR,8.6,3,7.1,48.57,7,10,70,46,1,3.3,2.8,0.5
Davante Adams,LV,WR,7,2.7,6.3,23.16,5,8,62.5,46,1,4.9,4,0.9
Darren Waller,NYG,TE,4.9,2.8,6.4,13.55,5,6,83.33,45,0,2,3.6,-1.6
Josh Palmer,LAC,WR,7.5,3.1,9.1,31.56,6,10,60,44,0,4,4.1,-0.1
Michael Pittman,IND,WR,7.4,4.3,9.1,22.79,5,6,83.33,44,0,3.1,2.3,0.8
Josh Reynolds,DET,WR,6.8,3.7,5.6,14.64,5,7,71.43,44,0,8.2,6.3,1.8
Cedric Tillman,CLE,WR,4.4,2.7,13.5,32.78,3,6,50,43,0,3.8,3.5,0.2
Dalton Schultz,HOU,TE,6.9,3.6,7.9,21.18,5,7,71.43,42,0,5.3,4.2,1.2
Puka Nacua,LAR,WR,4.9,2.6,7.5,30.37,4,6,66.67,41,1,2,5.2,-3.2
Drake London,ATL,WR,4.8,2.6,11.3,50.86,4,9,44.44,41,0,3.8,4.3,-0.5
Nelson Agholor,BAL,WR,8,4.1,5.3,17.66,5,5,100,39,0,2.5,4.2,-1.7
Austin Hooper,LV,TE,6.4,3.9,3.8,8.81,4,5,80,39,0,6.4,4,2.4
Brandin Cooks,DAL,WR,4.8,2,11.2,36.14,6,8,75,39,1,0.1,1.6,-1.4
Andrei Iosivas,CIN,WR,5.4,2.6,7.5,47.09,5,7,71.43,36,2,2.1,1.8,0.3
Britain Covey,PHI,WR,5,3.6,9.8,14.93,3,5,60,35,0,5.2,4,1.2
Garrett Wilson,NYJ,WR,4.9,2.7,11.5,38.39,2,5,40,34,0,9.1,4.7,4.4
Trey McBride,ARI,TE,4.8,2.3,8.5,36.56,3,6,50,34,1,10.1,7.2,2.8
Jalen Reagor,NE,WR,5.8,1.4,23.8,42.32,1,5,20,33,0,3.2,--,--
Rondale Moore,ARI,WR,8.8,4.9,1.8,6.31,4,5,80,31,0,6.5,6.1,0.4
Sam LaPorta,DET,TE,5.2,3.8,3,7.8,5,7,71.43,29,1,3,2.9,0.1
Alex Erickson,LAC,WR,4.3,1.5,4.4,7.7,2,5,40,29,0,8.7,6.4,2.4
Jordan Akins,CLE,TE,5.5,3.8,4.3,10.43,3,6,50,24,0,3.3,3.7,-0.4
Mike Evans,TB,WR,7.6,1.5,14.7,50.54,3,8,37.5,22,0,2.5,2.9,-0.4
Ja'Marr Chase,CIN,WR,8.9,4.3,1.5,7.99,4,6,66.67,19,0,3.4,5.3,-1.9
Sterling Shepard,NYG,WR,7.1,4.4,2.8,4.96,3,5,60,18,0,6.7,6.5,0.2
Quentin Johnston,LAC,WR,4.9,3,11.9,20.67,2,5,40,17,0,8.7,7.1,1.7
Jaxon Smith-Njigba,SEA,WR,8.4,4.5,3.7,9.75,3,5,60,14,0,3.4,3.3,0.1
Demario Douglas,NE,WR,6.7,1.4,6.5,13.92,2,6,33.33,13,0,5.6,6.8,-1.2
DK Metcalf,SEA,WR,6.8,3.5,11.1,34.7,1,6,16.67,10,0,2.9,1.5,1.3
Trey Palmer,TB,WR,6.5,3,12.5,32.26,2,6,33.33,10,0,1.8,3.5,-1.6
Keelan Doss,LAC,WR,4.5,1.4,10.2,17.75,1,5,20,8,0,2.1,4.9,-2.8
Ronnie Bell,SF,WR,8.1,1.5,14.7,29.1,1,5,20,5,1,--,--,--
Xavier Gipson,NYJ,WR,5.6,2.4,12.4,41.16,1,5,20,4,0,4.9,4.9,0
