PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
George Pickens,DAL,WR,4,2.7,8.3,28.61,5,9,55.56,68,1,4.9,3.6,1.3
Alec Pierce,IND,WR,5.4,2.6,19.5,54.52,4,5,80,67,0,2,2,0
Chig Okonkwo,TEN,TE,5.8,4.6,6.1,17.49,5,6,83.33,66,0,9,6.8,2.2
Dalton Kincaid,BUF,TE,2.8,4.1,7.1,49.75,5,6,83.33,66,1,9.1,6.8,2.3
Keenan Allen,LAC,WR,8.5,1.4,10.4,30.04,7,11,63.64,65,1,1,1.2,-0.2
Rashod Bateman,BAL,WR,3.9,2.3,13.5,32.71,5,7,71.43,63,1,0.4,1,-0.6
Rome Odunze,CHI,WR,7,4.1,11.2,32.77,3,7,42.86,62,1,8.7,6.1,2.6
Brenton Strange,JAX,TE,7.5,4.1,5.2,12.46,6,7,85.71,61,0,4.9,3.7,1.2
DeVonta Smith,PHI,WR,6.5,2.5,8,28.61,8,9,88.89,60,1,0.2,1.4,-1.1
Chris Olave,NO,WR,7.9,3.7,7.6,30.11,10,14,71.43,57,0,2.6,4.1,-1.5
Davante Adams,LAR,WR,7.2,1.3,16.4,49.45,3,8,37.5,56,1,0,0.3,-0.3
Brian Thomas Jr.,JAX,WR,7.8,2.1,10,20.69,2,6,33.33,55,0,16.5,17,-0.5
Drake London,ATL,WR,6.6,3.2,10.4,28.52,5,8,62.5,55,0,3.2,2.6,0.6
Juwan Johnson,NO,TE,4.7,5.3,4,9.09,6,8,75,51,0,4.7,5,-0.2
Ja'Marr Chase,CIN,WR,6.6,3,4.5,22.6,5,6,83.33,50,0,5.2,5.6,-0.4
T.J. Hockenson,MIN,TE,6.5,3.1,7.5,24.61,5,6,83.33,49,1,3.9,2.2,1.6
Tyreek Hill,MIA,WR,3.9,3.6,14.3,78.63,5,10,50,49,1,3.4,2.8,0.6
Tetairoa McMillan,CAR,WR,3.7,1.8,11,63.59,3,8,37.5,48,0,5.2,6.2,-1
Oronde Gadsden II,LAC,TE,5,1.9,9,16.66,5,7,71.43,46,0,1.6,1.5,0.1
Darnell Mooney,ATL,WR,6.4,3.2,11.7,43.83,4,11,36.36,44,0,2.6,3.5,-0.9
Marvin Harrison Jr.,AZ,WR,5,4.2,12.2,40.86,3,6,50,44,0,2.7,2.6,0.1
Trey McBride,AZ,TE,5.3,2.3,5.2,23.13,5,8,62.5,43,1,5.5,7.2,-1.7
Rashid Shaheed,NO,WR,7.1,3.5,12.3,21.02,4,6,66.67,42,0,1.7,2.7,-1
Marquise Brown,KC,WR,5.5,2.3,13.2,26.27,4,6,66.67,42,0,3.9,5.4,-1.5
Ladd McConkey,LAC,WR,4.2,1.6,7,12.89,4,7,57.14,41,0,5,2.8,2.2
David Njoku,CLE,TE,5.6,2.3,3.2,9.56,5,7,71.43,40,0,5.6,4.3,1.3
Dalton Schultz,HOU,TE,8.1,3.1,7.2,15.78,5,6,83.33,39,0,2.5,1.9,0.6
Jaylen Waddle,MIA,WR,5.6,2.7,3.8,12.5,5,6,83.33,39,1,4.2,4.4,-0.2
Kyle Pitts,ATL,TE,3.1,5.8,4.6,9.34,4,6,66.67,39,0,6.4,5.3,1.1
Tyler Warren,IND,TE,7.7,4,1.6,4.54,3,5,60,38,0,13.4,9,4.4
Brock Bowers,LV,TE,6.8,3.9,6,10.59,4,5,80,38,0,5.6,2.8,2.7
Kendrick Bourne,SF,WR,5.9,1.9,7.3,15.71,4,6,66.67,38,0,4.2,3.1,1.1
Elic Ayomanor,TEN,WR,4.8,1.7,7.8,18.63,4,5,80,38,1,1.9,1.6,0.3
Jalen Nailor,MIN,WR,5.2,3,12,32.69,3,5,60,37,0,4.3,3.6,0.7
Parker Washington,JAX,WR,8.9,2.6,11.5,43.53,4,11,36.36,34,0,3.5,1.9,1.7
Calvin Austin III,PIT,WR,4.6,1.6,13.6,66.91,3,5,60,34,1,1.5,1.6,-0.1
Mike Evans,TB,WR,5.4,1.4,10.3,35.6,4,9,44.44,33,1,1.7,2,-0.2
Calvin Ridley,TEN,WR,4.3,2.2,15.2,50.87,1,7,14.29,27,0,9.3,3.1,6.2
Travis Kelce,KC,TE,3.9,3.2,4.3,9.96,4,7,57.14,26,0,5.3,4.2,1.2
Noah Fant,CIN,TE,2.9,5.5,1.8,7.36,5,5,100,26,0,3.9,4.5,-0.6
Christian Kirk,HOU,WR,6.1,3.1,12.7,37.06,3,8,37.5,25,0,6.9,6.5,0.4
Brandin Cooks,NO,WR,5.8,3.3,15.1,21.4,3,5,60,24,0,0.4,0.7,-0.3
Jalen Tolbert,DAL,WR,5.1,2.1,7.9,18.33,3,6,50,24,0,2.7,1.9,0.8
DJ Moore,CHI,WR,6.7,4.9,7.9,16.58,4,5,80,21,1,2,3.2,-1.1
Ray-Ray McCloud,ATL,WR,9.4,5.9,7.3,12.5,2,5,40,20,0,10.7,7.8,2.9
Mason Taylor,NYJ,TE,5.1,3.4,3.6,11.65,4,6,66.67,18,0,2.8,4.3,-1.4
Noah Gray,KC,TE,6.9,1.9,3.6,7.19,3,6,50,17,0,4.3,2.9,1.3
Jerry Jeudy,CLE,WR,4.8,1.1,16.8,36.25,1,5,20,17,0,0.1,0.5,-0.4
Malik Nabers,NYG,WR,6.1,2.1,26.2,61.29,2,7,28.57,13,0,2.4,3.4,-1
Malik Washington,MIA,WR,5.7,6.1,4.1,11.25,3,5,60,12,0,5.6,8.3,-2.6
DeMario Douglas,NE,WR,6.9,6.9,4.6,10.37,2,5,40,7,0,0,1.8,-1.8
