PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Tre Tucker,LV,WR,8.2,4.2,13.4,42.73,8,9,88.89,145,3,5,5.7,-0.7
Courtland Sutton,DEN,WR,7,3.4,17.8,60.86,6,8,75,118,1,5.7,4.5,1.2
Ricky Pearsall,SF,WR,5.1,1.8,14.7,57.58,8,11,72.73,117,0,1.2,1.6,-0.4
Puka Nacua,LAR,WR,6.8,2.5,7.8,44.02,11,15,73.33,112,0,3.9,2.8,1.1
A.J. Brown,PHI,WR,7.3,1.4,12,47.82,6,10,60,109,1,5.6,1.1,4.5
Nico Collins,HOU,WR,9.1,3.9,11.7,46.95,8,11,72.73,104,1,4.8,3.8,1
Jaxon Smith-Njigba,SEA,WR,6.3,3.6,13.6,44.6,5,6,83.33,96,1,5.3,3.5,1.8
Mark Andrews,BAL,TE,4.4,3.6,10.3,21.48,6,6,100,91,2,4.8,4.9,-0.1
Hunter Henry,NE,TE,5.9,2.8,8.2,40.19,8,11,72.73,90,2,4.2,4,0.2
Quentin Johnston,LAC,WR,4.9,3,12.2,28.87,6,9,66.67,89,0,7.8,3.4,4.4
Emeka Egbuka,TB,WR,4.9,2.8,10.9,33.47,6,8,75,85,0,3.7,2.8,1
Garrett Wilson,NYJ,WR,5.1,2.2,6.6,46.41,10,13,76.92,84,1,3.2,3.3,-0.1
Jake Ferguson,DAL,TE,6.4,3.6,3.5,18.7,13,14,92.86,82,0,3.7,3.7,0
Sterling Shepard,TB,WR,5.3,3.9,9.3,17.87,4,5,80,80,0,12.5,5.4,7.1
Amon-Ra St. Brown,DET,WR,4.6,2.3,9.4,37.93,7,8,87.5,77,1,2.7,3.1,-0.4
Justin Jefferson,MIN,WR,5,3.4,6.9,26.32,5,7,71.43,75,0,9,4.5,4.4
Michael Pittman,IND,WR,5.6,4.3,4.5,14.99,6,6,100,73,1,7.7,4.6,3.1
Tyquan Thornton,KC,WR,6.1,2.9,18,53.71,5,9,55.56,71,1,3.4,3.4,0.1
