PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,#ERROR!
Chig Okonkwo,TEN,TE,5.7,4.3,6.9,18.29,5,7,71.43,42,0,3.6,3.8,-0.2
Josh Palmer,LAC,WR,6.1,2.8,15.3,22.9,4,6,66.67,41,0,3.3,4,-0.7
Malik Washington,MIA,WR,4.7,3.1,6.3,24.04,4,5,80,41,0,4.5,2.3,2.2
Nick Westbrook-Ikhine,TEN,WR,5.1,1,12.2,27.8,3,6,50,37,0,0.3,0.8,-0.5
Darnell Mooney,ATL,WR,3.8,5,16.6,18.89,2,5,40,37,0,3.4,6.3,-3
A.J. Brown,PHI,WR,6.4,1.1,13.7,34.92,3,5,60,36,1,-0.1,0.3,-0.4
Jaxon Smith-Njigba,SEA,WR,5.5,3.5,6.6,53.73,3,6,50,32,0,5.9,3.2,2.7
Zay Flowers,BAL,WR,8,1.9,14.8,38.09,2,5,40,31,0,5.3,2.2,3.1
Calvin Austin III,PIT,WR,4.5,4.4,8.8,17.61,4,5,80,31,0,2.1,2.2,-0.1
Kayshon Boutte,NE,WR,7.6,1.4,11.4,29.01,4,5,80,28,0,1,0.8,0.2
Xavier Legette,CAR,WR,6.7,1.7,15.1,44.64,5,9,55.56,28,0,0.7,1.1,-0.4
Keon Coleman,BUF,WR,4.1,2.2,11,35.71,3,7,42.86,27,1,1.6,1.8,-0.2
Khalil Shakir,BUF,WR,8.4,4.9,3.9,10.73,3,6,50,25,0,6.8,7.2,-0.5
Jamison Crowder,WAS,WR,6.7,2.3,8,16.66,3,5,60,25,0,1.8,2.2,-0.4
Keenan Allen,CHI,WR,4.1,3.4,5,24.28,5,8,62.5,25,0,3.7,3.9,-0.2
Tre Tucker,LV,WR,5,2.1,19,42.72,2,8,25,24,1,2,1.5,0.4
Michael Wilson,ARI,WR,5.5,3.4,9.5,19.32,4,6,66.67,22,0,2.3,2.5,-0.2
Dalton Schultz,HOU,TE,5.6,3,6.2,12.67,2,6,33.33,21,0,4.2,2.6,1.6
Jake Ferguson,DAL,TE,5.5,2.6,5.3,10.32,3,5,60,18,0,2.9,2.8,0.1
Terry McLaurin,WAS,WR,7.1,2.2,12.8,37.05,1,7,14.29,5,0,-0.7,1.3,-2
Elijah Moore,CLE,WR,5,2.8,7.5,18.3,1,5,20,1,0,0.3,0.2,0
