PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Michael Wilson,AZ,WR,7.2,3.4,12.5,61.91,15,18,83.33,185,0,2.8,3.2,-0.3
George Pickens,DAL,WR,3.7,2.8,12,61.11,9,11,81.82,144,1,8.7,3,5.7
Tetairoa McMillan,CAR,WR,6.5,3.2,12,47.27,8,12,66.67,130,2,6.1,5.3,0.9
Drake London,ATL,WR,5.6,3.1,9.7,37.1,7,9,77.78,119,0,7.9,7.5,0.4
Trey McBride,AZ,TE,6.2,3.1,6.5,19.55,10,11,90.91,115,1,4.8,2.2,2.5
Jaxon Smith-Njigba,SEA,WR,6.8,2.8,10.2,33.71,9,12,75,105,0,3.1,3,0.1
Stefon Diggs,NE,WR,4.5,3.8,9.1,27.79,9,11,81.82,105,0,3.7,4.7,-1
Nico Collins,HOU,WR,4.2,2.1,11,32.11,9,10,90,92,1,0.9,1.7,-0.8
Travis Kelce,KC,TE,4.8,3,4.5,19.68,9,13,69.23,91,1,7.4,6.8,0.6
Tyrell Shavers,BUF,WR,6.6,6,18,28.08,4,5,80,90,1,4.4,6,-1.6
Jameson Williams,DET,WR,4.3,2.6,11.5,32.04,4,7,57.14,88,1,9.8,7.9,1.9
Troy Franklin,DEN,WR,3.7,1.8,23,58,4,8,50,84,0,6.1,3.9,2.1
Xavier Legette,CAR,WR,5.8,2.1,12.6,33.02,4,8,50,83,1,6.5,5.5,1
Pat Bryant,DEN,WR,6.8,2.4,9.2,17.32,5,6,83.33,82,0,7,5.5,1.5
Zay Flowers,BAL,WR,6.7,4.7,11.7,29.53,3,5,60,78,0,9.3,6.7,2.6
Puka Nacua,LAR,WR,4.8,2.5,7.1,38.86,7,8,87.5,75,0,3.8,2.7,1.1
Deebo Samuel Sr.,WAS,WR,6.3,3.3,2.8,10.58,7,8,87.5,74,1,8,6.3,1.7
Brock Bowers,LV,TE,6.8,3.1,8.9,51.9,7,12,58.33,72,0,1.8,2.2,-0.4
AJ Barner,SEA,TE,5.1,4.6,3,9.1,10,11,90.91,70,0,3.9,4.1,-0.2
Darnell Washington,PIT,TE,5.9,6.1,2.5,10.36,4,5,80,67,0,14.6,6.9,7.7
George Kittle,SF,TE,4.5,4.3,7.9,23.76,6,6,100,67,2,4.6,4.8,-0.3
Greg Dortch,AZ,WR,6.6,5.9,5.3,8.78,6,6,100,66,1,6.6,2.9,3.7
CeeDee Lamb,DAL,WR,6,3.9,9,29.15,5,7,71.43,66,1,3.2,2.4,0.7
Jakobi Meyers,JAX,WR,8,4,9.6,28.98,5,6,83.33,64,0,4.8,3.7,1
Mack Hollins,NE,WR,6,5.6,18.9,26.31,4,5,80,64,0,3.7,4.1,-0.5
Tee Higgins,CIN,WR,6.4,2.2,15.5,44.47,3,8,37.5,63,1,4.7,3.1,1.6
Justin Jefferson,MIN,WR,4.8,3.5,8.5,25.62,5,9,55.56,61,0,6.3,4.5,1.8
Courtland Sutton,DEN,WR,4,2.5,9.8,24.59,4,8,50,59,0,2.4,3.5,-1.1
Isaiah Hodgins,NYG,WR,7.1,2.8,9.4,26.39,5,6,83.33,57,0,2,2.2,-0.2
