PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Diontae Johnson,PIT,WR,7.1,2.8,13.7,46.61,8,14,57.14,85,0,1,1.8,-0.9
Jayden Reed,GB,WR,6.2,4.4,15,24.21,4,6,66.67,83,0,6.4,3.9,2.5
Calvin Ridley,JAX,WR,4.3,1.7,13,59.81,6,10,60,83,0,2.5,3.6,-1
Jordan Addison,MIN,WR,6.7,2.6,7.9,27.23,7,8,87.5,82,1,4.5,2,2.4
Tyler Lockett,SEA,WR,6.5,4.1,10.4,32.18,8,9,88.89,81,1,2.5,4,-1.5
Cole Kmet,CHI,TE,9.3,4,5.1,18.84,10,10,100,79,0,2.8,2.6,0.2
David Njoku,CLE,TE,4.1,2.5,7.4,24.56,4,8,50,77,1,19,10.1,8.9
Josh Downs,IND,WR,8.1,3,7.4,20,7,9,77.78,72,0,3.9,4,-0.1
Adam Thielen,CAR,WR,6.7,2.7,4.8,25.21,8,11,72.73,72,0,4.2,8.6,-4.4
Stefon Diggs,BUF,WR,5.5,2.8,5.6,30.41,9,12,75,70,0,3.1,2.9,0.3
Tee Higgins,CIN,WR,7.4,2.4,10.7,33.11,5,6,83.33,69,0,3.5,2.4,1.2
Keenan Allen,LAC,WR,5.9,2.3,11.1,59.04,8,10,80,69,0,1.4,1.7,-0.3
Michael Thomas,NO,WR,2.8,2.4,8.1,15.79,4,7,57.14,68,0,6.6,2.4,4.2
DK Metcalf,SEA,WR,5.3,2.4,11.9,57.11,5,14,35.71,67,0,3.3,3.2,0.1
Dalton Kincaid,BUF,TE,5.2,2.4,4.8,15.01,5,7,71.43,65,1,5.9,4.9,1
Terry McLaurin,WAS,WR,6.4,3.2,12.1,36.87,5,12,41.67,63,1,1.5,2,-0.5
Jonathan Mingo,CAR,WR,5.4,2.4,9.2,22.07,4,5,80,62,0,6.7,10.1,-3.4
Travis Kelce,KC,TE,7.6,2.5,5.9,19.6,6,9,66.67,58,0,7,7.2,-0.3
Michael Wilson,ARI,WR,5.3,2.9,12,26.16,4,6,66.67,58,0,3.4,1.3,2.1
Sam LaPorta,DET,TE,6.5,5.1,4.8,31.19,8,10,80,57,1,3.9,5,-1.1
Noah Brown,HOU,WR,6.1,3.5,11.7,28.11,3,5,60,57,0,6.3,1.3,5
Rashee Rice,KC,WR,5.6,6,3.2,5.91,4,5,80,56,0,13.6,8.3,5.3
D.J. Moore,CHI,WR,9.7,4.1,8.1,17.96,4,6,66.67,55,0,9.1,7.3,1.8
Drake London,ATL,WR,6.7,1.4,9.7,21.2,5,7,71.43,55,0,2.6,3.1,-0.5
Chris Godwin,TB,WR,6.1,3.4,7.6,21.05,5,7,71.43,54,1,3.9,3.8,0.1
Jerry Jeudy,DEN,WR,6.8,2.4,21.4,101.03,2,6,33.33,50,1,1.5,1.2,0.3
Quentin Johnston,LAC,WR,4.4,3.3,8.6,27.48,5,6,83.33,50,0,3.7,3.3,0.4
Christian Kirk,JAX,WR,8.8,2.8,9.3,21.43,4,5,80,46,0,1.4,1.1,0.3
Chris Olave,NO,WR,6.7,3.4,16.7,41.61,5,9,55.56,46,0,1.9,3.3,-1.3
Tyler Higbee,LAR,TE,6.6,4.2,8,25.49,5,7,71.43,45,0,5.1,4.2,0.9
Allen Lazard,NYJ,WR,6.5,1.6,10.5,22.47,3,6,50,45,0,3.5,3.4,0.1
Logan Thomas,WAS,TE,3.9,2.4,6.2,12.55,6,8,75,44,1,4.7,4,0.7
Donald Parham,LAC,TE,7.2,3.6,3.1,8.19,4,5,80,43,1,8.5,7.2,1.3
Puka Nacua,LAR,WR,5,2.7,10.8,34.44,3,7,42.86,43,0,10,8.7,1.2
Alec Pierce,IND,WR,6.2,3.4,6.7,10,3,5,60,41,0,5.6,2.7,2.9
Michael Pittman,IND,WR,6.9,3.1,8.4,32.84,8,13,61.54,40,1,2.7,2.6,0
Mark Andrews,BAL,TE,4.9,2.8,6.5,18.62,4,5,80,40,1,4.9,3.9,1
Mike Evans,TB,WR,4.6,2.6,16.8,39.58,3,6,50,39,1,0.4,1.6,-1.1
Dallas Goedert,PHI,TE,6.2,2.9,3.5,8.96,4,7,57.14,36,0,5.7,5.3,0.4
Kyle Pitts,ATL,TE,6,2.1,11.9,18.47,3,5,60,35,0,3.6,2.7,0.9
Christian Watson,GB,WR,6,1.9,17.3,37.28,3,8,37.5,33,0,2.6,2.2,0.4
Marquise Brown,ARI,WR,5.8,3.3,5.4,17.59,6,9,66.67,33,1,3.1,2.9,0.2
Nico Collins,HOU,WR,8.5,2.8,15.4,44.5,4,6,66.67,30,0,3.6,3.1,0.5
Elijah Moore,CLE,WR,8.1,4.2,12.6,26.01,2,5,40,30,0,5.4,4.2,1.2
Cade Otton,TB,TE,7,5,4,9.5,4,6,66.67,27,0,3,3.7,-0.7
Demario Douglas,NE,WR,6.7,3.4,7.4,27.91,5,7,71.43,25,0,4.6,5.4,-0.7
Van Jefferson,ATL,WR,5.7,2.4,12.8,19.97,3,5,60,24,0,1.3,0.7,0.6
Connor Heyward,PIT,TE,3.3,2.6,3.9,5.67,5,6,83.33,24,0,2.1,2.7,-0.6
Chigoziem Okonkwo,TEN,TE,4.1,3.4,6.8,10.96,4,5,80,23,0,2.2,4.7,-2.4
Trey Palmer,TB,WR,7,2.7,5.4,12.73,3,6,50,22,0,1.9,1.4,0.5
George Pickens,PIT,WR,5.1,2,20.4,24.79,1,5,20,22,1,15.5,6.8,8.6
Cooper Kupp,LAR,WR,5.9,2.7,5.6,25.62,4,10,40,21,0,1.5,3.1,-1.6
Zay Flowers,BAL,WR,8.5,3.4,5.3,21.53,5,7,71.43,19,0,3.1,3.6,-0.5
Romeo Doubs,GB,WR,7.7,3.7,11.2,27.1,4,9,44.44,18,1,3.4,4.1,-0.7
Davante Adams,LV,WR,5.3,3.9,15.9,56.21,1,7,14.29,11,0,1.7,4,-2.3
Dalton Schultz,HOU,TE,5.7,2.9,5.9,14.27,2,5,40,5,0,1.5,3.3,-1.7
