PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
CeeDee Lamb,DAL,WR,4.2,2.3,9.9,48.48,12,14,85.71,158,2,5.7,3.9,1.8
George Kittle,SF,TE,5,3.7,9.3,37.57,9,11,81.82,149,0,6.8,4.8,2.1
A.J. Brown,PHI,WR,5.3,2,12.9,38.29,8,8,100,130,2,3.5,2.4,1.1
DeAndre Hopkins,TEN,WR,4.9,2.3,22.7,44.17,4,6,66.67,128,3,8.7,7.8,0.8
Jaylen Waddle,MIA,WR,7,3.7,11,42.62,7,12,58.33,121,1,6.7,7.1,-0.4
Tyreek Hill,MIA,WR,5.2,3,10.3,42.95,8,13,61.54,112,1,3.9,3.5,0.4
Brandon Aiyuk,SF,WR,6.4,3.7,16.4,54.16,5,9,55.56,109,0,4,2.8,1.2
Amon-Ra St. Brown,DET,WR,7.1,3.5,8,46.64,6,9,66.67,108,0,9.1,8.9,0.2
Jahan Dotson,WAS,WR,6.7,2.8,9.6,24.31,8,10,80,108,1,3.3,4.2,-0.9
Ja'Marr Chase,CIN,WR,6,4.1,6.4,39.9,10,12,83.33,100,1,3.7,3.2,0.5
Garrett Wilson,NYJ,WR,2.9,1.6,12.8,59.68,7,13,53.85,100,0,2.9,2.6,0.3
DeVonta Smith,PHI,WR,5.7,3.5,9.1,23.61,7,7,100,99,1,5,4.6,0.4
K.J. Osborn,MIN,WR,4.6,4.5,5.9,25.68,8,10,80,99,0,6.1,5.7,0.4
Jamison Crowder,WAS,WR,8.9,5.3,7.5,13.36,7,7,100,95,1,6.1,5.8,0.4
Trey McBride,ARI,TE,4.3,2.7,7.9,40.52,10,14,71.43,95,1,2.7,2.5,0.2
Khalil Shakir,BUF,WR,5.1,4,8.5,23.05,6,6,100,92,0,6.8,4.2,2.6
Amari Cooper,CLE,WR,3.6,2.3,9.9,45.05,6,11,54.55,89,0,2.6,1.2,1.4
Evan Engram,JAX,TE,6.1,3,3.6,16.41,10,10,100,88,0,6.1,3.9,2.2
T.J. Hockenson,MIN,TE,3.7,2.4,10,39.02,6,9,66.67,88,1,3.8,2.8,1
Gabe Davis,BUF,WR,6.5,4.4,6.5,35.22,9,12,75,87,1,5.3,4.4,0.9
