PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Drake London,ATL,WR,8.7,1.9,14.4,61.25,10,18,55.56,187,2,4,2.4,1.7
Quentin Johnston,LAC,WR,6.4,4.6,9.5,47.03,13,14,92.86,186,0,4.3,4.2,0.1
Jakobi Meyers,LV,WR,7.4,2,13.1,43.06,9,10,90,123,1,1.5,1.6,0
Kayshon Boutte,NE,WR,5.6,2.5,12.6,30.75,7,7,100,117,1,4.1,3.6,0.5
Brian Thomas Jr.,JAX,WR,7.2,2.3,14.4,62.17,7,11,63.64,103,0,3.9,3.1,0.8
Jalen Tolbert,DAL,WR,5.8,5.5,8.5,18.91,4,6,66.67,98,0,14.7,12.8,1.9
Courtland Sutton,DEN,WR,3.3,1.4,17,78.28,5,7,71.43,98,1,3,1.8,1.2
Ja'Marr Chase,CIN,WR,4.7,2,6.7,47.91,10,14,71.43,96,1,2.7,2.6,0.1
Ladd McConkey,LAC,WR,6.1,3.5,9.1,25.67,5,8,62.5,95,0,8.9,4.4,4.6
Jahan Dotson,PHI,WR,7.9,3,10.4,42.9,7,11,63.64,94,0,3,3.9,-0.9
Josh Downs,IND,WR,5.6,2.9,5,17.77,10,13,76.92,94,0,5.7,6.7,-1
Mike Evans,TB,WR,5.6,2.4,10.1,55.09,9,14,64.29,89,0,1.7,1.9,-0.3
Davante Adams,NYJ,WR,4.3,3.5,11,59.24,6,12,50,88,1,5.1,3.1,1.9
DJ Moore,CHI,WR,5.3,3.3,1.5,23.73,9,10,90,86,1,7.6,3.7,3.9
Pat Freiermuth,PIT,TE,10.5,3.9,6.1,34.31,8,11,72.73,85,1,4.7,4.1,0.6
Juwan Johnson,NO,TE,6.6,3.4,7.9,17.19,6,7,85.71,80,0,6.6,6.1,0.5
Amon-Ra St. Brown,DET,WR,4.5,3.8,8.1,36.09,6,7,85.71,77,0,3.1,2.5,0.6
Calvin Ridley,TEN,WR,7.7,2.7,18.9,34.92,3,5,60,76,0,10.2,7.1,3.1
Rashod Bateman,BAL,WR,6.6,4.6,13.5,38.45,5,8,62.5,76,1,6.7,5.2,1.5
Jalen McMillan,TB,WR,6.2,2.5,12.1,28.32,5,6,83.33,74,1,1.6,2.9,-1.3
Demarcus Robinson,LAR,WR,4.5,1.8,13.3,40.91,3,6,50,72,0,6.7,4,2.7
Michael Pittman,IND,WR,3.8,2.7,13,35.3,6,10,60,72,0,1.7,1.7,0
Ricky Pearsall,SF,WR,5.6,1.8,8.5,22.83,6,8,75,69,1,2.5,3.5,-1
Mike Gesicki,CIN,TE,4.7,3.4,5.5,28.22,8,10,80,68,0,3.2,3.7,-0.5
Ray-Ray McCloud,ATL,WR,9.1,2.7,14.1,23.35,4,7,57.14,66,0,1,2.3,-1.3
Trey McBride,AZ,TE,4.9,2.5,7.5,36.77,7,11,63.64,65,1,4.9,5.6,-0.6
Malik Nabers,NYG,WR,6,4,6.3,51.8,5,8,62.5,64,1,6.9,6.2,0.7
Marvin Harrison Jr.,AZ,WR,6.6,2.9,12.5,33.28,5,6,83.33,63,1,1.6,1.9,-0.2
Sam LaPorta,DET,TE,6,4.4,5.1,23.07,7,7,100,63,0,3.9,3.3,0.6
Jerry Jeudy,CLE,WR,5.2,2.7,8.1,44.12,6,13,46.15,63,0,9.3,6.1,3.2
Noah Fant,SEA,TE,3.7,4.3,5.7,15.55,5,6,83.33,63,1,6.9,5.5,1.4
Terry McLaurin,WAS,WR,7.4,1.6,10,39.4,8,12,66.67,62,1,1.6,1.7,-0.1
Jalen Coker,CAR,WR,6.3,3.9,5.4,12.85,7,7,100,62,0,3.5,4.1,-0.6
Jordan Akins,CLE,TE,4.5,3.7,7.6,25.61,6,8,75,60,1,4.5,5,-0.5
Jonnu Smith,MIA,TE,5.6,3.1,4.6,21.18,9,12,75,56,1,3.8,4.5,-0.6
Dallas Goedert,PHI,TE,6.8,2.7,7.2,16.35,4,6,66.67,55,0,6.4,6.9,-0.5
Mark Andrews,BAL,TE,5,1.4,15.5,44.12,4,8,50,54,1,0.8,1.3,-0.4
Justin Jefferson,MIN,WR,4.6,3.2,9.3,27.76,3,9,33.33,54,0,9.9,7.1,2.9
Malik Heath,GB,WR,8.9,2.7,9.1,23.19,3,5,60,53,0,5.8,3.7,2.1
KaVontae Turpin,DAL,WR,6.8,4.1,16.4,30.34,3,5,60,53,0,11.5,9.5,2
Tee Higgins,CIN,WR,5.8,1.9,10.9,27.79,4,5,80,53,0,0.7,1,-0.3
DK Metcalf,SEA,WR,3.8,1.3,20,45.64,3,5,60,53,1,3.3,1.9,1.4
Curtis Samuel,BUF,WR,6.8,5.2,-0.3,-0.88,7,8,87.5,52,0,9.1,7.5,1.7
Jauan Jennings,SF,WR,6.8,2.5,5.9,20.04,7,10,70,52,0,2.4,2.6,-0.1
Marvin Mims Jr.,DEN,WR,14.4,7.5,-4.2,-13.79,5,5,100,51,2,14.4,12.2,2.2
Garrett Wilson,NYJ,WR,7.8,5.2,2.9,6.45,4,5,80,51,0,10.4,5.8,4.7
Olamide Zaccheaus,WAS,WR,7.6,1.8,22.7,37.22,2,5,40,51,0,4.9,3.6,1.3
Brock Bowers,LV,TE,7,2.6,11.8,34.92,4,9,44.44,50,1,4.9,2.7,2.2
Nick Westbrook-Ikhine,TEN,WR,4.3,3.4,9.1,23.41,4,7,57.14,50,0,5.2,4.2,1
