PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Dontayvion Wicks,GB,WR,8.9,2.5,8.9,26.94,5,6,83.33,49,0,2.5,1.9,0.6
Nikko Remigio,KC,WR,7.7,2.7,10.2,56.03,2,6,33.33,48,0,8.2,6,2.2
Malik Washington,MIA,WR,5.4,4.4,5.6,10.61,4,5,80,48,0,5.7,5,0.7
Zay Jones,AZ,WR,8.4,3.3,11.5,25.61,4,5,80,46,0,1.5,1.6,-0.1
Tyler Higbee,LAR,TE,4.9,3.3,1.2,4.25,5,7,71.43,46,1,7.1,5.3,1.7
Adam Thielen,CAR,WR,7.6,3.2,7.9,16.31,5,6,83.33,44,0,3,4.3,-1.3
Zach Ertz,WAS,TE,6.7,2.1,6,9.85,5,5,100,44,1,2.8,2.2,0.6
Jaylen Waddle,MIA,WR,5.4,2.6,12.4,42.46,4,9,44.44,44,0,0.9,3.1,-2.2
Wan'Dale Robinson,NYG,WR,6.9,3.9,1,11.59,10,11,90.91,43,0,3.4,3.2,0.3
Will Dissly,LAC,TE,6.9,3.6,4.4,9.4,5,6,83.33,42,1,5.1,4.2,0.9
Isaiah Likely,BAL,TE,10.6,3.3,7.9,14.09,3,5,60,38,0,5.2,5.9,-0.7
Nico Collins,HOU,WR,4.6,3.1,5.6,15.15,5,5,100,38,1,3.3,3.8,-0.5
Tutu Atwell,LAR,WR,4.7,2.6,8.8,35.94,5,8,62.5,37,0,1.3,2.2,-0.9
Tucker Kraft,GB,TE,9.2,3.3,5,17.66,4,7,57.14,36,0,5.7,6.8,-1.1
Elijah Moore,CLE,WR,6,3.8,8.1,16.96,3,5,60,36,0,5.5,3.2,2.3
Ja'Tavion Sanders,CAR,TE,8.1,3.6,7.1,12.14,3,5,60,35,0,6.7,6.7,0
Ainias Smith,PHI,WR,6.8,2.6,6.2,14.11,4,6,66.67,35,1,3.9,3,0.9
Tyler Johnson,LAR,WR,6.3,2.3,5.7,20.65,4,7,57.14,35,1,7.4,2.7,4.7
AJ Barner,SEA,TE,7.3,3.3,1.3,2.92,5,5,100,34,1,5.7,3.4,2.3
Jameson Williams,DET,WR,5.9,4.6,8.3,42.6,6,8,75,34,0,4.3,6.4,-2.1
Marquez Valdes-Scantling,NO,WR,3.9,2,15.5,38.4,3,8,37.5,33,0,6.6,7.1,-0.5
Keon Coleman,BUF,WR,5.8,1.3,19.6,84.13,2,10,20,31,0,1.4,1.6,-0.2
Xavier Legette,CAR,WR,3.9,2.8,8.5,14.53,3,5,60,30,0,5,3,2
Josh Whyle,TEN,TE,5.9,4,3.5,9.15,5,7,71.43,29,0,2.2,2.3,-0.1
Austin Hooper,NE,TE,7,1.5,4.2,8.87,4,6,66.67,27,0,1.9,1.5,0.4
Johnny Wilson,PHI,WR,8.9,2.2,6.8,12.76,3,5,60,24,0,3.2,2.9,0.3
Cedrick Wilson Jr.,NO,WR,4.8,4.1,4.8,7.44,3,5,60,22,0,7.7,5.7,2.1
Eric Saubert,SF,TE,5.8,2,4.3,7.17,4,5,80,17,0,0.9,0.8,0
Dante Pettis,NO,WR,8.1,3.1,10.7,19.84,2,6,33.33,16,1,-0.8,0.5,-1.3
Brandin Cooks,DAL,WR,6.8,2.4,9.2,30.51,3,9,33.33,15,0,1.9,3.4,-1.5
Jaxon Smith-Njigba,SEA,WR,7.7,5.6,-1,-2.24,4,5,80,9,0,3.2,4.1,-0.8
T.J. Hockenson,MIN,TE,3.2,2.4,9.1,24.14,2,8,25,9,0,1,1.5,-0.5
George Pickens,PIT,WR,6.8,2.8,13.8,42.69,1,6,16.67,0,0,1.8,5,-3.1
Jordan Addison,MIN,WR,5.4,2.5,16.4,32.7,1,6,16.67,0,0,2.7,6.7,-4.1
