PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Jameson Williams,DET,WR,6.4,3.1,8.1,42.49,7,10,70,144,1,12.4,4.8,7.7
A.J. Brown,PHI,WR,4.9,2.4,11.9,50.99,10,12,83.33,132,2,2.6,3,-0.4
CeeDee Lamb,DAL,WR,4.3,3.5,12.1,43.04,7,9,77.78,112,1,5,5.8,-0.7
Ja'Marr Chase,CIN,WR,4.4,2.2,12.4,44.37,7,14,50,110,0,1.5,1.2,0.3
Zach Ertz,WAS,TE,6.1,3.4,8.5,21.7,10,13,76.92,106,0,4.4,5.6,-1.1
Adonai Mitchell,NYJ,WR,6.6,2.5,15.2,60.24,8,12,66.67,102,1,0.1,0.5,-0.5
Nico Collins,HOU,WR,2.7,2.4,17.4,45.18,5,10,50,98,0,9.1,5.4,3.6
Terry McLaurin,WAS,WR,6.3,2.4,15.8,43.48,7,14,50,96,1,1.9,1.7,0.3
Isaiah Likely,BAL,TE,5.9,2.8,10.1,17.73,5,6,83.33,95,0,8.5,5.3,3.2
Dontayvion Wicks,GB,WR,4.5,2.3,12.2,25.73,6,7,85.71,94,2,2.4,2.3,0.1
Devaughn Vele,NO,WR,5.5,3,11.7,36.86,8,8,100,93,1,1,1.4,-0.4
Rashee Rice,KC,WR,5.9,3.1,5.7,31.21,8,12,66.67,92,2,9,6,3
Jakobi Meyers,JAX,WR,7.1,3.6,7.7,16.32,6,6,100,90,1,7.6,7.1,0.4
George Pickens,DAL,WR,3.4,2.2,8.6,44.14,6,13,46.15,88,0,8.4,4,4.4
Kyle Pitts,ATL,TE,4.9,3.4,3.9,19.89,7,8,87.5,82,0,9,8.7,0.3
Trey McBride,AZ,TE,3.5,2.4,10.3,32.2,8,9,88.89,82,1,3.2,3.1,0.2
Christian Watson,GB,WR,3.4,1.1,18.2,54.91,4,10,40,80,1,1.5,1.7,-0.1
Evan Engram,DEN,TE,11.6,6,4.1,18.3,6,9,66.67,79,0,10.6,6.6,4
Alec Pierce,IND,WR,4.9,3.1,19.7,47.12,4,5,80,78,1,2,1.2,0.8
Chris Godwin Jr.,TB,WR,4.6,2.1,9.9,25.83,3,5,60,78,0,14.9,7.7,7.1
Jalen Coker,CAR,WR,5.9,1.5,14.2,65.78,4,6,66.67,74,1,7.1,3.5,3.6
Hunter Henry,NE,TE,5.9,2.9,8.1,19.61,4,6,66.67,73,0,9.8,8.6,1.1
Puka Nacua,LAR,WR,7.8,3.6,5.1,20.74,6,9,66.67,72,0,8.1,7,1.1
Marvin Harrison Jr.,AZ,WR,5.3,1.7,13.9,33.73,6,7,85.71,69,0,1.6,2.1,-0.5
George Kittle,SF,TE,5.9,3.4,10.8,25.7,4,5,80,67,0,3.3,3.4,-0.1
Jayden Higgins,HOU,WR,4.2,4.2,9.1,11.81,5,5,100,65,0,3.9,3.7,0.3
Deebo Samuel Sr.,WAS,WR,5.5,2.1,8.1,11.19,5,7,71.43,64,0,5,3.4,1.6
Courtland Sutton,DEN,WR,5.5,2.7,10.3,30.63,5,6,83.33,62,1,2,2.1,-0.1
Xavier Worthy,KC,WR,9.1,5.9,11.4,31.31,4,6,66.67,61,0,6.1,6.8,-0.7
T.J. Hockenson,MIN,TE,4.8,3.7,4,17.12,6,6,100,59,0,5.8,5.6,0.2
Davante Adams,LAR,WR,7.8,2.8,14.1,31.72,4,5,80,58,2,3.5,4.2,-0.7
Dalton Schultz,HOU,TE,4.7,4.6,4.2,8.72,7,8,87.5,55,0,3.3,3.7,-0.4
DeVonta Smith,PHI,WR,6.5,2.9,8.7,24.86,5,8,62.5,48,0,3.7,3.9,-0.2
Chris Olave,NO,WR,6.8,2.4,13,36.01,4,7,57.14,47,1,0.8,0.9,-0.2
Mark Andrews,BAL,TE,6.1,4.6,7.5,13.18,4,6,66.67,47,0,4.5,3.2,1.3
Travis Kelce,KC,TE,5.9,1.7,9.4,26.04,5,6,83.33,45,1,5,4.3,0.7
Josh Downs,IND,WR,6.9,2.5,9.3,26.74,2,6,33.33,44,0,4.6,2.8,1.7
Harold Fannin Jr.,CLE,TE,7.3,3.6,5.5,19.36,3,5,60,43,1,6.4,6.2,0.2
Pat Bryant,DEN,WR,6.4,1.7,10.4,35.95,3,7,42.86,42,0,6,5.5,0.4
Emeka Egbuka,TB,WR,4.5,3,10.4,43.59,4,8,50,42,0,4.7,3.5,1.2
Jaylen Waddle,MIA,WR,7.4,2.1,15.5,44.55,3,6,50,40,0,3.9,2.7,1.3
Juwan Johnson,NO,TE,5.7,3.4,5.9,20.81,5,9,55.56,39,0,4,3.3,0.7
Ladd McConkey,LAC,WR,5.5,2.1,9.3,28.39,4,6,66.67,39,1,1.4,0.9,0.6
Jauan Jennings,SF,WR,5.1,1.5,12.6,36.11,4,6,66.67,39,1,0.1,0.9,-0.8
