PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Nico Collins,HOU,WR,5.1,1.6,13.9,47.16,7,15,46.67,136,0,3.5,2.2,1.3
Trey McBride,AZ,TE,4,4,7.7,28.75,9,13,69.23,127,1,6.7,5.6,1.1
Jalen Nailor,MIN,WR,4,2.5,17.4,21.64,5,6,83.33,124,1,8.8,2.9,5.9
Jameson Williams,DET,WR,5.7,4.1,10.6,39.02,6,7,85.71,119,1,9.3,5.6,3.7
Emeka Egbuka,TB,WR,6.2,2.5,10.5,48.75,6,13,46.15,115,1,6.9,4.4,2.5
Ladd McConkey,LAC,WR,4.7,2.2,11.3,41.92,4,6,66.67,107,1,16.7,5.4,11.2
Mack Hollins,NE,WR,7.6,1.9,15.3,44.11,6,10,60,106,0,2.5,2.6,-0.1
Drake London,ATL,WR,7.9,4.1,11.6,30.86,6,8,75,104,1,4.8,4.5,0.3
Chris Olave,NO,WR,6.6,1.9,18,54.58,5,8,62.5,104,1,5.5,6.1,-0.7
Tyler Warren,IND,TE,4.1,3.1,4.6,21.41,8,10,80,99,0,8.6,6.3,2.4
Jaxon Smith-Njigba,SEA,WR,7.3,2.3,15.7,79.48,5,6,83.33,93,1,2.8,2.5,0.3
Rome Odunze,CHI,WR,6.1,3.6,14.9,42.6,6,10,60,86,1,5.3,4.3,0.9
Alec Pierce,IND,WR,7,1.7,19.3,63.28,4,7,57.14,84,1,3.5,1.3,2.2
Jaylen Waddle,MIA,WR,5.2,2.3,21.7,79.98,5,7,71.43,84,1,1.3,1.6,-0.2
George Kittle,SF,TE,5.2,4.4,5.4,17.88,9,9,100,84,1,3.9,2.9,1
Cade Otton,TB,TE,6.8,3.2,3.7,15.76,9,12,75,82,0,5.9,5.8,0.1
Jerry Jeudy,CLE,WR,4.4,2.7,9.6,56.47,6,12,50,78,1,4.8,6,-1.2
Davante Adams,LAR,WR,3.7,2.4,16,41.93,6,8,75,77,1,1.5,2.4,-0.9
Zay Flowers,BAL,WR,8.7,4.9,3.7,16.16,4,6,66.67,75,0,10.9,6.6,4.3
Theo Johnson,NYG,TE,4.2,2.7,8.8,26.62,7,8,87.5,75,0,2.9,4,-1
Jauan Jennings,SF,WR,4.8,2.1,10.5,34.62,6,9,66.67,71,1,1.7,1.7,0
