PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
DeVonta Smith,PHI,WR,7.9,2.8,11.5,44.76,4,7,57.14,69,1,3.1,3.4,-0.3
Puka Nacua,LAR,WR,4.3,2.6,4.5,8.89,5,6,83.33,64,1,9.5,6.2,3.4
Wan'Dale Robinson,NYG,WR,7.2,3.4,6.3,26.4,6,11,54.55,62,0,4.1,2.6,1.4
Tetairoa McMillan,CAR,WR,7.2,3.6,11.8,57.07,5,8,62.5,60,0,1.9,3,-1.2
Khalil Shakir,BUF,WR,6.8,3.1,6.7,16.13,7,9,77.78,58,0,1.7,3.4,-1.6
Amon-Ra St. Brown,DET,WR,6.3,4,7.1,29.91,5,8,62.5,58,1,8.8,9.8,-1
Zach Ertz,WAS,TE,3.5,2.5,15.9,28.22,4,5,80,54,0,2.3,4.1,-1.8
Dalton Schultz,HOU,TE,7.1,2.1,8.7,21.53,7,11,63.64,53,1,2.6,3.3,-0.8
Sam LaPorta,DET,TE,5.4,3.2,4,10.46,5,5,100,53,0,6.6,6,0.6
Stefon Diggs,NE,WR,6.7,2.3,11.7,27.08,5,8,62.5,46,1,1.2,1.5,-0.3
Keon Coleman,BUF,WR,4.6,1.9,20.5,43.7,3,8,37.5,46,1,3.9,2.3,1.6
Tyler Lockett,LV,WR,6.9,4.7,4.6,25.48,5,6,83.33,44,0,3.7,5.5,-1.8
Harold Fannin Jr.,CLE,TE,6.5,1.9,6,20.74,4,7,57.14,44,0,2.3,2.4,-0.1
Dallas Goedert,PHI,TE,6.2,2.8,8.3,27.72,4,6,66.67,43,0,3.1,4.4,-1.3
Jayden Higgins,HOU,WR,8.2,2.6,13.8,21.81,5,7,71.43,42,1,1,2.1,-1
Tez Johnson,TB,WR,6,2.1,13,23.1,4,5,80,42,2,1.5,1.7,-0.2
Quentin Johnston,LAC,WR,5.3,3.5,4.8,29.5,5,10,50,42,0,9.4,5.5,3.9
Colby Parkinson,LAR,TE,5.9,5.4,2.8,4.59,4,5,80,41,1,6.9,7.1,-0.2
Troy Franklin,DEN,WR,6.5,3.2,14.5,60.04,5,9,55.56,40,1,4.5,5.8,-1.3
Dontayvion Wicks,GB,WR,5.6,1.9,9.4,24.89,4,8,50,38,0,0.7,0.7,-0.1
Kyle Pitts,ATL,TE,4.3,1.4,16.5,27.46,2,5,40,38,0,5.7,3.6,2.1
Justin Jefferson,MIN,WR,5.1,3.5,16.5,40.97,4,12,33.33,37,0,5.3,5.9,-0.5
Jordan Addison,MIN,WR,8.3,2.6,14.8,33.77,3,11,27.27,35,0,4.4,2.7,1.7
DK Metcalf,PIT,WR,4.5,2.1,13.8,44.81,3,7,42.86,35,0,4.2,3.2,0.9
Michael Wilson,AZ,WR,7,2.3,5.4,10.83,4,7,57.14,34,0,3.2,2.4,0.8
Parker Washington,JAX,WR,4.1,2.5,10.3,40.8,3,7,42.86,33,1,2.6,2.5,0.1
Marvin Harrison Jr.,AZ,WR,3.6,1.8,13.2,45.61,3,12,25,33,1,1.9,1.8,0.2
Ja'Tavion Sanders,CAR,TE,3.8,4.1,3,9.03,5,5,100,32,0,3.4,4.4,-1
Deebo Samuel Sr.,WAS,WR,4.7,3.6,4.7,8.29,4,5,80,29,1,4.7,4.2,0.4
Keenan Allen,LAC,WR,4.6,2,4.9,15.36,2,5,40,19,0,7.8,5.9,1.9
Darnell Mooney,ATL,WR,6.7,2.9,11.8,31.45,1,8,12.5,17,0,4.1,6.7,-2.7
Calvin Austin III,PIT,WR,5.9,2.8,9.7,31.62,2,7,28.57,14,0,1.8,1.5,0.3
Mark Andrews,BAL,TE,3.5,3,8,28.96,3,5,60,14,1,1.2,0.8,0.3
Oronde Gadsden II,LAC,TE,6.6,3.1,5.8,21.65,3,6,50,13,0,2.3,2.8,-0.6
Evan Engram,DEN,TE,6.7,5.8,6.7,15.34,2,5,40,12,0,3.9,4.5,-0.7
