PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Puka Nacua,LAR,WR,5.8,3.2,12.5,29.05,9,11,81.82,181,0,7.1,5.7,1.4
Kyle Pitts,ATL,TE,4.8,5,6.6,24.32,11,12,91.67,166,3,8.1,9.2,-1.2
Amon-Ra St. Brown,DET,WR,6.3,2.6,8.1,40.02,13,18,72.22,164,2,4.8,5,-0.2
Trey McBride,AZ,TE,5.7,3.7,3.9,20.04,12,13,92.31,134,2,8.1,6.6,1.5
Ja'Marr Chase,CIN,WR,5.8,3.4,9.4,53.54,10,16,62.5,132,0,5.5,3.8,1.7
Mike Evans,TB,WR,4.6,2,14.9,48.5,6,12,50,132,0,2.8,4.7,-1.9
Jameson Williams,DET,WR,5.7,2.3,18,49.53,7,10,70,126,1,1.6,3.3,-1.7
Courtland Sutton,DEN,WR,5.9,1.6,13.3,42.29,7,10,70,113,1,3,2.6,0.3
Jaxon Smith-Njigba,SEA,WR,5.1,5.4,7.4,27.83,7,9,77.78,113,0,9.4,7.2,2.1
CeeDee Lamb,DAL,WR,5.9,3.4,12.2,40.8,6,10,60,111,0,4.3,4.9,-0.6
Ricky Pearsall,SF,WR,6.1,2.8,13.3,36.91,6,7,85.71,96,0,3,6,-2.9
George Kittle,SF,TE,3.6,4.9,3.1,10.97,8,9,88.89,88,1,9.8,5.6,4.2
Chris Olave,NO,WR,8.9,3,12.8,46.97,6,9,66.67,85,1,1.5,1.5,0.1
Troy Franklin,DEN,WR,6.9,2.2,9.8,18.76,6,6,100,85,1,4.4,3.2,1.2
Luther Burden III,CHI,WR,9.5,5.5,7,17.05,6,7,85.71,84,0,8.3,6.8,1.6
David Sills,ATL,WR,4.2,2.5,12.8,39.13,6,10,60,78,0,3.3,4,-0.7
Dalton Schultz,HOU,TE,6.3,5.1,5.7,44.13,8,9,88.89,76,1,4.5,4.9,-0.4
Colby Parkinson,LAR,TE,6.4,2.4,8.7,12.9,5,7,71.43,75,2,6.6,5,1.6
Rashid Shaheed,SEA,WR,5.8,2.4,14.8,43.14,5,7,71.43,74,0,1.6,1.3,0.3
Jakobi Meyers,JAX,WR,6.8,1.9,11.3,24.62,5,7,71.43,71,0,2.2,3.7,-1.5
Davante Adams,LAR,WR,3.7,1.8,19.1,36.21,4,9,44.44,71,0,2.4,2.3,0.1
Dallas Goedert,PHI,TE,7.1,6.5,4.3,23.51,6,7,85.71,70,2,7.3,7.1,0.2
Travis Kelce,KC,TE,6.8,3.1,7.3,29.77,7,9,77.78,70,0,3.7,3,0.7
Devaughn Vele,NO,WR,10.6,2.4,11.6,28.39,5,6,83.33,69,0,0.9,1.9,-1
Zay Flowers,BAL,WR,6,2.6,19.5,75.17,3,5,60,68,1,0.8,1.6,-0.8
T.J. Hockenson,MIN,TE,7.1,4.4,9.2,18.46,4,5,80,66,0,6.5,7.1,-0.5
Darren Waller,MIA,TE,5.8,2.2,9.3,41.72,7,8,87.5,66,2,3.1,4.6,-1.4
Brian Thomas Jr.,JAX,WR,4.3,2.4,19.4,42.09,4,7,57.14,66,1,2.6,1.6,0.9
DJ Moore,CHI,WR,8.3,2.1,24,41.71,4,5,80,65,2,1,1.3,-0.2
Khalil Shakir,BUF,WR,6.9,2.6,7.3,17.35,5,5,100,65,0,5.7,3,2.7
Emeka Egbuka,TB,WR,5.7,2.1,14.3,27.18,4,7,57.14,64,0,3.4,5,-1.7
Colston Loveland,CHI,TE,4.4,4.6,11.8,20.52,4,5,80,63,0,7.7,8.2,-0.6
Oronde Gadsden II,LAC,TE,8,3.2,12.4,33.8,4,5,80,61,0,4.2,2.9,1.3
Adonai Mitchell,NYJ,WR,5.3,2.6,9.8,43.64,6,9,66.67,58,1,0,0.2,-0.3
Jayden Reed,GB,WR,1.9,5.4,6.6,10.39,5,6,83.33,55,0,6.9,6.5,0.4
Wan'Dale Robinson,NYG,WR,8.1,3.9,11.1,27.77,5,10,50,54,1,4.7,4.5,0.1
Michael Wilson,AZ,WR,5.5,1.5,13.7,59.34,5,11,45.45,54,1,1.6,1.6,0
Isaiah Williams,NYJ,WR,8,3.5,5.4,18.74,6,7,85.71,53,0,3.1,3.6,-0.5
Darius Slayton,NYG,WR,5.9,1.7,16.4,41.11,4,10,40,53,0,2.3,2.4,-0.1
Luke Musgrave,GB,TE,7.6,5.2,7.8,12.22,4,6,66.67,52,0,4.9,10.4,-5.5
Rashee Rice,KC,WR,7.9,4.3,1,5.11,7,11,63.64,51,0,6.8,6.6,0.2
Tre Harris,LAC,WR,3.9,0.9,9.1,24.83,3,5,60,49,0,4.2,2.3,1.9
Harold Fannin Jr.,CLE,TE,6.1,2.2,6.3,34.43,7,14,50,48,0,2.8,2,0.8
Jalen Nailor,MIN,WR,4.9,2.5,14.6,29.09,3,5,60,47,2,1,0.9,0.1
Cooper Kupp,SEA,WR,7.1,4,6.1,17.74,5,7,71.43,46,0,5.3,3.6,1.6
Pat Freiermuth,PIT,TE,5.1,4.2,8.6,47.74,3,5,60,45,0,12.5,4,8.5
Van Jefferson,TEN,WR,6.3,2.5,23.2,67.49,1,5,20,43,0,3.4,2.4,1
Deebo Samuel Sr.,WAS,WR,5.3,2.9,9.1,20.07,3,5,60,43,0,4.8,6.9,-2.1
Mack Hollins,NE,WR,5,2.8,17.9,61.64,4,8,50,41,0,2.5,3.7,-1.3
Ryan Flournoy,DAL,WR,7.1,5.5,7.7,12.77,4,5,80,40,0,9.5,9.1,0.4
Jauan Jennings,SF,WR,5,1,12.5,24.65,3,5,60,37,2,0.3,0.5,-0.2
Keenan Allen,LAC,WR,5,2.6,4.5,17.13,5,7,71.43,36,0,3.5,2.6,0.9
Darnell Mooney,ATL,WR,8.7,4.1,14.4,26.35,3,6,50,35,0,5.3,5.3,0
Kevin Austin Jr.,NO,WR,7.6,2.4,6.7,13.66,3,5,60,33,0,3.1,2.2,0.8
George Pickens,DAL,WR,6.8,4.7,8.9,17.91,3,6,50,33,0,5.5,3.7,1.8
Chig Okonkwo,TEN,TE,5.2,3.1,0.8,2.89,4,6,66.67,33,0,9.1,8.4,0.7
Christian Watson,GB,WR,7.9,1.5,24.6,32.27,3,5,60,29,0,2.9,3,-0.1
Marvin Mims Jr.,DEN,WR,6.4,3.5,10.8,20.61,4,6,66.67,29,0,6.4,5.6,0.8
Brock Bowers,LV,TE,4,3.2,1.4,10.35,6,8,75,28,0,4.1,2.9,1.1
AJ Barner,SEA,TE,4.1,4.8,3.6,9.01,3,6,50,27,0,7.4,5.9,1.4
Michael Pittman,IND,WR,8.7,2.7,8.2,33.21,3,5,60,26,0,6,4.2,1.7
John Metchie III,NYJ,WR,6.7,2.2,4,9.97,4,5,80,25,0,2.5,3.7,-1.2
Justin Jefferson,MIN,WR,3.3,3,10.3,33.08,2,8,25,22,0,4.4,2.5,1.8
Chris Godwin Jr.,TB,WR,2.7,2.3,6.1,8.22,4,5,80,20,1,3,3,0
Tyler Warren,IND,TE,4.4,1.6,6.7,32.35,3,6,50,19,0,3.1,2.7,0.4
Chimere Dike,TEN,WR,9.7,4.9,0.4,1.11,4,5,80,17,0,6.8,6.5,0.3
Tanner Hudson,CIN,TE,5,3.4,5.9,10.57,3,5,60,16,0,2.4,3.3,-0.9
Josh Downs,IND,WR,11.1,3.5,5.2,20.99,3,5,60,13,1,1.8,1.9,0
