PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Puka Nacua,LAR,WR,5,2.2,13.1,59.21,7,11,63.64,167,2,5.9,3.9,2
DK Metcalf,PIT,WR,4.1,2.4,13.4,85.61,7,12,58.33,148,0,6.6,6.1,0.6
Michael Wilson,AZ,WR,5,2.2,12,55.85,11,16,68.75,142,2,2.9,2.9,0
Zay Flowers,BAL,WR,5.7,4.2,10,41.43,8,11,72.73,124,0,6.2,6.5,-0.2
CeeDee Lamb,DAL,WR,3.5,1.7,14.1,23.38,6,8,75,121,0,8.6,6.9,1.7
Nico Collins,HOU,WR,3.1,1.3,14.9,42.12,4,8,50,121,0,9.8,2.7,7.1
Ryan Flournoy,DAL,WR,5.7,3.2,12.6,33.88,9,13,69.23,115,1,3.2,4.5,-1.3
Harold Fannin Jr.,CLE,TE,3.8,3.7,7.3,28.76,8,11,72.73,114,1,7.6,4.3,3.3
A.J. Brown,PHI,WR,4.4,2.3,15,49.07,6,13,46.15,100,0,6.2,4.7,1.5
Jameson Williams,DET,WR,6.1,2.2,11.8,44.23,7,9,77.78,96,0,5.6,2.9,2.7
Dawson Knox,BUF,TE,6.9,4.2,5.4,30.64,6,7,85.71,93,0,10.7,9,1.7
Amon-Ra St. Brown,DET,WR,7.5,2.9,7.2,26.99,6,9,66.67,92,0,8.9,5.4,3.5
Jaxon Smith-Njigba,SEA,WR,5.7,2.6,12,43.73,7,10,70,92,2,4.8,4.1,0.8
Tee Higgins,CIN,WR,5.3,1.6,15.8,51.6,6,11,54.55,92,2,2.1,1.5,0.6
Kyle Pitts,ATL,TE,4.8,4,9.7,50.57,6,10,60,90,0,5.8,7.8,-2
Brian Thomas Jr.,JAX,WR,4.2,1.5,24.1,43.32,3,6,50,87,0,5.5,1.7,3.7
Mike Gesicki,CIN,TE,6.5,3,10.8,19.36,6,6,100,86,1,4.1,4.9,-0.8
Alec Pierce,IND,WR,6.9,3.6,13.1,43.11,5,8,62.5,80,0,8.4,7,1.4
Michael Pittman,IND,WR,7.9,3.5,6.1,30.07,9,12,75,79,0,3.7,4.7,-1
Tim Patrick,JAX,WR,8.2,3.3,12.9,23.23,5,6,83.33,78,1,2.7,2.6,0.1
Dallas Goedert,PHI,TE,5.5,3.1,5.3,13.37,8,10,80,78,0,5.2,5,0.2
Jerry Jeudy,CLE,WR,5.2,3.1,11.3,20.2,3,5,60,76,1,15.4,12.3,3.1
Luther Burden III,CHI,WR,7.9,4.9,8.3,25.69,4,6,66.67,67,0,6.8,4.3,2.5
Rashid Shaheed,SEA,WR,6,4.1,12.2,22.28,4,5,80,67,0,5,5.8,-0.8
Jordan Addison,MIN,WR,8.2,2.7,10.9,46.9,4,7,57.14,62,0,2.6,1.1,1.4
Courtland Sutton,DEN,WR,4.8,2.2,10.9,65.06,6,10,60,62,0,1.5,1.9,-0.4
Trey McBride,AZ,TE,6.7,2.9,7.3,19.17,5,9,55.56,58,0,8.1,4.9,3.2
Jake Ferguson,DAL,TE,4.5,3.1,7.9,11.49,5,7,71.43,58,0,3.2,3.6,-0.4
Chris Godwin Jr.,TB,WR,7.9,2.6,5.6,21.63,5,8,62.5,55,0,7.4,6.1,1.2
Mason Taylor,NYJ,TE,5.2,3.9,5,17.56,5,8,62.5,51,0,6.6,5.6,1
Jack Bech,LV,WR,7,3.1,7.7,18.43,6,6,100,50,0,0.7,1,-0.3
Jaylen Waddle,MIA,WR,5.8,3.4,8.6,64.17,5,7,71.43,50,1,3.3,4.3,-1.1
Brock Bowers,LV,TE,4.1,1.3,9.3,18.64,4,5,80,46,1,2.6,1.6,1
Ja'Marr Chase,CIN,WR,6.5,2.9,3.4,8.02,5,8,62.5,44,0,6.6,4.7,1.8
Terry McLaurin,WAS,WR,6.2,2.7,9.3,46.24,3,6,50,41,0,3.2,2.7,0.6
Dalton Kincaid,BUF,TE,5.6,3.4,4.7,19.05,4,5,80,41,1,10.2,6,4.3
Devaughn Vele,NO,WR,5.6,2.6,10.3,36.71,3,5,60,40,0,2.6,3,-0.4
Jakobi Meyers,JAX,WR,6,2.8,9.5,28.39,4,10,40,39,1,4,3.9,0.1
DeVonta Smith,PHI,WR,8.9,3.3,10.8,21.83,4,8,50,37,0,5.5,4.4,1.2
George Pickens,DAL,WR,5.3,1.8,12.2,22.74,5,9,55.56,37,0,2.1,1.9,0.2
Rashee Rice,KC,WR,8.1,3.9,3.5,10.36,4,8,50,34,0,10.2,9.5,0.7
John Metchie III,NYJ,WR,7.7,4.8,5.8,20.36,4,8,50,34,0,5.9,7.1,-1.2
Jayden Higgins,HOU,WR,6.2,2.8,12.9,22.71,3,5,60,34,0,2.3,1.7,0.6
Colby Parkinson,LAR,TE,5.6,2.9,3.1,6.46,3,5,60,32,1,8,5,3
Chris Olave,NO,WR,6.1,4.2,14.2,50.66,3,5,60,30,0,3.4,2.4,1
Colston Loveland,CHI,TE,6.7,4.9,6.2,15.97,4,5,80,29,1,3.2,3.6,-0.5
Davante Adams,LAR,WR,6.1,3.1,9.5,23.38,4,6,66.67,29,0,0.1,2.1,-1.9
Brenton Strange,JAX,TE,5.8,2.5,5,8.94,3,6,50,27,0,6.8,7.5,-0.8
Deebo Samuel Sr.,WAS,WR,3.7,3.4,1.3,6.23,4,6,66.67,27,0,6.1,3.9,2.2
Isaiah Likely,BAL,TE,4.7,4.7,6.1,13.68,4,6,66.67,25,1,2.8,3.3,-0.5
Tre Tucker,LV,WR,8.2,2.9,15,30.01,2,5,40,24,0,2.2,1.9,0.4
Adonai Mitchell,NYJ,WR,5.8,3.3,13,34.49,1,6,16.67,24,0,4.5,4.7,-0.2
