PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Emeka Egbuka,TB,WR,4.6,3.2,19.1,58.4,7,7,100,163,1,5,5.8,-0.8
Stefon Diggs,NE,WR,5.7,2.2,8.7,47.68,10,12,83.33,146,0,6.1,2.5,3.6
Kendrick Bourne,SF,WR,5.9,2.9,7.8,30.61,10,11,90.91,142,0,6.1,3.1,3
Jaxon Smith-Njigba,SEA,WR,5.2,2.5,12.2,38.08,8,9,88.89,132,1,4.9,3.3,1.6
Calvin Ridley,TEN,WR,5.8,2.5,17.1,42.56,5,10,50,131,0,4.3,5,-0.8
Justin Jefferson,MIN,WR,4.1,2.4,13.4,70.97,7,11,63.64,123,0,6.9,6.4,0.6
Ryan Flournoy,DAL,WR,6.8,2,10,39.91,6,9,66.67,114,0,8.1,2.6,5.5
Rashid Shaheed,NO,WR,5.2,2.3,15.9,36.64,4,5,80,114,1,12.3,5.6,6.7
DeVonta Smith,PHI,WR,4.9,3.2,9.1,22.17,8,10,80,114,0,5.7,5.2,0.5
Jaylen Waddle,MIA,WR,6.9,2.4,15,46.34,6,9,66.67,110,1,3.3,3.2,0.1
Ja'Marr Chase,CIN,WR,6,2.3,16.9,48.82,6,10,60,110,2,5.5,3,2.5
Dalton Kincaid,BUF,TE,6.5,3.3,12.4,28.83,6,6,100,108,0,5.6,6.4,-0.8
Amon-Ra St. Brown,DET,WR,5.9,3.5,6.8,53.85,8,9,88.89,100,0,7.5,6.4,1
Courtland Sutton,DEN,WR,5.1,2.3,10.1,31.29,8,10,80,99,0,4.8,3.3,1.5
Marvin Harrison Jr.,AZ,WR,5.2,2.2,18.6,42.93,4,5,80,98,0,3.1,1.8,1.2
Deebo Samuel Sr.,WAS,WR,7.6,2.7,9.7,45.9,8,11,72.73,96,1,5.2,3.6,1.6
Sam LaPorta,DET,TE,7.5,4.6,4.4,23.21,5,6,83.33,92,1,13.8,10.2,3.6
Tyquan Thornton,KC,WR,7.5,2.9,25.2,33.35,3,5,60,90,0,5,3.6,1.4
Davante Adams,LAR,WR,6.6,2.7,14.9,33.5,5,11,45.45,88,0,3,5.1,-2.1
Puka Nacua,LAR,WR,7,3.5,9.6,23.5,10,12,83.33,85,1,4.5,3.6,0.9
Andrei Iosivas,CIN,WR,5.6,2,8.4,16.9,5,7,71.43,82,0,5.6,3.6,2
Cade Otton,TB,TE,4.8,6.1,8.5,18.51,4,5,80,81,0,14.2,11.6,2.5
Brian Thomas Jr.,JAX,WR,3.1,2.1,15.2,44.77,4,6,66.67,80,0,6.2,7.1,-0.9
Darren Waller,MIA,TE,3.3,2.4,12.9,22.1,5,5,100,78,1,4.3,4.9,-0.5
Tetairoa McMillan,CAR,WR,6.4,2.7,14.8,47.5,6,8,75,73,0,2.2,2.2,0
Zay Flowers,BAL,WR,9,4.6,8,26.31,5,5,100,72,0,6.4,6.3,0.2
Garrett Wilson,NYJ,WR,6.5,2.3,12.4,42.72,6,10,60,71,1,2.5,2.6,-0.1
Mason Taylor,NYJ,TE,6.2,3.2,5.3,22.08,9,12,75,67,0,2.3,2.2,0.1
David Njoku,CLE,TE,4.7,3.9,5.4,26.05,6,9,66.67,67,1,7,5.1,1.9
Tre Tucker,LV,WR,6.2,3.4,12.9,27.98,4,6,66.67,62,0,3.6,4.5,-0.9
Travis Kelce,KC,TE,7.3,3.2,3.7,7.9,7,8,87.5,61,1,4.6,4.6,0.1
Dalton Schultz,HOU,TE,5,3.3,7,16.93,5,6,83.33,60,0,5,4.6,0.3
Chris Olave,NO,WR,7.2,3,7.7,39.05,7,11,63.64,59,0,2.2,2.9,-0.7
Cooper Kupp,SEA,WR,5.3,1.5,6.7,20.71,6,9,66.67,59,0,3.6,3,0.6
Keenan Allen,LAC,WR,6.5,3.6,7.2,44.45,5,9,55.56,58,0,6.5,5,1.5
Ashton Dulin,IND,WR,3.9,2,19.9,39.77,2,5,40,55,0,3.1,2.2,0.9
Josh Downs,IND,WR,7.5,2.8,7.8,24.97,6,8,75,54,0,3.9,2.5,1.4
AJ Barner,SEA,TE,3.4,3.5,5.4,13.02,7,7,100,53,2,3.5,2.7,0.8
Nico Collins,HOU,WR,7.4,1.9,12.8,25.64,4,5,80,52,1,3.4,2.5,0.9
Jake Ferguson,DAL,TE,7.6,3.3,3,11.92,7,9,77.78,49,2,7.2,6.6,0.6
Marquise Brown,KC,WR,6.1,3.4,14,29.56,4,8,50,48,0,5.3,2.2,3.1
Chig Okonkwo,TEN,TE,6,2.4,5.4,6.72,4,5,80,48,0,8.3,4.6,3.7
Khalil Shakir,BUF,WR,5.7,4.1,1.7,5.91,6,9,66.67,45,0,8.3,5.4,2.8
A.J. Brown,PHI,WR,4.6,2,10.1,19.6,5,8,62.5,43,0,2.6,2.6,-0.1
Xavier Worthy,KC,WR,6.5,3.4,13.2,31.48,6,9,66.67,42,0,1.8,3.2,-1.4
Jordan Addison,MIN,WR,6.7,4.5,6.9,19.95,5,6,83.33,41,1,3.5,3.9,-0.4
Trey McBride,AZ,TE,6.5,3.1,7.1,23.05,5,7,71.43,41,0,5.6,4.3,1.3
Jake Tonges,SF,TE,4.8,4.3,2.5,9.79,7,11,63.64,41,1,4.1,4.3,-0.2
Demarcus Robinson,SF,WR,6.4,2.2,13.9,34.7,3,7,42.86,39,0,2.1,2.3,-0.2
Ladd McConkey,LAC,WR,4.9,2.3,8.1,38.96,5,7,71.43,39,1,1.3,1.8,-0.5
Michael Pittman,IND,WR,4.8,2.7,6.5,15.63,5,6,83.33,39,1,2.8,1.9,0.9
T.J. Hockenson,MIN,TE,5.6,3.8,0.3,1.01,6,6,100,38,0,6,6.8,-0.8
Albert Okwuegbunam,LV,TE,6.1,3.9,3.6,7.94,5,6,83.33,36,0,6.7,7.6,-0.9
Troy Franklin,DEN,WR,8.7,4.3,15.3,23.77,3,5,60,35,0,2.5,1.8,0.7
Gunnar Helm,TEN,TE,3.4,4.2,5.9,7.28,4,5,80,34,0,1.4,1.5,-0.1
Theo Johnson,NYG,TE,5.9,4,6.9,14.64,6,7,85.71,33,2,1.9,3.1,-1.2
Evan Engram,DEN,TE,4.7,2.6,6,11.18,4,6,66.67,33,1,5.3,5.9,-0.7
Jakobi Meyers,LV,WR,6.1,2.5,11.2,24.3,4,6,66.67,32,0,1.5,1.6,-0.1
Darius Slayton,NYG,WR,5.6,3.2,16.8,30.5,3,6,50,31,0,7,2,4.9
Wan'Dale Robinson,NYG,WR,6.6,5,6.3,13.25,5,7,71.43,30,0,4.1,3.4,0.7
